Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13324.250,3.076,2.417,2.814,2.993,3.263,3.485,3.685,4.496,67.050,0.325
40,13631.975,3.062,2.420,2.805,2.982,3.234,3.460,3.615,4.337,105.948,0.327
80,13639.575,3.058,2.423,2.805,2.984,3.236,3.463,3.616,4.362,73.218,0.327
120,13753.425,3.052,2.421,2.802,2.981,3.227,3.454,3.599,4.356,67.007,0.328
160,13778.900,3.047,2.420,2.800,2.977,3.222,3.454,3.601,4.368,70.651,0.328
200,13683.875,3.066,2.417,2.807,2.986,3.255,3.476,3.676,4.640,44.265,0.326
240,13854.550,3.045,2.427,2.802,2.979,3.228,3.453,3.597,4.351,42.632,0.328
280,13831.200,3.049,2.427,2.802,2.979,3.229,3.452,3.599,4.409,224.467,0.328
320,13818.450,3.044,2.424,2.800,2.977,3.222,3.450,3.594,4.375,48.984,0.328
360,13821.075,3.049,2.411,2.801,2.977,3.228,3.455,3.611,4.448,34.757,0.328
400,13503.950,3.070,2.421,2.809,2.988,3.262,3.480,3.699,4.510,32.215,0.326
440,13798.625,3.046,2.429,2.804,2.983,3.239,3.459,3.614,4.333,17.298,0.328
480,13471.800,3.083,2.424,2.808,2.988,3.264,3.486,3.722,4.905,215.525,0.324
520,13818.925,3.049,2.420,2.803,2.981,3.235,3.456,3.611,4.393,39.543,0.328
560,13807.425,3.049,2.419,2.805,2.982,3.237,3.459,3.614,4.383,25.336,0.328
600,13715.200,3.057,2.428,2.809,2.985,3.250,3.468,3.644,4.426,23.771,0.327
640,13753.100,3.054,2.425,2.809,2.985,3.247,3.464,3.629,4.348,19.874,0.327
680,13820.650,3.045,2.424,2.804,2.980,3.230,3.453,3.598,4.339,25.556,0.328
720,13874.550,3.040,2.420,2.802,2.978,3.225,3.451,3.594,4.307,21.959,0.329
760,13856.550,3.037,2.417,2.798,2.975,3.220,3.447,3.585,4.330,24.137,0.329
800,13698.425,3.070,2.423,2.808,2.986,3.256,3.478,3.691,4.708,55.262,0.326
840,13857.225,3.048,2.429,2.804,2.980,3.229,3.454,3.602,4.304,210.316,0.328
880,13891.700,3.038,2.425,2.800,2.976,3.221,3.448,3.584,4.329,25.675,0.329
920,13846.575,3.044,2.423,2.801,2.979,3.232,3.455,3.605,4.353,26.777,0.329
960,13814.375,3.046,2.425,2.802,2.982,3.235,3.458,3.610,4.324,25.978,0.328
1000,13816.175,3.049,2.427,2.802,2.984,3.240,3.462,3.615,4.320,33.022,0.328
1040,13844.125,3.046,2.424,2.798,2.980,3.225,3.454,3.593,4.313,52.976,0.328
1080,13800.400,3.055,2.427,2.804,2.984,3.243,3.466,3.648,4.536,28.684,0.327
1120,13917.775,3.037,2.419,2.798,2.976,3.220,3.449,3.587,4.301,28.024,0.329
1160,13844.250,3.047,2.424,2.805,2.984,3.234,3.457,3.610,4.376,30.908,0.328
1200,13801.625,3.043,2.424,2.804,2.981,3.233,3.454,3.600,4.268,30.837,0.329
1240,13832.175,3.043,2.424,2.802,2.979,3.229,3.453,3.600,4.376,38.682,0.329
1280,13571.775,3.071,2.424,2.808,2.989,3.264,3.481,3.689,4.488,51.841,0.326
1320,13735.925,3.049,2.425,2.803,2.982,3.245,3.462,3.629,4.337,33.586,0.328
1360,13837.725,3.038,2.423,2.800,2.978,3.227,3.451,3.592,4.266,29.079,0.329
1400,13512.325,3.101,2.430,2.819,3.000,3.280,3.508,3.760,5.039,216.605,0.322
1440,13805.400,3.049,2.427,2.809,2.985,3.247,3.460,3.610,4.314,28.765,0.328
1480,13828.025,3.049,2.424,2.809,2.984,3.241,3.458,3.604,4.289,28.129,0.328
1520,13822.475,3.051,2.425,2.809,2.988,3.244,3.465,3.626,4.327,25.398,0.328
1560,13739.750,3.056,2.429,2.808,2.987,3.242,3.465,3.628,4.357,40.199,0.327
1600,13805.250,3.045,2.416,2.805,2.983,3.232,3.459,3.607,4.263,25.576,0.328
1640,13831.250,3.046,2.426,2.805,2.982,3.229,3.457,3.603,4.304,32.392,0.328
1680,13760.225,3.061,2.426,2.810,2.986,3.248,3.469,3.644,4.545,28.465,0.327
1720,13866.725,3.045,2.428,2.807,2.984,3.228,3.458,3.599,4.263,24.485,0.328
1760,13826.125,3.046,2.422,2.806,2.984,3.231,3.458,3.607,4.327,20.477,0.328
