Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3800.125,3.099,2.432,2.835,3.015,3.285,3.510,3.713,4.565,66.805,0.323
40,3892.750,3.085,2.440,2.830,3.007,3.263,3.488,3.649,4.381,105.579,0.324
80,3908.450,3.088,2.440,2.830,3.008,3.262,3.488,3.641,4.433,73.196,0.324
120,3911.200,3.076,2.436,2.826,3.005,3.252,3.482,3.632,4.390,67.078,0.325
160,3944.525,3.074,2.429,2.825,3.003,3.254,3.483,3.637,4.439,70.518,0.325
200,3914.875,3.092,2.432,2.832,3.012,3.279,3.503,3.702,4.666,44.773,0.323
240,3950.650,3.072,2.442,2.826,3.005,3.258,3.480,3.627,4.393,42.009,0.326
280,3970.950,3.074,2.434,2.826,3.002,3.250,3.477,3.625,4.473,37.488,0.325
320,3958.725,3.070,2.443,2.824,3.002,3.253,3.478,3.624,4.424,47.653,0.326
360,3931.975,3.077,2.436,2.825,3.003,3.255,3.482,3.644,4.524,35.123,0.325
400,3858.650,3.102,2.445,2.836,3.018,3.295,3.517,3.740,4.562,32.143,0.322
440,3921.350,3.075,2.435,2.830,3.010,3.271,3.489,3.654,4.384,15.969,0.325
480,3868.950,3.114,2.439,2.833,3.014,3.291,3.514,3.749,4.912,222.641,0.321
520,3954.250,3.075,2.440,2.826,3.005,3.261,3.482,3.642,4.450,39.248,0.325
560,3955.550,3.079,2.442,2.830,3.009,3.271,3.489,3.645,4.440,25.134,0.325
600,3936.300,3.083,2.438,2.834,3.010,3.275,3.495,3.673,4.459,20.451,0.324
640,3959.200,3.075,2.433,2.831,3.008,3.264,3.486,3.644,4.382,19.368,0.325
680,3938.575,3.070,2.439,2.830,3.007,3.259,3.479,3.625,4.363,24.841,0.326
720,3958.150,3.066,2.437,2.825,3.002,3.249,3.479,3.624,4.352,21.333,0.326
760,3962.150,3.068,2.438,2.824,3.001,3.251,3.475,3.618,4.371,23.793,0.326
800,3926.750,3.100,2.440,2.834,3.014,3.283,3.507,3.721,4.791,55.109,0.323
840,3948.275,3.073,2.438,2.829,3.006,3.256,3.482,3.632,4.346,52.175,0.325
880,3968.825,3.068,2.433,2.826,3.003,3.252,3.476,3.620,4.401,26.883,0.326
920,3956.025,3.070,2.438,2.826,3.005,3.261,3.483,3.641,4.415,25.881,0.326
960,3918.875,3.072,2.442,2.828,3.008,3.264,3.488,3.644,4.366,25.363,0.325
1000,3940.775,3.079,2.439,2.830,3.013,3.275,3.495,3.655,4.378,33.387,0.325
1040,3947.650,3.071,2.434,2.823,3.007,3.252,3.481,3.624,4.350,53.097,0.326
1080,3945.600,3.083,2.438,2.830,3.010,3.273,3.497,3.680,4.571,28.180,0.324
1120,3955.725,3.065,2.440,2.825,3.003,3.252,3.476,3.616,4.368,27.445,0.326
1160,3946.150,3.072,2.443,2.829,3.009,3.261,3.484,3.639,4.418,29.742,0.325
1200,3935.150,3.073,2.437,2.829,3.008,3.266,3.484,3.633,4.321,30.553,0.325
1240,3957.000,3.071,2.442,2.826,3.006,3.259,3.481,3.633,4.427,39.121,0.326
1280,3879.075,3.101,2.446,2.836,3.020,3.297,3.515,3.724,4.519,227.314,0.322
1320,3934.400,3.078,2.442,2.830,3.010,3.275,3.493,3.671,4.365,33.363,0.325
1360,3961.200,3.068,2.439,2.826,3.006,3.261,3.481,3.630,4.336,29.032,0.326
1400,3870.050,3.128,2.443,2.847,3.029,3.308,3.538,3.792,5.029,217.342,0.320
1440,3938.575,3.077,2.446,2.835,3.011,3.276,3.488,3.643,4.370,28.486,0.325
1480,3934.125,3.075,2.443,2.833,3.010,3.266,3.487,3.633,4.329,27.672,0.325
1520,3958.850,3.077,2.440,2.833,3.013,3.268,3.493,3.655,4.380,25.345,0.325
1560,3935.475,3.079,2.446,2.830,3.011,3.267,3.491,3.647,4.378,40.097,0.325
1600,3951.050,3.074,2.440,2.831,3.010,3.264,3.490,3.646,4.331,25.507,0.325
1640,3953.600,3.074,2.447,2.831,3.008,3.256,3.485,3.632,4.363,210.097,0.325
1680,3933.125,3.093,2.437,2.836,3.014,3.282,3.504,3.687,4.622,28.302,0.323
1720,3944.775,3.072,2.447,2.833,3.011,3.259,3.487,3.631,4.283,24.118,0.325
1760,3953.650,3.074,2.439,2.831,3.011,3.259,3.488,3.641,4.367,20.575,0.325
