Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,755.525,7.164,5.023,6.154,6.813,7.590,8.410,8.975,11.729,71.858,0.140
40,774.425,6.880,5.039,6.068,6.660,7.342,8.078,8.527,9.826,110.065,0.145
80,783.925,6.778,5.013,6.037,6.569,7.225,7.934,8.359,9.635,76.631,0.148
120,788.075,6.690,5.028,6.009,6.514,7.138,7.796,8.204,9.231,70.426,0.149
160,785.400,6.669,5.006,5.990,6.498,7.120,7.763,8.181,9.287,74.828,0.150
200,776.375,6.691,5.019,6.013,6.528,7.146,7.865,8.307,9.734,48.931,0.149
240,789.825,6.598,5.017,5.980,6.477,7.080,7.697,8.112,9.016,44.593,0.152
280,788.200,6.599,5.033,5.976,6.455,7.074,7.698,8.107,9.061,40.806,0.152
320,795.275,6.585,5.005,5.949,6.451,7.065,7.691,8.110,9.015,51.640,0.152
360,780.175,6.607,5.016,5.954,6.459,7.085,7.735,8.150,9.338,39.232,0.151
400,770.100,7.122,5.014,6.251,6.962,7.799,8.584,9.076,10.325,37.328,0.140
440,786.175,6.826,5.022,6.090,6.718,7.412,8.111,8.526,9.526,21.706,0.146
480,771.825,6.916,5.036,6.061,6.636,7.320,8.060,8.572,10.507,223.279,0.145
520,794.075,6.681,5.029,6.015,6.546,7.189,7.880,8.277,9.267,43.967,0.150
560,785.975,6.642,5.013,6.003,6.512,7.130,7.803,8.203,9.193,28.825,0.151
600,784.675,6.672,5.022,6.000,6.527,7.163,7.883,8.310,9.460,24.707,0.150
640,798.475,6.621,5.036,5.976,6.496,7.111,7.761,8.180,9.124,22.945,0.151
680,793.025,6.611,5.028,5.980,6.478,7.090,7.738,8.159,9.203,28.764,0.151
720,787.600,6.582,5.032,5.970,6.458,7.061,7.681,8.090,9.007,26.181,0.152
760,791.225,6.584,5.001,5.970,6.462,7.058,7.687,8.086,8.956,27.008,0.152
800,785.400,6.679,5.024,5.996,6.515,7.152,7.860,8.297,9.682,60.785,0.150
840,791.850,6.605,5.012,5.966,6.463,7.074,7.704,8.101,9.022,56.508,0.151
880,797.250,6.578,5.005,5.960,6.460,7.066,7.667,8.063,8.929,28.670,0.152
920,786.650,6.591,5.017,5.957,6.454,7.075,7.737,8.145,9.093,30.262,0.152
960,797.150,6.595,5.014,5.980,6.463,7.076,7.716,8.130,9.148,28.397,0.152
1000,791.825,6.603,4.998,5.985,6.477,7.095,7.732,8.150,9.079,37.381,0.151
1040,787.425,6.583,5.013,5.970,6.449,7.056,7.655,8.066,8.934,58.796,0.152
1080,780.300,6.605,5.008,5.974,6.477,7.091,7.756,8.160,9.208,32.119,0.151
1120,790.700,6.567,5.020,5.956,6.443,7.051,7.673,8.075,8.906,31.226,0.152
1160,785.800,6.584,5.024,5.969,6.465,7.069,7.683,8.079,8.944,34.298,0.152
1200,791.100,6.607,5.014,5.962,6.471,7.091,7.744,8.146,9.151,33.862,0.151
1240,790.250,6.589,5.029,5.976,6.462,7.071,7.705,8.116,9.015,42.227,0.152
1280,778.625,6.922,5.009,6.104,6.739,7.516,8.337,8.867,10.100,56.354,0.144
1320,781.700,6.932,5.017,6.139,6.808,7.555,8.267,8.724,9.774,38.608,0.144
1360,789.175,6.764,5.010,6.061,6.656,7.325,8.019,8.430,9.339,32.651,0.148
1400,773.575,6.842,5.016,6.073,6.672,7.364,8.155,8.654,10.679,216.890,0.146
1440,790.575,6.664,5.024,6.022,6.549,7.172,7.840,8.250,9.208,32.563,0.150
1480,796.500,6.624,5.006,5.998,6.510,7.123,7.763,8.151,8.995,30.537,0.151
1520,788.350,6.611,5.024,5.986,6.498,7.117,7.750,8.164,9.036,29.263,0.151
1560,793.175,6.628,5.013,5.997,6.494,7.113,7.781,8.198,9.205,42.513,0.151
1600,787.825,6.610,5.038,5.983,6.476,7.098,7.745,8.163,9.137,29.142,0.151
1640,792.625,6.596,5.013,5.971,6.467,7.082,7.710,8.107,8.984,216.646,0.152
1680,789.750,6.645,5.021,6.010,6.521,7.127,7.784,8.197,9.245,31.757,0.150
1720,788.925,6.601,5.020,5.985,6.483,7.094,7.720,8.110,8.923,28.820,0.151
1760,794.475,6.591,5.019,5.969,6.467,7.079,7.700,8.118,9.024,24.326,0.152
