Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5321.750,6.132,4.230,5.207,5.565,6.043,6.636,7.323,29.950,70.278,0.163
40,5446.625,5.718,4.216,5.119,5.446,5.868,6.329,6.758,8.903,107.908,0.175
80,5479.525,5.654,4.197,5.096,5.420,5.834,6.281,6.688,8.788,76.276,0.177
120,5509.600,5.593,4.223,5.076,5.396,5.798,6.219,6.555,8.109,70.090,0.179
160,5515.500,5.570,4.186,5.064,5.378,5.777,6.210,6.546,8.140,74.050,0.180
200,5466.450,5.616,4.182,5.107,5.440,5.873,6.359,6.843,8.633,48.133,0.178
240,5538.500,5.495,4.190,5.074,5.388,5.784,6.201,6.516,7.710,44.852,0.182
280,5531.375,5.482,4.190,5.056,5.371,5.766,6.177,6.496,7.740,39.856,0.182
320,5544.725,5.495,4.216,5.062,5.378,5.778,6.200,6.528,7.860,51.586,0.182
360,5522.325,5.533,4.177,5.078,5.397,5.805,6.247,6.634,8.208,38.760,0.181
400,5402.150,5.788,4.234,5.273,5.640,6.102,6.617,7.074,8.688,35.508,0.173
440,5503.050,5.522,4.227,5.098,5.421,5.822,6.244,6.578,7.857,23.161,0.181
480,5390.850,5.820,4.215,5.100,5.429,5.858,6.346,6.902,10.075,230.666,0.172
520,5515.075,5.506,4.196,5.086,5.402,5.799,6.215,6.532,7.671,41.869,0.182
560,5522.600,5.500,4.204,5.081,5.398,5.795,6.208,6.514,7.692,28.391,0.182
600,5494.475,5.597,4.198,5.125,5.457,5.890,6.371,6.820,8.319,24.231,0.179
640,5519.125,5.539,4.187,5.110,5.432,5.835,6.260,6.599,7.893,22.590,0.181
680,5547.075,5.517,4.193,5.082,5.401,5.804,6.228,6.569,7.980,28.127,0.181
720,5530.875,5.488,4.206,5.072,5.384,5.782,6.195,6.507,7.699,25.413,0.182
760,5577.125,5.480,4.191,5.065,5.378,5.771,6.182,6.489,7.737,26.226,0.182
800,5465.050,5.599,4.226,5.120,5.451,5.881,6.364,6.819,8.437,58.018,0.179
840,5527.100,5.504,4.188,5.073,5.391,5.785,6.205,6.529,7.846,55.798,0.182
880,5539.475,5.464,4.197,5.056,5.365,5.754,6.161,6.458,7.635,27.867,0.183
920,5516.650,5.520,4.216,5.090,5.411,5.814,6.236,6.566,7.876,28.967,0.181
960,5531.825,5.530,4.223,5.085,5.409,5.821,6.260,6.625,8.091,28.773,0.181
1000,5520.275,5.532,4.196,5.089,5.423,5.838,6.273,6.627,7.824,36.515,0.181
1040,5546.625,5.480,4.201,5.053,5.373,5.765,6.177,6.482,7.781,56.288,0.182
1080,5528.200,5.516,4.193,5.078,5.401,5.809,6.243,6.604,7.927,31.609,0.181
1120,5546.400,5.473,4.203,5.056,5.369,5.762,6.179,6.499,7.689,31.412,0.183
1160,5536.950,5.479,4.199,5.064,5.382,5.778,6.190,6.502,7.661,32.543,0.183
1200,5541.025,5.538,4.221,5.096,5.420,5.832,6.276,6.651,7.941,33.232,0.181
1240,5534.300,5.507,4.206,5.078,5.397,5.800,6.223,6.552,7.808,41.775,0.182
1280,5430.875,5.702,4.219,5.193,5.560,6.022,6.534,6.981,8.411,54.669,0.175
1320,5496.775,5.561,4.218,5.128,5.454,5.862,6.291,6.637,7.931,38.046,0.180
1360,5534.700,5.497,4.196,5.082,5.399,5.793,6.204,6.509,7.647,33.021,0.182
1400,5398.350,5.693,4.254,5.161,5.511,5.970,6.531,7.140,9.250,221.505,0.176
1440,5508.825,5.530,4.203,5.106,5.423,5.829,6.245,6.568,7.822,31.023,0.181
1480,5527.550,5.491,4.212,5.082,5.394,5.786,6.189,6.477,7.570,32.769,0.182
1520,5519.800,5.515,4.197,5.092,5.410,5.810,6.235,6.564,7.796,28.523,0.181
1560,5509.475,5.560,4.220,5.113,5.436,5.845,6.288,6.658,8.089,42.730,0.180
1600,5528.925,5.535,4.206,5.098,5.422,5.835,6.277,6.647,7.875,28.403,0.181
1640,5527.375,5.498,4.214,5.071,5.388,5.784,6.209,6.534,7.792,216.320,0.182
1680,5521.275,5.515,4.204,5.082,5.400,5.803,6.234,6.591,7.985,31.023,0.181
1720,5533.025,5.499,4.221,5.092,5.403,5.793,6.207,6.492,7.587,28.426,0.182
1760,5529.475,5.502,4.193,5.077,5.394,5.795,6.219,6.549,7.805,23.481,0.182
