Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,758.475,5.427,3.746,4.729,5.153,5.622,6.164,6.601,9.206,69.629,0.184
40,785.325,5.144,3.741,4.585,5.016,5.453,5.937,6.278,7.516,106.889,0.194
80,780.825,5.087,3.741,4.544,4.963,5.411,5.891,6.220,7.297,74.644,0.197
120,793.600,5.046,3.738,4.518,4.917,5.363,5.843,6.162,7.157,68.839,0.198
160,783.350,5.004,3.749,4.496,4.885,5.345,5.807,6.131,7.147,72.384,0.200
200,784.250,5.043,3.738,4.500,4.918,5.398,5.929,6.327,7.702,46.591,0.198
240,800.175,4.962,3.741,4.474,4.867,5.331,5.807,6.140,7.064,43.329,0.202
280,789.475,4.965,3.724,4.476,4.865,5.320,5.796,6.124,7.101,39.864,0.201
320,792.025,4.964,3.740,4.459,4.846,5.316,5.799,6.134,7.109,51.193,0.201
360,779.950,4.991,3.742,4.474,4.869,5.341,5.850,6.195,7.433,37.039,0.200
400,778.075,5.351,3.756,4.852,5.252,5.709,6.190,6.557,7.734,34.571,0.187
440,790.950,5.117,3.752,4.659,5.052,5.475,5.894,6.199,7.147,18.814,0.195
480,773.800,5.186,3.743,4.583,5.015,5.461,5.968,6.352,8.113,230.110,0.193
520,795.725,5.029,3.744,4.536,4.937,5.392,5.862,6.170,7.119,40.889,0.199
560,784.475,5.002,3.751,4.517,4.909,5.355,5.840,6.165,7.123,26.977,0.200
600,789.400,5.026,3.737,4.508,4.928,5.393,5.914,6.270,7.428,22.695,0.199
640,784.950,4.995,3.764,4.494,4.899,5.368,5.856,6.191,7.255,21.373,0.200
680,790.475,4.978,3.745,4.483,4.870,5.341,5.832,6.164,7.249,27.460,0.201
720,796.700,4.957,3.738,4.466,4.853,5.326,5.798,6.125,7.073,23.879,0.202
760,794.550,4.950,3.741,4.452,4.850,5.313,5.793,6.106,7.089,25.006,0.202
800,784.300,5.034,3.746,4.485,4.898,5.395,5.938,6.330,7.660,57.251,0.199
840,790.175,4.961,3.736,4.467,4.857,5.323,5.817,6.152,7.031,53.149,0.202
880,790.550,4.939,3.746,4.456,4.845,5.307,5.780,6.095,6.994,26.104,0.202
920,789.800,4.969,3.746,4.466,4.870,5.340,5.842,6.180,7.140,27.740,0.201
960,789.975,4.965,3.744,4.457,4.861,5.338,5.840,6.176,7.141,27.789,0.201
1000,789.675,4.974,3.748,4.470,4.871,5.350,5.861,6.194,7.120,34.140,0.201
1040,790.475,4.959,3.721,4.463,4.852,5.316,5.790,6.107,7.061,55.666,0.202
1080,790.100,4.976,3.751,4.470,4.864,5.336,5.845,6.201,7.309,31.170,0.201
1120,789.450,4.938,3.736,4.449,4.836,5.300,5.784,6.098,6.964,29.090,0.203
1160,794.875,4.949,3.750,4.459,4.857,5.321,5.801,6.125,7.045,31.847,0.202
1200,783.875,4.969,3.735,4.464,4.861,5.340,5.838,6.177,7.180,32.559,0.201
1240,794.225,4.958,3.743,4.463,4.860,5.327,5.830,6.157,7.096,40.824,0.202
1280,779.475,5.234,3.747,4.676,5.147,5.621,6.116,6.504,7.710,54.301,0.191
1320,786.350,5.200,3.758,4.741,5.115,5.549,5.982,6.304,7.394,35.602,0.192
1360,784.550,5.076,3.745,4.603,5.018,5.439,5.862,6.151,7.059,31.123,0.197
1400,776.475,5.169,3.742,4.586,5.031,5.515,6.064,6.507,8.281,217.132,0.193
1440,793.525,5.023,3.743,4.535,4.951,5.392,5.859,6.183,7.174,30.370,0.199
1480,792.425,4.988,3.732,4.513,4.906,5.361,5.830,6.142,6.986,28.124,0.200
1520,783.850,4.983,3.726,4.504,4.896,5.365,5.831,6.157,7.064,27.332,0.201
1560,791.125,5.005,3.747,4.497,4.903,5.372,5.866,6.201,7.256,40.764,0.200
1600,786.950,4.981,3.740,4.485,4.880,5.356,5.865,6.201,7.214,26.619,0.201
1640,794.200,4.969,3.731,4.473,4.871,5.336,5.816,6.147,7.132,33.348,0.201
1680,782.625,4.982,3.737,4.485,4.876,5.350,5.836,6.180,7.328,31.143,0.201
1720,793.075,4.964,3.756,4.474,4.876,5.342,5.807,6.127,7.003,27.533,0.201
1760,788.875,4.969,3.736,4.471,4.863,5.337,5.839,6.163,7.135,22.747,0.201
