Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,32291,32291.000,2448,2966,3260,4332,4068,6554,7375,28950,45207
1,34515,34515.000,2438,2942,3223,4052,3942,6250,6894,13527,43133
2,35368,35368.000,2431,2908,3178,3953,3835,6050,6685,10484,40517
3,36810,36810.000,2430,2889,3142,3812,3677,5852,6425,8358,39060
4,35441,35441.000,2439,2891,3153,3935,3779,5904,6646,10900,39307
5,38022,38022.000,2441,2881,3132,3679,3666,5661,6180,7553,38476
6,37419,37419.000,2437,2869,3118,3738,3646,5605,6119,7973,41932
7,38168,38168.000,2440,2865,3114,3666,3636,5577,6073,7515,38005
8,37983,37983.000,2441,2863,3106,3683,3608,5580,6117,8346,39526
9,37175,37175.000,2442,2861,3113,3766,3657,5634,6317,9578,38262
10,39155,39155.000,2440,2852,3090,3611,3563,5495,5980,7285,40083
11,38627,38627.000,2432,2854,3096,3580,3592,5503,6006,7304,22098
12,38055,38055.000,2446,2869,3115,3677,3661,5580,6145,7849,39870
13,38417,38417.000,2444,2865,3107,3642,3581,5524,6036,7452,38644
14,38536,38536.000,2437,2859,3095,3630,3576,5503,6001,7624,38225
15,39401,39401.000,2439,2858,3096,3552,3546,5457,5970,7183,12453
16,38805,38805.000,2433,2848,3084,3605,3563,5411,5928,7338,39662
17,38795,38795.000,2439,2850,3085,3608,3538,5414,5899,7350,41330
18,39414,39414.000,2443,2854,3096,3549,3568,5424,5889,7080,11536
19,38773,38773.000,2438,2851,3085,3607,3566,5429,5935,7442,38534
20,39214,39214.000,2441,2861,3101,3785,3605,5476,5989,7551,71858
21,36334,36334.000,2440,2855,3084,3615,3547,5423,5893,7351,38965
22,39253,39253.000,2437,2865,3100,3564,3597,5424,5928,7230,14346
23,38780,38780.000,2438,2855,3087,3608,3554,5396,5879,7239,41473
24,39134,39134.000,2448,2864,3098,3575,3607,5482,5998,7238,11716
25,38466,38466.000,2434,2866,3107,3637,3582,5473,6013,7720,39709
26,38682,38682.000,2417,2865,3113,3618,3706,5595,6120,7477,11730
27,38561,38561.000,2433,2854,3092,3629,3545,5457,6001,7631,39558
28,39066,39066.000,2435,2854,3093,3581,3583,5516,6051,7391,14638
29,38269,38269.000,2444,2856,3096,3657,3605,5508,6065,7646,41942
30,38051,38051.000,2443,2875,3128,3676,3714,5731,6475,8470,13196
31,38419,38419.000,2442,2866,3107,3640,3583,5494,6046,7776,40023
