Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1083.550,3.040,0.549,0.943,2.861,4.338,5.437,6.267,8.821,123.829,0.329
40,1136.875,2.847,0.549,0.936,2.904,4.094,5.043,5.750,7.666,131.973,0.351
80,1152.925,2.841,0.547,0.925,3.039,4.088,5.024,5.764,7.570,137.994,0.352
120,1149.575,2.843,0.522,0.922,3.068,4.080,4.986,5.705,7.514,95.566,0.352
160,1162.750,2.822,0.551,0.913,3.071,4.060,4.924,5.641,7.490,124.878,0.354
200,1135.725,2.835,0.543,0.924,3.069,4.082,4.972,5.687,7.557,75.000,0.353
240,1164.325,2.807,0.535,0.917,3.077,4.026,4.883,5.562,7.337,64.165,0.356
280,1161.725,2.806,0.541,0.917,3.063,4.063,4.942,5.629,7.423,49.381,0.356
320,1159.000,2.789,0.537,0.921,3.075,4.045,4.902,5.596,7.351,50.074,0.359
360,1158.175,2.790,0.556,0.932,3.086,4.049,4.903,5.569,7.349,48.030,0.358
400,1153.650,2.792,0.558,0.937,3.100,4.044,4.864,5.567,7.333,48.922,0.358
440,1155.500,2.800,0.529,0.937,3.078,4.045,4.916,5.610,7.309,58.159,0.357
480,1109.725,2.958,0.546,0.941,3.038,4.347,5.440,6.220,8.107,18.738,0.338
520,1145.525,2.861,0.539,0.932,2.955,4.178,5.149,5.872,7.599,63.314,0.350
560,1151.700,2.826,0.539,0.917,3.051,4.101,5.030,5.739,7.515,48.859,0.354
600,1156.050,2.816,0.546,0.919,3.086,4.077,4.972,5.684,7.365,45.320,0.355
640,1161.700,2.815,0.554,0.925,3.080,4.059,4.951,5.680,7.445,44.742,0.355
680,1156.725,2.792,0.552,0.926,3.067,4.036,4.915,5.605,7.232,37.558,0.358
720,1167.475,2.799,0.548,0.935,3.075,4.040,4.902,5.630,7.377,42.998,0.357
760,1171.850,2.778,0.551,0.922,3.061,4.026,4.885,5.566,7.272,35.381,0.360
800,1157.825,2.796,0.546,0.934,3.058,4.050,4.919,5.626,7.375,29.288,0.358
840,1154.100,2.794,0.555,0.937,3.041,4.043,4.926,5.624,7.270,30.633,0.358
880,1152.475,2.810,0.533,0.947,3.107,4.047,4.916,5.608,7.320,34.978,0.356
920,1165.200,2.775,0.536,0.915,3.060,4.031,4.896,5.578,7.325,26.017,0.360
960,1152.725,2.792,0.540,0.916,3.074,4.056,4.920,5.623,7.387,45.675,0.358
1000,1156.725,2.806,0.547,0.926,3.095,4.070,4.911,5.605,7.459,31.856,0.356
1040,1145.825,2.811,0.550,0.925,3.071,4.098,4.990,5.693,7.400,32.594,0.356
1080,1161.400,2.811,0.550,0.935,3.102,4.072,4.930,5.634,7.386,37.553,0.356
1120,1163.875,2.794,0.543,0.935,3.065,4.038,4.916,5.641,7.404,40.410,0.358
1160,1159.250,2.793,0.559,0.934,3.088,4.052,4.901,5.586,7.344,26.762,0.358
1200,1162.475,2.789,0.544,0.937,3.074,4.046,4.888,5.569,7.403,23.129,0.359
1240,1159.975,2.781,0.544,0.933,3.046,4.031,4.889,5.563,7.352,18.725,0.360
1280,1154.575,2.793,0.547,0.931,3.052,4.046,4.900,5.608,7.534,31.910,0.358
1320,1157.575,2.809,0.539,0.928,3.098,4.086,4.939,5.653,7.464,17.073,0.356
1360,1130.050,2.870,0.529,0.951,3.071,4.146,5.158,6.009,7.888,23.475,0.348
1400,1111.075,2.984,0.558,0.944,3.020,4.369,5.476,6.269,8.361,27.204,0.335
1440,1141.825,2.851,0.551,0.937,3.066,4.128,5.065,5.794,7.655,27.368,0.351
1480,1145.600,2.841,0.560,0.938,3.114,4.099,4.999,5.693,7.438,31.819,0.352
1520,1140.300,2.815,0.549,0.925,3.060,4.070,4.981,5.677,7.406,35.560,0.355
1560,1162.700,2.828,0.557,0.940,3.101,4.085,4.968,5.657,7.382,71.726,0.354
1600,1143.800,2.816,0.552,0.929,3.072,4.071,4.974,5.682,7.379,40.812,0.355
1640,1143.925,2.836,0.544,0.939,3.076,4.103,5.004,5.716,7.398,53.171,0.353
1680,1136.550,2.802,0.534,0.938,3.069,4.055,4.918,5.611,7.318,52.658,0.357
1720,1150.725,2.816,0.555,0.954,3.065,4.081,4.963,5.656,7.349,40.537,0.355
1760,1143.750,2.828,0.562,0.932,3.102,4.096,4.977,5.694,7.509,36.989,0.354
