Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5415.175,2.281,0.324,0.499,1.313,3.795,4.643,5.295,7.209,126.341,0.438
40,5694.400,2.261,0.331,0.504,2.385,3.657,4.371,4.946,6.748,130.617,0.442
80,5740.525,2.236,0.336,0.498,2.428,3.635,4.329,4.891,6.630,137.675,0.447
120,5770.050,2.253,0.329,0.496,2.544,3.644,4.337,4.895,6.702,96.696,0.444
160,5763.250,2.251,0.323,0.496,2.624,3.621,4.296,4.862,6.656,126.418,0.444
200,5742.800,2.267,0.330,0.498,2.636,3.648,4.331,4.903,6.735,74.785,0.441
240,5786.400,2.248,0.326,0.496,2.643,3.612,4.272,4.829,6.615,61.928,0.445
280,5784.775,2.241,0.335,0.501,2.580,3.617,4.293,4.840,6.601,49.248,0.446
320,5829.700,2.256,0.346,0.498,2.673,3.622,4.286,4.841,6.649,51.851,0.443
360,5801.325,2.265,0.338,0.502,2.678,3.629,4.299,4.868,6.698,47.033,0.441
400,5793.675,2.266,0.351,0.505,2.697,3.628,4.285,4.837,6.634,53.018,0.441
440,5784.150,2.263,0.344,0.509,2.628,3.621,4.306,4.869,6.645,59.756,0.442
480,5543.625,2.302,0.342,0.505,1.551,3.829,4.722,5.371,7.153,62.056,0.434
520,5694.875,2.277,0.349,0.511,2.288,3.735,4.482,5.037,6.852,65.272,0.439
560,5765.075,2.263,0.341,0.496,2.533,3.678,4.374,4.934,6.740,51.792,0.442
600,5781.950,2.261,0.330,0.499,2.643,3.644,4.322,4.879,6.645,38.814,0.442
640,5790.800,2.247,0.338,0.500,2.589,3.624,4.301,4.854,6.631,42.467,0.445
680,5810.225,2.256,0.344,0.497,2.672,3.615,4.292,4.845,6.623,40.071,0.443
720,5794.025,2.255,0.337,0.503,2.640,3.621,4.293,4.844,6.624,44.767,0.443
760,5811.850,2.251,0.344,0.494,2.675,3.602,4.258,4.828,6.628,46.831,0.444
800,5805.225,2.264,0.336,0.503,2.672,3.624,4.295,4.879,6.707,30.460,0.442
840,5810.550,2.245,0.340,0.504,2.614,3.606,4.277,4.834,6.554,30.432,0.446
880,5786.375,2.264,0.350,0.503,2.702,3.623,4.290,4.842,6.671,35.618,0.442
920,5811.425,2.261,0.345,0.498,2.698,3.621,4.286,4.839,6.632,26.375,0.442
960,5790.200,2.275,0.336,0.497,2.721,3.650,4.308,4.874,6.690,45.685,0.440
1000,5783.425,2.263,0.341,0.499,2.673,3.646,4.316,4.867,6.657,31.072,0.442
1040,5777.475,2.267,0.331,0.500,2.625,3.660,4.343,4.897,6.703,31.717,0.441
1080,5774.875,2.279,0.345,0.500,2.710,3.649,4.324,4.908,6.714,36.982,0.439
1120,5795.175,2.265,0.347,0.507,2.658,3.623,4.300,4.873,6.691,39.090,0.442
1160,5792.175,2.273,0.342,0.506,2.706,3.631,4.302,4.859,6.657,30.890,0.440
1200,5794.300,2.269,0.339,0.506,2.680,3.633,4.305,4.875,6.655,23.975,0.441
1240,5789.200,2.260,0.331,0.505,2.674,3.610,4.290,4.864,6.636,17.704,0.442
1280,5778.700,2.265,0.348,0.506,2.678,3.616,4.295,4.864,6.679,17.801,0.442
1320,5754.900,2.280,0.347,0.504,2.702,3.658,4.328,4.900,6.776,17.076,0.439
1360,5658.625,2.301,0.326,0.508,2.558,3.677,4.492,5.215,7.035,19.701,0.435
1400,5542.100,2.296,0.338,0.515,1.455,3.857,4.684,5.291,7.204,17.435,0.436
1440,5720.325,2.275,0.350,0.511,2.514,3.687,4.398,4.968,6.792,14.939,0.440
1480,5732.500,2.286,0.341,0.508,2.663,3.672,4.366,4.942,6.795,28.541,0.437
1520,5783.950,2.277,0.344,0.503,2.674,3.657,4.338,4.918,6.704,35.761,0.439
1560,5755.925,2.269,0.344,0.504,2.686,3.643,4.311,4.871,6.655,71.338,0.441
1600,5745.625,2.270,0.342,0.504,2.641,3.654,4.335,4.888,6.680,41.587,0.441
1640,5752.300,2.281,0.342,0.503,2.653,3.665,4.351,4.910,6.733,55.641,0.438
1680,5764.275,2.278,0.340,0.505,2.691,3.646,4.326,4.905,6.718,54.720,0.439
1720,5739.125,2.283,0.341,0.511,2.670,3.656,4.344,4.893,6.685,38.904,0.438
1760,5728.475,2.290,0.333,0.502,2.681,3.688,4.371,4.954,6.771,33.772,0.437
