Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18962.200,2.265,0.322,0.487,1.306,3.769,4.605,5.264,7.170,127.223,0.441
40,19992.200,2.229,0.324,0.487,2.366,3.620,4.317,4.881,6.669,134.277,0.449
80,20111.000,2.218,0.325,0.484,2.413,3.608,4.297,4.852,6.653,140.004,0.451
120,20112.475,2.218,0.312,0.481,2.461,3.612,4.292,4.847,6.638,100.223,0.451
160,20187.175,2.230,0.319,0.481,2.594,3.595,4.266,4.825,6.624,127.131,0.449
200,20124.925,2.239,0.327,0.482,2.581,3.619,4.302,4.871,6.722,77.623,0.447
240,20244.225,2.229,0.323,0.482,2.627,3.589,4.245,4.797,6.597,65.356,0.449
280,20277.600,2.213,0.330,0.486,2.534,3.588,4.255,4.800,6.543,52.423,0.452
320,20308.275,2.230,0.327,0.483,2.629,3.594,4.254,4.813,6.617,53.119,0.449
360,20288.500,2.241,0.332,0.488,2.657,3.602,4.267,4.826,6.641,48.186,0.446
400,20317.825,2.240,0.322,0.490,2.660,3.597,4.253,4.803,6.594,51.430,0.446
440,20234.575,2.236,0.337,0.494,2.594,3.595,4.271,4.824,6.613,62.018,0.447
480,19424.375,2.276,0.328,0.490,1.492,3.799,4.682,5.337,7.140,65.682,0.439
520,19870.575,2.247,0.335,0.493,2.196,3.706,4.442,5.004,6.832,65.490,0.445
560,20196.150,2.228,0.332,0.480,2.442,3.642,4.335,4.896,6.682,51.758,0.449
600,20273.575,2.236,0.328,0.483,2.595,3.615,4.294,4.862,6.653,39.740,0.447
640,20297.500,2.225,0.336,0.484,2.560,3.601,4.272,4.826,6.600,44.392,0.449
680,20356.575,2.229,0.340,0.483,2.640,3.585,4.260,4.814,6.583,38.363,0.449
720,20285.725,2.228,0.337,0.488,2.595,3.593,4.264,4.824,6.606,44.009,0.449
760,20374.950,2.228,0.334,0.479,2.653,3.577,4.231,4.797,6.596,46.891,0.449
800,20294.250,2.240,0.333,0.489,2.636,3.598,4.271,4.839,6.646,29.564,0.447
840,20396.575,2.218,0.327,0.489,2.562,3.576,4.248,4.811,6.580,30.842,0.451
880,20307.700,2.243,0.332,0.488,2.681,3.593,4.265,4.829,6.622,38.163,0.446
920,20370.600,2.228,0.327,0.482,2.650,3.591,4.250,4.803,6.600,27.355,0.449
960,20226.750,2.247,0.334,0.482,2.681,3.619,4.280,4.839,6.641,48.260,0.445
1000,20254.900,2.238,0.334,0.483,2.626,3.617,4.283,4.839,6.665,33.947,0.447
1040,20159.600,2.242,0.319,0.484,2.595,3.632,4.309,4.865,6.679,207.971,0.446
1080,20203.950,2.253,0.327,0.485,2.679,3.619,4.291,4.862,6.673,36.209,0.444
1120,20287.450,2.235,0.337,0.490,2.619,3.594,4.261,4.823,6.625,39.084,0.447
1160,20233.025,2.249,0.335,0.491,2.681,3.603,4.263,4.824,6.634,28.017,0.445
1200,20245.975,2.239,0.329,0.490,2.640,3.598,4.270,4.832,6.613,26.261,0.447
1240,20292.500,2.232,0.331,0.489,2.632,3.582,4.256,4.810,6.610,18.917,0.448
1280,20252.450,2.235,0.334,0.489,2.637,3.586,4.260,4.817,6.612,24.289,0.447
1320,20113.250,2.256,0.329,0.489,2.666,3.636,4.300,4.866,6.751,21.616,0.443
1360,19786.150,2.277,0.327,0.495,2.506,3.651,4.473,5.192,6.999,18.082,0.439
1400,19362.925,2.260,0.332,0.496,1.324,3.819,4.635,5.244,7.168,19.742,0.442
1440,20063.425,2.241,0.336,0.494,2.431,3.658,4.360,4.931,6.791,16.688,0.446
1480,20122.150,2.248,0.332,0.492,2.584,3.632,4.324,4.893,6.728,28.409,0.445
1520,20174.750,2.245,0.320,0.488,2.620,3.627,4.306,4.870,6.689,37.771,0.445
1560,20196.175,2.248,0.337,0.488,2.669,3.617,4.283,4.838,6.630,73.898,0.445
1600,20171.125,2.246,0.330,0.488,2.624,3.627,4.309,4.861,6.625,41.872,0.445
1640,20101.050,2.251,0.331,0.487,2.615,3.632,4.314,4.876,6.678,56.622,0.444
1680,20159.500,2.250,0.332,0.489,2.656,3.620,4.288,4.844,6.660,54.170,0.445
1720,20053.600,2.255,0.341,0.495,2.631,3.625,4.305,4.865,6.701,40.722,0.444
1760,20021.625,2.260,0.333,0.487,2.643,3.654,4.338,4.906,6.726,35.706,0.442
