Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7580.175,4.119,1.057,1.884,2.837,5.155,6.398,7.605,31.576,130.983,0.243
40,8015.550,3.473,1.071,1.755,2.435,4.783,5.690,6.453,9.303,135.992,0.288
80,8046.100,3.477,1.062,1.783,2.526,4.832,5.738,6.487,8.942,142.072,0.288
120,8066.975,3.421,1.072,1.771,2.455,4.801,5.682,6.401,8.714,99.130,0.292
160,8088.150,3.340,1.066,1.725,2.371,4.722,5.575,6.305,8.473,127.643,0.299
200,8048.400,3.336,1.051,1.731,2.371,4.737,5.613,6.320,8.511,81.904,0.300
240,8114.825,3.316,1.069,1.722,2.348,4.698,5.536,6.247,8.415,67.197,0.302
280,8133.425,3.357,1.057,1.752,2.457,4.765,5.635,6.358,8.422,52.895,0.298
320,8124.225,3.244,1.041,1.730,2.358,4.711,5.544,6.227,8.101,51.655,0.308
360,8106.300,3.238,1.033,1.731,2.366,4.709,5.537,6.216,8.041,48.933,0.309
400,8116.025,3.239,1.068,1.737,2.363,4.706,5.529,6.187,8.008,53.519,0.309
440,8070.000,3.296,1.046,1.770,2.441,4.749,5.605,6.273,8.138,63.484,0.303
480,7765.800,3.674,1.034,1.941,2.904,5.170,6.353,7.214,9.336,66.457,0.272
520,7950.950,3.442,1.065,1.839,2.587,4.947,5.866,6.561,8.497,64.499,0.291
560,8106.250,3.319,1.030,1.768,2.438,4.813,5.688,6.382,8.292,52.769,0.301
600,8114.700,3.264,0.989,1.736,2.376,4.740,5.586,6.273,8.128,41.084,0.306
640,8134.550,3.289,1.052,1.756,2.434,4.756,5.616,6.305,8.138,44.886,0.304
680,8135.575,3.227,1.036,1.727,2.351,4.697,5.514,6.179,7.983,38.550,0.310
720,8113.050,3.277,0.990,1.754,2.425,4.733,5.587,6.298,8.118,43.357,0.305
760,8172.200,3.214,1.069,1.716,2.325,4.672,5.497,6.171,7.970,47.958,0.311
800,8125.700,3.237,1.047,1.739,2.356,4.702,5.552,6.233,8.056,32.490,0.309
840,8129.475,3.288,1.059,1.754,2.460,4.736,5.597,6.284,8.101,33.302,0.304
880,8107.500,3.224,1.051,1.729,2.342,4.688,5.519,6.188,7.989,37.131,0.310
920,8130.775,3.225,1.052,1.720,2.350,4.689,5.519,6.192,7.976,29.770,0.310
960,8105.900,3.231,1.039,1.718,2.339,4.708,5.539,6.216,8.045,48.845,0.310
1000,8108.275,3.260,1.044,1.734,2.393,4.732,5.579,6.258,8.120,35.449,0.307
1040,8072.225,3.311,1.039,1.751,2.451,4.793,5.669,6.363,8.194,34.969,0.302
1080,8074.575,3.239,1.045,1.722,2.348,4.703,5.548,6.241,8.106,37.640,0.309
1120,8106.725,3.264,1.047,1.735,2.370,4.711,5.581,6.296,8.308,41.930,0.306
1160,8075.750,3.237,1.061,1.729,2.355,4.704,5.542,6.222,8.088,29.584,0.309
1200,8119.275,3.252,1.060,1.735,2.388,4.709,5.556,6.249,8.100,26.397,0.308
1240,8092.625,3.291,1.037,1.764,2.419,4.732,5.586,6.303,8.385,21.448,0.304
1280,8118.175,3.279,1.051,1.736,2.400,4.710,5.573,6.306,8.411,32.504,0.305
1320,8054.125,3.274,1.061,1.744,2.400,4.747,5.599,6.282,8.241,23.516,0.305
1360,7906.500,3.425,1.020,1.790,2.648,4.810,5.964,6.887,8.927,22.311,0.292
1400,7780.550,3.743,1.060,1.935,2.933,5.270,6.366,7.247,10.118,29.369,0.267
1440,8052.775,3.353,1.054,1.784,2.504,4.842,5.728,6.430,8.399,18.188,0.298
1480,8033.450,3.298,1.063,1.762,2.423,4.779,5.645,6.342,8.265,32.897,0.303
1520,8054.400,3.278,1.044,1.745,2.401,4.755,5.612,6.291,8.154,38.395,0.305
1560,8078.250,3.265,1.032,1.735,2.378,4.736,5.576,6.263,8.159,74.774,0.306
1600,8099.450,3.309,1.071,1.762,2.461,4.777,5.641,6.340,8.096,43.428,0.302
1640,8040.425,3.299,1.046,1.757,2.420,4.780,5.641,6.321,8.158,57.602,0.303
1680,8073.475,3.273,1.036,1.744,2.397,4.744,5.590,6.277,8.092,56.689,0.306
1720,8053.550,3.294,1.082,1.765,2.441,4.760,5.598,6.268,8.096,41.627,0.304
1760,8030.100,3.296,1.032,1.748,2.395,4.791,5.657,6.368,8.294,38.741,0.303
