Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1078.100,3.415,0.579,1.498,2.540,4.727,5.820,6.701,10.295,127.048,0.293
40,1139.250,3.020,0.580,1.342,2.315,4.391,5.280,5.942,7.996,130.596,0.331
80,1142.275,2.986,0.592,1.291,2.438,4.393,5.279,5.964,7.995,135.218,0.335
120,1146.750,2.966,0.581,1.265,2.478,4.370,5.257,5.920,7.818,92.846,0.337
160,1144.050,2.934,0.571,1.239,2.405,4.315,5.198,5.877,7.776,125.597,0.341
200,1156.350,2.911,0.567,1.214,2.347,4.309,5.205,5.909,7.844,74.890,0.344
240,1155.825,2.893,0.569,1.223,2.355,4.266,5.136,5.780,7.623,65.767,0.346
280,1166.450,2.894,0.572,1.212,2.387,4.295,5.181,5.872,7.729,51.820,0.346
320,1157.275,2.874,0.582,1.214,2.401,4.295,5.163,5.829,7.712,50.400,0.348
360,1165.050,2.858,0.585,1.211,2.341,4.289,5.144,5.798,7.478,46.737,0.350
400,1153.950,2.840,0.606,1.202,2.307,4.260,5.129,5.780,7.560,47.351,0.352
440,1155.525,2.877,0.584,1.231,2.399,4.297,5.185,5.823,7.509,59.332,0.348
480,1103.350,3.276,0.608,1.551,2.658,4.807,5.953,6.730,8.731,63.041,0.305
520,1138.650,3.091,0.607,1.457,2.441,4.589,5.507,6.186,8.023,60.837,0.324
560,1156.975,2.962,0.599,1.337,2.369,4.430,5.307,5.973,7.745,51.163,0.338
600,1139.100,2.909,0.580,1.280,2.368,4.346,5.212,5.887,7.647,40.703,0.344
640,1161.525,2.902,0.607,1.245,2.429,4.341,5.211,5.875,7.578,42.380,0.345
680,1159.325,2.868,0.590,1.221,2.374,4.291,5.159,5.817,7.568,37.404,0.349
720,1156.125,2.875,0.597,1.232,2.414,4.281,5.155,5.815,7.608,41.242,0.348
760,1160.400,2.856,0.584,1.210,2.373,4.275,5.154,5.811,7.468,42.661,0.350
800,1155.975,2.865,0.568,1.242,2.367,4.280,5.154,5.793,7.530,29.077,0.349
840,1165.075,2.888,0.573,1.234,2.518,4.301,5.174,5.814,7.490,30.273,0.346
880,1152.950,2.884,0.585,1.230,2.473,4.293,5.169,5.809,7.559,36.211,0.347
920,1171.625,2.847,0.595,1.203,2.353,4.270,5.137,5.772,7.533,26.774,0.351
960,1149.450,2.870,0.593,1.210,2.405,4.312,5.160,5.800,7.540,42.985,0.348
1000,1166.050,2.880,0.567,1.216,2.389,4.311,5.174,5.832,7.679,29.905,0.347
1040,1153.000,2.906,0.596,1.226,2.465,4.347,5.231,5.911,7.596,32.134,0.344
1080,1160.825,2.878,0.596,1.211,2.397,4.312,5.178,5.842,7.592,35.307,0.347
1120,1160.550,2.882,0.594,1.211,2.373,4.302,5.181,5.850,7.722,37.166,0.347
1160,1156.450,2.874,0.587,1.222,2.390,4.299,5.170,5.824,7.594,28.677,0.348
1200,1164.825,2.868,0.593,1.218,2.385,4.284,5.151,5.806,7.637,23.873,0.349
1240,1157.925,2.885,0.592,1.227,2.407,4.296,5.181,5.841,7.678,20.032,0.347
1280,1154.325,2.876,0.593,1.220,2.416,4.285,5.172,5.821,7.739,31.578,0.348
1320,1158.275,2.883,0.604,1.219,2.372,4.334,5.198,5.856,7.736,16.798,0.347
1360,1125.250,3.033,0.607,1.379,2.584,4.412,5.560,6.436,8.440,38.547,0.330
1400,1105.675,3.303,0.611,1.557,2.603,4.862,5.890,6.662,8.809,28.719,0.303
1440,1146.125,3.028,0.607,1.413,2.429,4.496,5.395,6.077,7.990,13.328,0.330
1480,1144.325,2.952,0.594,1.335,2.388,4.414,5.288,5.976,7.799,32.295,0.339
1520,1152.650,2.918,0.590,1.283,2.397,4.347,5.236,5.893,7.709,34.722,0.343
1560,1150.125,2.875,0.593,1.227,2.312,4.303,5.176,5.826,7.626,72.629,0.348
1600,1149.525,2.908,0.598,1.233,2.462,4.345,5.230,5.883,7.634,41.732,0.344
1640,1145.450,2.922,0.599,1.238,2.465,4.363,5.263,5.899,7.681,54.711,0.342
1680,1153.500,2.889,0.567,1.230,2.411,4.309,5.184,5.854,7.565,53.616,0.346
1720,1150.600,2.911,0.572,1.264,2.445,4.334,5.195,5.858,7.670,38.578,0.344
1760,1135.675,2.924,0.607,1.236,2.418,4.373,5.273,5.945,7.739,34.000,0.342
