Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,39611,39611.000,330,648,1745,3624,5297,7209,8790,33325,54656
1,41106,41106.000,323,611,1876,3328,4919,6632,7968,30365,59600
2,45886,45886.000,323,567,2266,3022,4625,5959,7083,12243,45514
3,47964,47964.000,328,557,2144,2912,4435,5827,6918,11412,41605
4,49893,49893.000,334,533,2274,2801,4367,5529,6382,9148,40914
5,51908,51908.000,330,524,2210,2691,4158,5320,6186,8778,39684
6,52052,52052.000,329,513,2193,2685,4159,5373,6242,9197,41512
7,54414,54414.000,336,517,2298,2568,3997,5132,5920,7965,38261
8,51589,51589.000,329,516,2195,2711,4059,5250,6093,9071,55837
9,54776,54776.000,336,508,1995,2549,4023,5159,6111,9433,38262
10,47961,47961.000,328,506,2228,2909,3975,5126,5920,8815,131560
11,55381,55381.000,324,504,2146,2525,3973,5067,5814,7991,39578
12,56572,56572.000,323,508,2248,2487,3896,4956,5652,7596,34237
13,57202,57202.000,344,514,2244,2427,3853,4854,5563,7326,15097
14,55291,55291.000,334,514,2342,2527,3913,4962,5700,7598,36796
15,51343,51343.000,330,516,2236,2721,3975,5022,5733,8287,72146
16,55650,55650.000,324,513,2313,2512,3887,4866,5590,7658,35112
17,56539,56539.000,343,521,2380,2473,3927,4890,5537,7257,15877
18,56182,56182.000,332,515,2268,2487,3839,4854,5546,7567,38388
19,55579,55579.000,325,508,2318,2516,3878,4876,5677,7789,37307
20,55631,55631.000,328,516,2273,2514,3870,4844,5598,7794,38966
21,58002,58002.000,333,515,2356,2408,3759,4733,5449,7399,13813
22,56661,56661.000,330,508,2199,2467,3791,4810,5516,7529,41698
23,54014,54014.000,336,511,2257,2587,3908,4900,5644,7560,66990
24,57529,57529.000,330,512,2104,2432,3782,4834,5625,7746,35208
25,56819,56819.000,327,513,2190,2459,3846,4817,5585,7638,36141
26,57556,57556.000,331,511,2330,2426,3839,4762,5430,7195,14321
27,56713,56713.000,340,517,2342,2466,3797,4754,5427,7309,38438
28,56866,56866.000,337,523,2328,2458,3752,4687,5376,7352,39855
29,57276,57276.000,340,515,2320,2440,3860,4835,5523,7272,28209
30,55242,55242.000,336,526,2277,2531,3822,4877,5655,7856,54039
31,57783,57783.000,334,521,2258,2419,3835,4786,5468,7247,14051
32,56963,56963.000,345,528,2311,2453,3749,4633,5375,7464,37723
33,57830,57830.000,340,520,2294,2416,3820,4776,5461,7108,15832
34,50255,50255.000,327,518,2369,2784,3869,4783,5515,8600,114752
35,56134,56134.000,324,524,2425,2490,3806,4758,5490,7438,36580
36,57448,57448.000,334,520,2351,2434,3840,4847,5505,7107,12662
37,57668,57668.000,320,520,2117,2424,3731,4749,5457,7359,41228
38,57476,57476.000,329,537,2425,2430,3813,4734,5417,7097,14956
39,56378,56378.000,329,529,2356,2472,3770,4768,5501,7461,36393
40,57585,57585.000,328,529,2485,2428,3802,4708,5326,6991,15458
41,57639,57639.000,327,532,2286,2425,3701,4665,5364,7412,37629
42,58194,58194.000,335,526,2345,2403,3787,4653,5345,7155,14357
43,53631,53631.000,344,528,2274,2603,3758,4804,5538,7635,89529
44,57644,57644.000,338,526,2369,2425,3821,4748,5433,7150,14760
45,57258,57258.000,324,534,2308,2442,3713,4714,5375,7261,37830
46,57598,57598.000,349,541,2272,2429,3807,4856,5586,7518,20297
47,56131,56131.000,325,523,2383,2489,3765,4695,5477,7711,41238
48,57971,57971.000,343,530,2489,2411,3742,4657,5349,6867,17372
49,59088,59088.000,330,539,1876,2366,3562,4590,5407,7854,232064
50,57724,57724.000,347,535,2498,2422,3767,4640,5289,7000,13409
51,57231,57231.000,349,539,2590,2442,3775,4711,5376,7024,13185
52,55608,55608.000,325,537,2440,2517,3857,4834,5558,7581,34029
53,57175,57175.000,342,539,2399,2443,3827,4784,5450,7153,20221
54,57066,57066.000,333,524,2378,2452,3736,4712,5390,7296,36874
55,58537,58537.000,342,526,2488,2389,3699,4592,5210,6934,14234
56,51632,51632.000,332,529,2371,2706,3712,4640,5408,7864,100162
57,58774,58774.000,344,524,2427,2379,3716,4591,5241,6896,13544
58,58398,58398.000,338,519,2451,2397,3757,4669,5305,7000,14429
59,58015,58015.000,327,519,2335,2411,3692,4547,5178,7148,39031
60,58175,58175.000,332,517,2413,2401,3758,4703,5373,6965,14367
61,56483,56483.000,331,517,2368,2477,3773,4779,5525,7522,39860
62,57435,57435.000,345,533,2516,2433,3760,4698,5381,7248,13445
63,56465,56465.000,327,526,2458,2481,3773,4735,5447,7377,40096
64,58009,58009.000,344,527,2460,2406,3743,4677,5341,7000,11578
65,58714,58714.000,344,537,2439,2382,3695,4545,5192,6960,15128
66,57516,57516.000,330,529,2394,2432,3686,4599,5351,7344,36237
67,58076,58076.000,328,534,2362,2408,3714,4686,5408,7307,18561
68,56465,56465.000,326,532,2383,2478,3758,4737,5487,7420,40865
69,56551,56551.000,341,531,2508,2469,3829,4731,5382,7434,19289
70,50365,50365.000,336,527,2546,2779,3803,4691,5346,7271,136271
71,57202,57202.000,330,525,2503,2441,3658,4570,5264,7167,40971
72,58003,58003.000,347,524,2486,2411,3699,4711,5379,6957,13225
73,58012,58012.000,331,527,2505,2411,3737,4637,5331,7029,13209
74,57218,57218.000,328,515,2283,2443,3755,4661,5413,7311,39300
75,58266,58266.000,332,525,2538,2401,3706,4625,5335,6903,13953
76,56373,56373.000,331,525,2459,2480,3761,4716,5424,7295,36263
77,58288,58288.000,334,526,2512,2399,3737,4593,5232,6820,12059
78,58103,58103.000,326,530,2551,2407,3704,4628,5317,6870,16067
79,56610,56610.000,330,525,2437,2470,3769,4664,5355,7326,40867
80,57771,57771.000,337,519,2580,2422,3769,4668,5337,7054,15078
81,55798,55798.000,344,525,2531,2503,3712,4642,5287,7232,50746
82,57790,57790.000,323,527,2390,2422,3665,4551,5337,7427,33530
83,58723,58723.000,345,513,2502,2378,3716,4537,5168,6911,15196
84,56558,56558.000,339,525,2529,2473,3848,4815,5484,7383,15702
85,56745,56745.000,328,517,2296,2464,3797,4803,5510,7635,36042
86,58266,58266.000,335,521,2339,2398,3772,4714,5384,7167,14178
87,58118,58118.000,340,532,2502,2406,3704,4653,5320,6980,14445
88,56760,56760.000,329,545,2505,2468,3711,4656,5347,7416,42047
89,58120,58120.000,343,526,2508,2406,3712,4626,5312,6987,11337
90,56049,56049.000,342,529,2585,2493,3868,4836,5562,7392,19074
91,57769,57769.000,327,527,2380,2422,3714,4580,5238,7101,36069
92,57992,57992.000,341,530,2569,2411,3742,4605,5234,6925,15173
93,58637,58637.000,338,526,2562,2383,3665,4529,5207,6807,13870
94,57439,57439.000,330,518,2496,2435,3679,4560,5240,7087,38817
