Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4817.250,7.298,4.517,5.821,6.266,6.800,7.579,8.463,36.822,222.648,0.137
40,4981.575,6.663,4.498,5.727,6.135,6.589,7.131,7.671,10.853,219.303,0.150
80,4987.625,6.694,4.490,5.714,6.112,6.550,7.049,7.560,9.922,210.622,0.149
120,5037.775,6.535,4.455,5.704,6.100,6.534,7.013,7.482,9.328,222.558,0.153
160,5063.250,6.440,4.464,5.720,6.123,6.568,7.088,7.611,9.426,223.776,0.155
200,4957.700,6.947,4.509,5.709,6.110,6.552,7.056,7.562,9.451,220.891,0.144
240,4990.750,6.692,4.502,5.708,6.111,6.552,7.063,7.580,9.406,219.744,0.149
280,4921.575,7.166,4.505,5.707,6.107,6.553,7.059,7.551,9.363,222.666,0.140
320,4785.850,7.837,4.442,5.712,6.118,6.570,7.099,7.637,10.465,422.754,0.128
360,4703.175,8.085,4.506,5.773,6.202,6.706,7.370,8.052,18.428,223.150,0.124
400,4734.200,7.831,4.426,5.842,6.286,6.808,7.525,8.250,12.272,222.857,0.128
440,4773.250,7.722,4.501,5.728,6.139,6.599,7.143,7.706,10.694,223.244,0.130
480,4491.850,9.436,4.469,5.720,6.140,6.611,7.226,7.980,201.829,225.930,0.106
520,4598.300,8.707,4.493,5.712,6.132,6.604,7.222,7.944,189.544,222.881,0.115
560,4506.700,9.346,4.444,5.706,6.111,6.569,7.112,7.713,201.763,410.064,0.107
600,4446.300,9.775,4.501,5.713,6.116,6.573,7.147,7.847,202.482,222.187,0.102
640,4317.625,10.503,4.461,5.716,6.123,6.575,7.146,7.887,207.479,622.295,0.095
680,4520.875,9.338,4.437,5.702,6.103,6.553,7.091,7.737,200.228,420.128,0.107
720,4587.050,8.937,4.470,5.714,6.117,6.568,7.116,7.757,193.260,424.397,0.112
760,4495.125,9.404,4.483,5.743,6.153,6.619,7.233,7.958,200.663,222.324,0.106
800,4842.125,7.436,4.479,5.706,6.109,6.551,7.047,7.528,9.734,222.630,0.134
840,4808.075,7.605,4.422,5.722,6.135,6.595,7.162,7.751,10.532,418.388,0.131
880,5006.500,6.639,4.457,5.703,6.102,6.535,7.018,7.461,9.108,219.686,0.151
920,4999.100,6.774,4.420,5.695,6.092,6.532,7.011,7.457,9.034,220.353,0.148
960,4938.625,6.978,4.470,5.728,6.136,6.587,7.121,7.641,9.462,238.180,0.143
1000,5003.150,6.682,4.471,5.714,6.113,6.553,7.047,7.499,8.990,220.776,0.150
1040,5121.450,6.189,4.459,5.701,6.097,6.531,6.998,7.419,8.659,31.493,0.162
1080,5066.875,6.361,4.411,5.712,6.121,6.566,7.077,7.575,9.145,222.059,0.157
1120,5069.625,6.326,4.517,5.709,6.109,6.548,7.048,7.512,8.925,209.381,0.158
1160,5073.325,6.221,4.451,5.722,6.124,6.565,7.033,7.451,8.719,53.666,0.161
1200,5093.700,6.293,4.525,5.694,6.092,6.520,6.974,7.377,8.666,218.245,0.159
1240,5100.700,6.190,4.482,5.700,6.096,6.534,7.006,7.437,8.749,30.941,0.162
1280,4989.950,6.547,4.525,5.828,6.269,6.788,7.479,8.093,9.876,224.114,0.153
1320,5062.550,6.389,4.540,5.742,6.157,6.618,7.157,7.664,9.205,222.414,0.157
1360,5035.950,6.409,4.526,5.742,6.159,6.631,7.201,7.746,9.385,218.796,0.156
1400,5076.200,6.231,4.490,5.731,6.131,6.580,7.074,7.531,8.755,27.614,0.160
1440,5035.500,6.309,4.539,5.744,6.152,6.616,7.187,7.784,9.860,231.359,0.159
1480,5053.250,6.326,4.498,5.719,6.116,6.550,7.014,7.435,8.821,221.420,0.158
1520,5021.875,6.558,4.494,5.709,6.107,6.542,7.020,7.478,8.976,236.129,0.152
1560,5072.350,6.293,4.429,5.685,6.085,6.523,6.992,7.430,8.844,212.591,0.159
1600,5148.925,6.284,4.449,5.577,5.965,6.388,6.822,7.216,8.490,223.745,0.159
1640,5165.125,6.074,4.392,5.582,5.980,6.408,6.856,7.277,8.523,211.040,0.165
1680,5184.525,6.215,4.414,5.598,5.996,6.429,6.903,7.354,8.701,220.025,0.161
1720,5119.475,6.333,4.374,5.596,5.994,6.429,6.894,7.343,8.941,218.747,0.158
1760,5214.950,6.042,4.415,5.564,5.956,6.377,6.811,7.211,8.451,38.597,0.166
1800,130.800,5.962,4.442,5.535,5.930,6.322,6.678,6.954,7.845,10.451,0.168
