Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34414.850,4.062,2.471,3.045,3.371,3.963,6.224,6.854,8.842,222.994,0.246
40,35584.750,3.932,2.464,3.037,3.354,3.891,6.098,6.641,8.140,219.303,0.254
80,35606.050,3.930,2.464,3.034,3.347,3.862,6.075,6.596,8.002,226.482,0.254
120,35939.950,3.894,2.468,3.033,3.346,3.857,6.063,6.579,7.901,222.558,0.257
160,36076.375,3.879,2.466,3.033,3.345,3.876,6.081,6.608,7.969,223.776,0.258
200,35419.850,3.951,2.469,3.029,3.344,3.859,6.067,6.591,7.920,221.951,0.253
240,35604.350,3.931,2.478,3.035,3.354,3.927,6.085,6.609,8.012,220.809,0.254
280,35062.600,3.991,2.466,3.032,3.347,3.865,6.069,6.594,7.912,222.666,0.251
320,34148.150,4.098,2.460,3.030,3.347,3.878,6.077,6.610,8.004,424.272,0.244
360,33621.375,4.163,2.469,3.043,3.363,3.942,6.155,6.741,8.347,224.315,0.240
400,33840.225,4.136,2.476,3.041,3.369,3.993,6.250,6.869,8.726,224.920,0.242
440,34176.075,4.095,2.464,3.034,3.356,3.901,6.107,6.660,8.256,223.244,0.244
480,32113.850,4.358,2.466,3.029,3.350,3.889,6.100,6.658,8.391,225.930,0.229
520,32847.900,4.261,2.471,3.033,3.359,3.952,6.110,6.671,8.374,224.419,0.235
560,32155.825,4.352,2.478,3.035,3.353,3.891,6.072,6.613,8.127,411.060,0.230
600,31654.425,4.421,2.470,3.035,3.351,3.891,6.081,6.622,8.221,222.560,0.226
640,30933.575,4.524,2.465,3.036,3.351,3.871,6.075,6.613,8.222,622.295,0.221
680,32300.900,4.333,2.470,3.028,3.340,3.853,6.059,6.591,8.088,421.006,0.231
720,32748.350,4.274,2.471,3.035,3.345,3.862,6.081,6.614,8.122,424.397,0.234
760,32126.900,4.356,2.467,3.037,3.348,3.889,6.110,6.656,8.253,222.324,0.230
800,34677.300,4.036,2.465,3.038,3.352,3.869,6.063,6.589,7.900,222.860,0.248
840,34326.375,4.077,2.468,3.037,3.358,3.922,6.106,6.646,8.126,418.388,0.245
880,35784.125,3.911,2.466,3.036,3.349,3.872,6.059,6.575,7.834,220.247,0.256
920,35676.075,3.923,2.468,3.029,3.344,3.859,6.050,6.570,7.811,220.738,0.255
960,35251.525,3.970,2.462,3.040,3.354,3.900,6.096,6.627,7.977,238.180,0.252
1000,35800.875,3.909,2.464,3.034,3.345,3.868,6.066,6.589,7.847,220.776,0.256
1040,36535.825,3.831,2.469,3.032,3.345,3.855,6.057,6.572,7.784,32.183,0.261
1080,36210.825,3.865,2.468,3.034,3.350,3.875,6.078,6.603,7.913,222.409,0.259
1120,36197.850,3.866,2.475,3.039,3.354,3.895,6.070,6.590,7.859,209.381,0.259
1160,36182.700,3.868,2.468,3.059,3.375,3.899,6.084,6.608,7.834,53.966,0.259
1200,36299.050,3.856,2.471,3.035,3.353,3.866,6.051,6.561,7.757,220.644,0.259
1240,36518.825,3.832,2.458,3.033,3.350,3.866,6.051,6.569,7.800,31.849,0.261
1280,35636.950,3.927,2.469,3.041,3.367,3.977,6.223,6.832,8.454,224.892,0.255
1320,36007.925,3.887,2.470,3.035,3.356,3.922,6.127,6.678,8.183,222.684,0.257
1360,36019.875,3.885,2.466,3.037,3.356,3.908,6.121,6.680,8.173,218.796,0.257
1400,36289.925,3.856,2.466,3.040,3.358,3.902,6.092,6.625,7.935,27.661,0.259
1440,35976.675,3.890,2.477,3.045,3.367,3.963,6.131,6.686,8.256,231.359,0.257
1480,36172.775,3.869,2.468,3.043,3.360,3.877,6.077,6.593,7.835,221.541,0.258
1520,35809.950,3.908,2.467,3.039,3.354,3.886,6.073,6.592,7.921,236.129,0.256
1560,36329.725,3.852,2.465,3.032,3.350,3.863,6.045,6.566,7.804,212.591,0.260
1600,36824.375,3.800,2.452,2.999,3.303,3.736,5.922,6.430,7.589,223.745,0.263
1640,37028.325,3.780,2.460,3.003,3.316,3.768,5.939,6.451,7.650,227.734,0.265
1680,36858.000,3.797,2.463,3.001,3.310,3.759,5.955,6.472,7.692,220.025,0.263
1720,36603.550,3.823,2.462,3.008,3.317,3.770,5.953,6.473,7.720,219.893,0.262
1760,37179.100,3.764,2.462,2.999,3.306,3.736,5.914,6.418,7.581,227.180,0.266
1800,933.125,3.731,2.477,2.995,3.301,3.676,5.868,6.362,7.401,11.637,0.268
