Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3606.050,3.247,2.472,2.923,3.143,3.418,3.734,4.065,5.029,194.503,0.308
40,3708.575,3.229,2.467,2.917,3.134,3.408,3.705,3.991,4.854,126.115,0.310
80,3733.000,3.226,2.472,2.924,3.142,3.414,3.701,3.983,4.851,81.083,0.310
120,3733.125,3.218,2.472,2.919,3.139,3.410,3.696,3.965,4.814,101.921,0.311
160,3743.375,3.222,2.466,2.917,3.132,3.405,3.696,3.970,4.798,140.559,0.310
200,3765.450,3.215,2.477,2.915,3.134,3.401,3.688,3.957,4.804,90.121,0.311
240,3768.825,3.205,2.467,2.914,3.127,3.397,3.681,3.949,4.781,104.222,0.312
280,3784.750,3.206,2.473,2.915,3.129,3.399,3.676,3.936,4.805,91.772,0.312
320,3780.925,3.209,2.486,2.914,3.132,3.403,3.688,3.953,4.779,76.596,0.312
360,3769.975,3.229,2.465,2.926,3.143,3.420,3.714,3.996,4.916,80.262,0.310
400,3756.525,3.225,2.479,2.925,3.140,3.412,3.695,3.964,4.860,104.466,0.310
440,3769.500,3.216,2.483,2.924,3.140,3.408,3.692,3.957,4.811,82.711,0.311
480,3784.350,3.206,2.476,2.919,3.131,3.400,3.681,3.937,4.777,66.325,0.312
520,3759.400,3.214,2.472,2.920,3.138,3.412,3.696,3.969,4.786,47.538,0.311
560,3733.600,3.231,2.477,2.929,3.151,3.424,3.717,4.003,4.952,61.793,0.310
600,3747.975,3.253,2.472,2.939,3.159,3.442,3.762,4.083,5.188,65.986,0.307
640,3759.050,3.223,2.471,2.925,3.138,3.416,3.714,4.008,4.950,54.635,0.310
680,3790.000,3.208,2.474,2.917,3.131,3.402,3.682,3.960,4.860,53.786,0.312
720,3787.250,3.218,2.472,2.924,3.139,3.411,3.699,3.970,4.840,48.616,0.311
760,3775.900,3.210,2.472,2.920,3.133,3.403,3.682,3.951,4.818,42.270,0.312
800,3805.300,3.195,2.468,2.914,3.124,3.391,3.657,3.909,4.693,42.033,0.313
840,3771.875,3.217,2.475,2.925,3.139,3.408,3.691,3.961,4.850,65.443,0.311
880,3752.125,3.225,2.478,2.927,3.151,3.425,3.722,4.005,4.880,45.544,0.310
920,3727.075,3.244,2.473,2.925,3.148,3.432,3.762,4.084,5.090,55.861,0.308
960,3707.475,3.266,2.474,2.938,3.161,3.446,3.787,4.130,5.349,56.841,0.306
1000,3746.450,3.232,2.472,2.930,3.150,3.427,3.742,4.028,4.906,38.369,0.309
1040,3779.450,3.208,2.465,2.919,3.130,3.403,3.688,3.954,4.769,40.491,0.312
1080,3780.975,3.208,2.473,2.915,3.128,3.400,3.685,3.959,4.844,44.566,0.312
1120,3771.100,3.217,2.466,2.927,3.139,3.411,3.705,3.978,4.806,42.051,0.311
1160,3772.800,3.208,2.467,2.916,3.126,3.400,3.682,3.955,4.879,36.010,0.312
1200,3771.200,3.209,2.480,2.921,3.131,3.403,3.694,3.973,4.790,33.610,0.312
1240,3769.950,3.214,2.464,2.916,3.130,3.406,3.699,3.988,4.871,27.281,0.311
1280,3759.275,3.224,2.469,2.922,3.140,3.415,3.713,4.004,4.950,24.293,0.310
1320,3796.950,3.208,2.483,2.920,3.131,3.402,3.687,3.945,4.742,26.861,0.312
1360,3777.200,3.212,2.471,2.922,3.135,3.404,3.694,3.961,4.799,25.338,0.311
1400,3794.125,3.211,2.470,2.920,3.130,3.403,3.695,3.970,4.864,34.065,0.311
1440,3792.225,3.215,2.472,2.924,3.136,3.411,3.705,3.973,4.810,32.833,0.311
1480,3768.225,3.228,2.476,2.937,3.149,3.419,3.699,3.962,4.830,217.434,0.310
1520,3785.625,3.205,2.468,2.919,3.136,3.402,3.676,3.927,4.698,23.924,0.312
1560,3749.550,3.244,2.486,2.944,3.165,3.443,3.733,4.009,4.890,30.966,0.308
1600,3749.875,3.244,2.488,2.949,3.173,3.441,3.729,3.982,4.818,221.477,0.308
1640,3768.825,3.233,2.469,2.937,3.164,3.433,3.718,3.971,4.803,30.039,0.309
1680,3831.625,3.178,2.443,2.903,3.110,3.372,3.633,3.866,4.705,19.217,0.315
1720,3851.225,3.152,2.454,2.882,3.090,3.347,3.587,3.802,4.607,29.289,0.317
1760,3855.925,3.159,2.467,2.888,3.095,3.350,3.592,3.811,4.618,26.409,0.317
