Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19154.600,1.916,0.639,0.867,1.382,2.647,3.644,4.375,6.328,50.613,0.522
40,19517.000,1.929,0.638,0.865,1.337,2.634,3.691,4.490,6.661,49.459,0.518
80,19832.125,1.903,0.646,0.868,1.383,2.628,3.603,4.325,6.079,56.120,0.526
120,19753.950,1.902,0.644,0.865,1.373,2.633,3.610,4.328,6.081,55.791,0.526
160,20226.225,1.887,0.644,0.867,1.386,2.610,3.554,4.234,5.935,36.021,0.530
200,20837.125,1.841,0.640,0.864,1.346,2.568,3.453,4.070,5.501,49.502,0.543
240,20126.350,1.864,0.646,0.867,1.374,2.584,3.511,4.175,5.765,37.282,0.536
280,19774.375,1.902,0.643,0.866,1.351,2.616,3.612,4.365,6.294,41.996,0.526
320,20461.800,1.849,0.649,0.868,1.393,2.550,3.432,4.079,5.710,21.512,0.541
360,20654.125,1.847,0.645,0.868,1.400,2.550,3.425,4.065,5.606,25.758,0.541
400,19862.225,1.930,0.640,0.866,1.333,2.574,3.574,4.362,7.128,66.431,0.518
440,19761.775,1.908,0.641,0.864,1.343,2.657,3.673,4.388,6.109,46.469,0.524
480,19617.575,1.908,0.644,0.864,1.344,2.638,3.670,4.412,6.222,37.320,0.524
520,19646.950,1.907,0.643,0.866,1.370,2.625,3.637,4.371,6.166,34.291,0.525
560,19703.775,1.905,0.646,0.867,1.371,2.620,3.627,4.367,6.135,40.494,0.525
600,19804.075,1.889,0.642,0.869,1.375,2.600,3.575,4.285,6.058,38.053,0.529
640,20093.350,1.879,0.646,0.867,1.362,2.581,3.552,4.268,6.126,39.034,0.532
680,20598.625,1.854,0.644,0.867,1.354,2.562,3.486,4.151,5.760,43.363,0.539
720,19797.275,1.899,0.644,0.866,1.349,2.626,3.636,4.368,6.094,35.600,0.527
760,19550.400,1.918,0.643,0.868,1.364,2.640,3.677,4.431,6.281,56.905,0.521
800,19755.950,1.892,0.645,0.868,1.373,2.599,3.600,4.328,6.109,44.495,0.529
840,19796.425,1.903,0.642,0.868,1.369,2.614,3.623,4.364,6.215,45.554,0.526
880,20316.250,1.874,0.645,0.868,1.394,2.584,3.521,4.193,5.789,43.371,0.534
920,20819.200,1.835,0.646,0.862,1.377,2.537,3.414,4.044,5.551,19.206,0.545
960,20420.125,1.845,0.646,0.864,1.353,2.557,3.475,4.125,5.649,35.253,0.542
1000,17185.025,2.122,0.644,0.860,1.298,2.780,4.253,5.504,9.135,76.552,0.471
1040,16962.450,2.110,0.640,0.855,1.270,2.886,4.429,5.569,8.443,64.434,0.474
1080,19483.450,1.923,0.638,0.861,1.322,2.649,3.735,4.521,6.543,38.907,0.520
1120,19905.575,1.895,0.640,0.863,1.337,2.618,3.638,4.366,6.161,30.448,0.528
1160,19974.625,1.888,0.640,0.861,1.322,2.613,3.625,4.355,6.106,37.713,0.530
1200,20034.000,1.887,0.645,0.861,1.311,2.612,3.633,4.365,6.163,41.888,0.530
1240,19485.925,1.916,0.645,0.862,1.324,2.638,3.726,4.519,6.406,53.668,0.522
1280,19731.600,1.906,0.640,0.866,1.365,2.633,3.659,4.417,6.168,42.961,0.525
1320,20063.300,1.876,0.640,0.865,1.381,2.588,3.552,4.244,5.875,27.991,0.533
1360,19605.825,1.925,0.641,0.864,1.352,2.614,3.660,4.452,6.601,52.161,0.519
1400,20150.200,1.866,0.644,0.863,1.337,2.558,3.533,4.233,6.017,42.140,0.536
1440,20590.450,1.847,0.642,0.862,1.336,2.556,3.486,4.150,5.699,44.734,0.542
1480,19911.250,1.893,0.648,0.867,1.331,2.614,3.629,4.351,6.092,48.894,0.528
1520,19577.050,1.911,0.641,0.863,1.347,2.633,3.676,4.443,6.266,46.678,0.523
1560,19778.475,1.900,0.640,0.864,1.355,2.609,3.647,4.398,6.228,42.922,0.526
1600,19897.250,1.899,0.642,0.865,1.363,2.603,3.629,4.360,6.208,39.614,0.527
1640,19953.775,1.884,0.642,0.862,1.353,2.598,3.586,4.307,6.038,50.100,0.531
1680,20140.900,1.877,0.641,0.863,1.336,2.573,3.575,4.306,6.154,44.767,0.533
1720,19411.150,1.937,0.641,0.860,1.324,2.655,3.769,4.597,6.786,33.460,0.516
1760,18074.600,2.040,0.640,0.855,1.285,2.779,4.142,5.178,7.799,48.139,0.490
1800,448.050,1.870,0.644,0.851,1.220,2.608,3.688,4.522,6.157,24.914,0.535
