Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19175.100,2.022,0.652,0.897,1.526,2.747,3.814,4.635,6.960,40.355,0.495
40,19550.300,1.992,0.653,0.889,1.429,2.697,3.782,4.611,6.914,49.335,0.502
80,19777.475,1.964,0.657,0.893,1.483,2.695,3.695,4.438,6.269,55.627,0.509
120,19791.750,1.961,0.652,0.890,1.462,2.697,3.706,4.452,6.270,56.041,0.510
160,20176.900,1.943,0.651,0.891,1.470,2.669,3.643,4.349,6.132,46.895,0.515
200,20866.250,1.880,0.653,0.887,1.413,2.610,3.507,4.127,5.561,47.398,0.532
240,20124.475,1.921,0.650,0.892,1.464,2.643,3.595,4.278,5.943,27.380,0.521
280,19832.950,1.959,0.651,0.891,1.435,2.679,3.702,4.468,6.504,45.213,0.510
320,20448.300,1.902,0.653,0.892,1.473,2.606,3.515,4.183,5.887,19.139,0.526
360,20620.125,1.901,0.655,0.892,1.483,2.609,3.509,4.162,5.799,33.351,0.526
400,19847.350,1.981,0.649,0.889,1.404,2.627,3.651,4.463,7.306,64.376,0.505
440,19718.450,1.964,0.649,0.888,1.429,2.716,3.752,4.490,6.291,49.541,0.509
480,19583.150,1.967,0.653,0.888,1.428,2.706,3.759,4.520,6.375,43.413,0.508
520,19693.625,1.968,0.654,0.891,1.463,2.688,3.729,4.487,6.393,49.968,0.508
560,19678.250,1.963,0.657,0.891,1.453,2.687,3.720,4.481,6.326,48.735,0.509
600,19852.175,1.949,0.653,0.893,1.455,2.660,3.672,4.412,6.287,38.877,0.513
640,20141.075,1.944,0.659,0.892,1.455,2.652,3.650,4.390,6.348,41.616,0.515
680,20612.825,1.900,0.659,0.889,1.422,2.612,3.551,4.227,5.869,46.228,0.526
720,19802.725,1.955,0.653,0.890,1.432,2.689,3.725,4.481,6.267,48.264,0.511
760,19574.325,1.982,0.653,0.893,1.456,2.709,3.777,4.560,6.517,50.372,0.505
800,19715.050,1.949,0.651,0.893,1.459,2.663,3.686,4.443,6.296,42.424,0.513
840,19730.175,1.967,0.658,0.894,1.464,2.684,3.728,4.499,6.421,38.048,0.508
880,20318.025,1.930,0.658,0.893,1.475,2.648,3.610,4.295,5.980,45.583,0.518
920,20802.175,1.882,0.655,0.885,1.455,2.587,3.482,4.125,5.694,42.267,0.531
960,20442.725,1.893,0.653,0.886,1.423,2.613,3.548,4.210,5.764,34.593,0.528
1000,17168.975,2.215,0.651,0.887,1.401,2.881,4.422,5.745,9.554,75.193,0.452
1040,16937.400,2.193,0.650,0.882,1.368,2.989,4.573,5.747,8.704,57.297,0.456
1080,19468.175,1.981,0.650,0.885,1.399,2.713,3.832,4.641,6.745,38.507,0.505
1120,19938.675,1.958,0.649,0.888,1.431,2.685,3.731,4.487,6.390,40.899,0.511
1160,20036.225,1.945,0.656,0.885,1.406,2.677,3.715,4.459,6.299,36.576,0.514
1200,20021.425,1.935,0.651,0.883,1.379,2.667,3.702,4.447,6.275,50.320,0.517
1240,19478.225,1.975,0.649,0.886,1.407,2.707,3.826,4.643,6.602,54.381,0.506
1280,19715.775,1.967,0.651,0.890,1.450,2.702,3.759,4.531,6.353,43.194,0.508
1320,20116.475,1.928,0.650,0.889,1.463,2.644,3.624,4.334,6.074,31.747,0.519
1360,19621.025,1.987,0.651,0.889,1.438,2.674,3.759,4.588,6.844,51.912,0.503
1400,20134.850,1.921,0.650,0.886,1.416,2.616,3.617,4.339,6.259,39.126,0.521
1440,20566.075,1.894,0.652,0.885,1.408,2.608,3.555,4.234,5.845,37.315,0.528
1480,19908.750,1.949,0.652,0.891,1.417,2.677,3.711,4.454,6.267,38.651,0.513
1520,19575.975,1.976,0.649,0.888,1.443,2.707,3.781,4.577,6.477,46.676,0.506
1560,19749.850,1.961,0.648,0.888,1.441,2.675,3.746,4.521,6.449,46.090,0.510
1600,19920.325,1.958,0.645,0.889,1.450,2.667,3.721,4.483,6.424,38.638,0.511
1640,19971.400,1.945,0.647,0.886,1.442,2.662,3.685,4.428,6.275,49.476,0.514
1680,20180.025,1.934,0.652,0.886,1.417,2.636,3.665,4.419,6.343,53.140,0.517
1720,19395.725,1.998,0.653,0.884,1.406,2.721,3.863,4.712,7.010,37.488,0.501
1760,18064.325,2.108,0.652,0.880,1.375,2.861,4.259,5.322,8.007,48.388,0.474
1800,452.150,1.916,0.653,0.871,1.289,2.680,3.743,4.583,6.190,18.448,0.522
