Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1095.950,5.015,1.442,3.052,4.394,5.914,7.622,9.211,16.063,176.651,0.199
40,1119.175,4.880,1.459,3.038,4.368,5.917,7.629,9.131,15.406,75.188,0.205
80,1138.925,4.755,1.416,3.047,4.309,5.780,7.429,8.772,13.627,66.701,0.210
120,1133.825,4.794,1.435,3.032,4.336,5.849,7.507,8.879,14.225,51.611,0.209
160,1144.225,4.663,1.436,3.000,4.243,5.686,7.252,8.546,13.254,46.323,0.214
200,1195.000,4.516,1.462,2.957,4.167,5.527,6.901,7.921,11.752,58.606,0.221
240,1149.400,4.773,1.489,3.043,4.342,5.793,7.365,8.613,13.350,75.775,0.210
280,1132.250,4.827,1.407,3.055,4.358,5.860,7.530,8.902,14.156,56.990,0.207
320,1163.125,4.643,1.476,2.995,4.207,5.612,7.153,8.444,13.534,59.165,0.215
360,1174.100,4.579,1.449,2.977,4.164,5.552,7.055,8.297,12.567,60.922,0.218
400,1130.200,4.787,1.437,2.979,4.198,5.700,7.388,9.037,17.681,79.058,0.209
440,1120.450,4.881,1.425,3.092,4.427,5.961,7.620,8.966,13.710,48.775,0.205
480,1124.300,4.951,1.417,3.093,4.430,5.976,7.749,9.197,15.377,56.285,0.202
520,1120.275,4.874,1.447,3.068,4.381,5.896,7.621,9.034,14.749,56.958,0.205
560,1113.250,4.849,1.499,3.037,4.351,5.882,7.606,8.966,14.901,51.535,0.206
600,1136.800,4.844,1.467,3.072,4.350,5.855,7.545,8.958,14.448,59.527,0.206
640,1153.775,4.740,1.472,3.008,4.283,5.779,7.402,8.772,14.370,56.277,0.211
680,1177.850,4.630,1.468,2.994,4.236,5.635,7.131,8.274,13.029,45.470,0.216
720,1130.500,4.915,1.403,3.097,4.441,5.954,7.572,8.871,14.516,63.440,0.203
760,1114.125,4.968,1.423,3.129,4.451,6.007,7.818,9.286,15.451,63.107,0.201
800,1128.600,4.901,1.466,3.093,4.403,5.939,7.684,9.116,14.703,54.970,0.204
840,1134.575,4.848,1.437,3.069,4.351,5.854,7.607,9.046,14.887,63.529,0.206
880,1158.175,4.699,1.418,3.051,4.282,5.739,7.265,8.470,12.695,97.099,0.213
920,1196.025,4.584,1.409,2.995,4.194,5.592,7.050,8.163,13.003,47.380,0.218
960,1170.100,4.740,1.451,3.050,4.314,5.769,7.294,8.431,13.253,60.065,0.211
1000,977.025,5.615,1.460,3.126,4.629,6.626,9.427,12.111,24.816,74.780,0.178
1040,972.300,5.943,1.450,3.441,5.123,7.160,9.679,11.891,21.619,68.709,0.168
1080,1115.725,5.115,1.480,3.216,4.590,6.171,7.975,9.452,16.109,57.529,0.196
1120,1143.650,4.966,1.454,3.169,4.481,6.032,7.752,9.201,14.719,46.198,0.201
1160,1147.475,4.957,1.463,3.159,4.488,6.024,7.714,9.064,14.573,48.056,0.202
1200,1136.375,4.968,1.422,3.178,4.508,6.024,7.675,9.005,14.283,60.840,0.201
1240,1111.850,5.134,1.455,3.224,4.597,6.218,8.065,9.493,15.672,55.185,0.195
1280,1126.925,4.962,1.414,3.146,4.492,6.039,7.692,9.090,14.752,60.432,0.202
1320,1158.000,4.825,1.385,3.093,4.359,5.856,7.467,8.709,13.395,60.845,0.207
1360,1119.175,4.927,1.452,3.086,4.371,5.916,7.740,9.324,15.885,60.772,0.203
1400,1150.175,4.819,1.472,3.046,4.328,5.840,7.492,8.891,14.439,62.019,0.207
1440,1177.100,4.703,1.408,3.025,4.284,5.740,7.262,8.457,13.050,52.878,0.213
1480,1120.350,4.919,1.442,3.141,4.455,5.971,7.634,8.933,14.288,65.618,0.203
1520,1113.875,5.030,1.424,3.148,4.494,6.086,7.842,9.317,15.367,69.646,0.199
1560,1131.475,4.937,1.495,3.132,4.438,5.999,7.760,9.159,14.602,56.511,0.203
1600,1130.825,4.879,1.415,3.096,4.392,5.901,7.631,9.019,15.009,61.842,0.205
1640,1135.725,4.872,1.473,3.089,4.372,5.929,7.667,9.059,14.446,55.150,0.205
1680,1160.425,4.859,1.420,3.097,4.386,5.896,7.596,9.022,14.937,50.144,0.206
1720,1113.450,5.047,1.444,3.158,4.528,6.113,7.923,9.520,15.636,55.673,0.198
1760,1021.600,5.424,1.406,3.223,4.740,6.571,8.726,10.485,18.049,85.519,0.184
1800,24.925,5.581,1.492,3.141,4.690,6.249,7.995,10.509,32.010,41.245,0.179
