Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7668.225,5.188,1.687,3.233,4.185,5.453,7.222,9.194,24.134,173.711,0.193
40,7826.025,4.903,1.679,3.252,4.187,5.488,7.153,8.759,19.836,62.425,0.204
80,7930.225,4.855,1.704,3.292,4.208,5.447,7.002,8.424,19.051,76.131,0.206
120,7908.675,4.885,1.755,3.274,4.210,5.470,7.059,8.590,20.285,53.780,0.205
160,8092.250,4.666,1.659,3.176,4.065,5.253,6.715,8.111,17.914,51.565,0.214
200,8315.475,4.509,1.740,3.159,3.981,5.104,6.307,7.348,16.778,59.482,0.222
240,8066.500,4.823,1.808,3.247,4.160,5.346,6.824,8.240,20.838,78.384,0.207
280,7935.850,4.871,1.733,3.258,4.186,5.439,7.014,8.514,20.096,61.823,0.205
320,8201.525,4.682,1.769,3.191,4.045,5.196,6.617,8.010,19.284,61.047,0.214
360,8260.900,4.567,1.754,3.149,4.000,5.138,6.518,7.782,15.729,228.120,0.219
400,7954.100,4.704,1.691,3.139,3.993,5.180,6.702,8.514,19.817,88.461,0.213
440,7859.625,4.899,1.753,3.273,4.218,5.508,7.037,8.460,21.451,53.539,0.204
480,7820.275,4.988,1.727,3.282,4.247,5.559,7.228,8.849,21.442,56.327,0.200
520,7896.575,4.905,1.775,3.258,4.188,5.463,7.078,8.599,20.408,59.819,0.204
560,7906.150,4.921,1.742,3.271,4.195,5.469,7.118,8.760,21.014,55.823,0.203
600,7932.050,4.903,1.701,3.272,4.192,5.433,7.030,8.602,20.673,59.524,0.204
640,8082.250,4.714,1.740,3.211,4.102,5.302,6.816,8.324,17.762,63.730,0.212
680,8246.725,4.555,1.730,3.139,3.970,5.115,6.433,7.640,18.764,64.058,0.220
720,7934.575,4.855,1.773,3.252,4.177,5.419,6.943,8.329,20.539,65.361,0.206
760,7814.000,4.935,1.753,3.263,4.218,5.522,7.221,8.846,21.313,50.325,0.203
800,7918.850,4.939,1.811,3.289,4.212,5.471,7.169,8.850,21.301,54.827,0.202
840,7898.200,4.875,1.777,3.246,4.159,5.417,7.005,8.550,21.754,69.459,0.205
880,8114.475,4.641,1.766,3.183,4.056,5.227,6.654,7.952,15.897,99.290,0.215
920,8309.775,4.525,1.728,3.140,3.979,5.093,6.384,7.608,17.738,45.934,0.221
960,8165.250,4.720,1.764,3.218,4.091,5.249,6.603,7.810,20.698,70.254,0.212
1000,6865.625,5.909,1.761,3.466,4.647,6.494,9.409,12.514,29.593,91.842,0.169
1040,6796.500,6.159,1.609,3.635,4.909,6.782,9.340,11.946,35.576,71.461,0.162
1080,7787.550,4.991,1.745,3.257,4.215,5.558,7.287,8.977,22.156,60.910,0.200
1120,7966.025,4.796,1.765,3.192,4.118,5.372,6.959,8.509,19.964,66.557,0.209
1160,8002.700,4.784,1.651,3.192,4.118,5.368,6.918,8.423,19.873,63.721,0.209
1200,8001.275,4.790,1.701,3.222,4.117,5.339,6.770,8.116,20.599,60.936,0.209
1240,7814.200,4.996,1.732,3.293,4.266,5.597,7.283,8.828,22.088,65.128,0.200
1280,7893.150,4.904,1.768,3.286,4.214,5.476,7.041,8.516,20.484,55.703,0.204
1320,8058.725,4.798,1.726,3.256,4.149,5.349,6.823,8.129,19.146,66.043,0.208
1360,7825.950,4.903,1.739,3.184,4.114,5.402,7.177,9.017,22.610,55.494,0.204
1400,8075.700,4.814,1.722,3.225,4.123,5.327,6.890,8.529,19.114,64.937,0.208
1440,8244.400,4.618,1.757,3.181,4.024,5.186,6.520,7.749,19.292,61.423,0.217
1480,7997.325,4.825,1.700,3.245,4.161,5.406,6.904,8.272,20.431,67.389,0.207
1520,7816.875,4.981,1.694,3.282,4.232,5.517,7.147,8.687,21.810,69.905,0.201
1560,7934.950,4.872,1.740,3.234,4.162,5.434,7.042,8.526,21.538,50.892,0.205
1600,7956.450,4.806,1.681,3.197,4.105,5.363,6.989,8.557,20.495,64.076,0.208
1640,7999.900,4.829,1.753,3.223,4.148,5.408,7.020,8.581,19.983,54.132,0.207
1680,8060.075,4.721,1.711,3.174,4.071,5.308,6.878,8.380,19.044,50.114,0.212
1720,7764.225,4.974,1.748,3.255,4.210,5.531,7.274,9.105,20.926,62.654,0.201
1760,7176.225,5.610,1.709,3.435,4.553,6.188,8.345,10.329,30.601,88.065,0.178
1800,179.350,6.653,1.902,3.369,4.364,5.950,9.722,26.481,36.811,42.049,0.150
