Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1098.950,4.138,1.087,2.527,3.469,4.775,6.314,7.816,13.967,171.224,0.242
40,1115.375,4.037,1.065,2.530,3.484,4.806,6.366,7.700,13.088,62.523,0.248
80,1128.325,3.935,1.077,2.523,3.453,4.731,6.180,7.373,11.467,68.444,0.254
120,1133.700,3.954,1.099,2.528,3.457,4.752,6.161,7.321,12.189,46.204,0.253
160,1151.550,3.813,1.109,2.475,3.357,4.596,5.929,7.027,11.247,49.433,0.262
200,1193.275,3.648,1.052,2.410,3.285,4.431,5.621,6.486,9.331,56.574,0.274
240,1152.100,3.871,1.079,2.522,3.430,4.650,5.980,7.005,10.681,78.340,0.258
280,1130.650,3.929,1.075,2.510,3.447,4.724,6.153,7.329,11.728,57.345,0.254
320,1169.725,3.784,1.094,2.479,3.347,4.534,5.829,6.911,10.833,54.675,0.264
360,1177.575,3.742,1.081,2.443,3.317,4.484,5.767,6.848,10.650,62.525,0.267
400,1123.150,3.878,1.073,2.408,3.297,4.558,5.987,7.361,15.161,86.122,0.258
440,1125.025,3.991,1.050,2.548,3.492,4.812,6.265,7.365,11.634,48.839,0.251
480,1119.625,4.015,1.082,2.549,3.494,4.824,6.295,7.516,12.300,54.237,0.249
520,1128.250,4.003,1.083,2.542,3.468,4.758,6.236,7.500,12.336,60.084,0.250
560,1122.750,3.994,1.119,2.543,3.461,4.742,6.240,7.457,12.998,54.774,0.250
600,1131.025,3.946,1.087,2.513,3.431,4.706,6.155,7.409,12.456,59.480,0.253
640,1148.875,3.848,1.082,2.478,3.377,4.633,6.061,7.230,11.691,56.027,0.260
680,1183.900,3.735,1.105,2.448,3.313,4.495,5.755,6.751,10.476,45.648,0.268
720,1130.375,3.968,1.105,2.540,3.468,4.752,6.157,7.290,11.530,65.336,0.252
760,1124.250,4.012,1.101,2.554,3.486,4.808,6.298,7.572,12.259,42.654,0.249
800,1133.200,3.987,1.104,2.538,3.475,4.739,6.222,7.562,12.464,53.735,0.251
840,1124.575,3.951,1.069,2.508,3.419,4.715,6.194,7.439,12.263,69.574,0.253
880,1158.900,3.809,1.114,2.479,3.356,4.575,5.914,6.987,10.877,95.895,0.263
920,1174.350,3.685,1.081,2.439,3.303,4.464,5.677,6.626,10.092,42.923,0.271
960,1164.600,3.833,1.111,2.508,3.396,4.580,5.847,6.828,10.564,61.186,0.261
1000,972.100,4.818,1.078,2.698,3.838,5.603,8.085,10.432,22.182,87.059,0.208
1040,972.825,4.934,1.088,2.817,4.029,5.859,8.061,9.980,19.888,70.484,0.203
1080,1112.400,4.060,1.061,2.568,3.524,4.871,6.437,7.717,12.515,54.923,0.246
1120,1141.775,3.929,1.109,2.511,3.429,4.728,6.169,7.368,12.227,50.229,0.255
1160,1144.575,3.923,1.115,2.516,3.432,4.729,6.138,7.297,11.633,61.919,0.255
1200,1156.250,3.914,1.067,2.502,3.428,4.697,6.056,7.121,11.668,59.629,0.255
1240,1108.000,4.094,1.058,2.585,3.540,4.891,6.494,7.824,12.545,53.354,0.244
1280,1116.150,4.023,1.129,2.572,3.508,4.819,6.288,7.485,12.096,55.347,0.249
1320,1149.475,3.881,1.087,2.533,3.433,4.664,6.012,7.069,10.567,59.663,0.258
1360,1115.225,4.004,1.066,2.512,3.435,4.740,6.311,7.697,13.718,55.136,0.250
1400,1148.975,3.890,1.056,2.491,3.395,4.639,6.059,7.264,12.111,61.653,0.257
1440,1169.950,3.754,1.102,2.453,3.336,4.535,5.807,6.779,10.408,62.730,0.266
1480,1133.625,3.954,1.102,2.546,3.460,4.718,6.105,7.236,11.968,67.629,0.253
1520,1123.000,4.050,1.084,2.574,3.508,4.830,6.343,7.555,12.580,67.856,0.247
1560,1137.425,3.984,1.051,2.555,3.470,4.793,6.278,7.450,12.170,48.275,0.251
1600,1140.625,3.932,1.056,2.532,3.427,4.703,6.154,7.335,12.102,59.374,0.254
1640,1148.900,3.922,1.036,2.514,3.422,4.711,6.184,7.359,11.954,50.014,0.255
1680,1160.175,3.893,1.081,2.498,3.381,4.643,6.142,7.368,12.322,53.444,0.257
1720,1108.500,4.074,1.094,2.559,3.504,4.878,6.452,7.868,13.492,61.676,0.245
1760,1029.325,4.478,1.045,2.596,3.698,5.360,7.359,8.973,16.458,82.031,0.223
1800,24.025,4.573,1.035,2.531,3.634,4.931,6.782,8.613,29.397,41.131,0.219
