Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54743.550,2.556,0.639,0.933,2.100,3.317,4.785,5.884,9.401,176.651,0.391
40,55840.150,2.506,0.638,0.926,2.053,3.326,4.822,5.944,9.286,75.188,0.399
80,56606.400,2.472,0.646,0.931,2.086,3.300,4.722,5.759,8.575,76.131,0.404
120,56516.825,2.476,0.644,0.928,2.083,3.302,4.732,5.777,8.694,56.201,0.404
160,57696.900,2.426,0.644,0.929,2.076,3.237,4.600,5.580,8.296,51.565,0.412
200,59541.200,2.350,0.640,0.922,2.039,3.169,4.433,5.322,7.486,59.482,0.425
240,57519.725,2.433,0.646,0.930,2.058,3.237,4.612,5.600,8.267,78.384,0.411
280,56563.925,2.474,0.643,0.927,2.055,3.290,4.737,5.803,8.840,61.823,0.404
320,58457.150,2.394,0.649,0.929,2.053,3.172,4.499,5.466,8.129,61.047,0.418
360,58964.675,2.374,0.645,0.930,2.055,3.157,4.451,5.396,7.894,228.120,0.421
400,56702.775,2.468,0.640,0.924,2.026,3.210,4.633,5.720,9.968,88.461,0.405
440,56363.275,2.483,0.641,0.924,2.067,3.333,4.773,5.818,8.588,53.539,0.403
480,55969.575,2.501,0.644,0.925,2.057,3.334,4.806,5.886,8.977,56.327,0.400
520,56234.300,2.489,0.643,0.929,2.072,3.307,4.751,5.811,8.875,60.084,0.402
560,56268.100,2.487,0.646,0.929,2.065,3.305,4.748,5.808,8.936,55.823,0.402
600,56658.375,2.470,0.642,0.931,2.053,3.278,4.703,5.750,8.774,59.527,0.405
640,57507.125,2.434,0.646,0.929,2.043,3.246,4.641,5.672,8.602,63.730,0.411
680,58887.625,2.377,0.644,0.925,2.032,3.179,4.489,5.421,7.882,64.058,0.421
720,56579.750,2.473,0.644,0.926,2.054,3.309,4.737,5.765,8.512,65.361,0.404
760,55903.125,2.504,0.643,0.931,2.065,3.332,4.805,5.897,9.017,63.107,0.399
800,56424.625,2.480,0.645,0.931,2.053,3.296,4.740,5.805,8.895,54.970,0.403
840,56435.950,2.480,0.642,0.930,2.058,3.298,4.737,5.789,8.766,69.574,0.403
880,58029.050,2.412,0.645,0.931,2.057,3.221,4.566,5.531,8.105,99.290,0.415
920,59440.775,2.355,0.646,0.921,2.035,3.145,4.431,5.345,7.767,47.380,0.425
960,58361.350,2.398,0.646,0.923,2.027,3.206,4.540,5.491,7.918,70.254,0.417
1000,49036.725,2.854,0.644,0.922,2.049,3.664,5.722,7.460,13.743,106.168,0.350
1040,48460.625,2.888,0.640,0.916,2.054,3.848,5.903,7.482,12.202,71.461,0.346
1080,55637.950,2.515,0.638,0.919,2.040,3.356,4.867,5.995,9.250,60.910,0.398
1120,56924.325,2.459,0.640,0.922,2.045,3.283,4.708,5.755,8.779,66.557,0.407
1160,57150.600,2.449,0.640,0.918,2.039,3.276,4.703,5.732,8.668,63.721,0.408
1200,57216.775,2.445,0.645,0.916,2.021,3.282,4.693,5.707,8.438,62.246,0.409
1240,55699.600,2.512,0.645,0.920,2.036,3.363,4.886,5.989,9.026,65.128,0.398
1280,56329.975,2.485,0.640,0.926,2.055,3.324,4.782,5.831,8.679,60.432,0.402
1320,57444.375,2.436,0.640,0.925,2.046,3.254,4.636,5.640,8.259,66.043,0.410
1360,56008.200,2.499,0.641,0.923,2.039,3.281,4.760,5.886,9.488,60.772,0.400
1400,57546.925,2.432,0.644,0.921,2.010,3.226,4.630,5.656,8.758,64.937,0.411
1440,58810.125,2.380,0.642,0.919,2.014,3.190,4.518,5.462,7.921,62.730,0.420
1480,56899.225,2.460,0.648,0.925,2.038,3.290,4.717,5.745,8.512,67.629,0.407
1520,55912.975,2.503,0.641,0.923,2.052,3.333,4.813,5.886,8.896,69.905,0.400
1560,56520.750,2.476,0.640,0.924,2.041,3.296,4.753,5.826,8.752,56.511,0.404
1600,56861.950,2.461,0.642,0.925,2.044,3.275,4.694,5.752,8.746,64.076,0.406
1640,57064.200,2.453,0.642,0.921,2.037,3.265,4.690,5.739,8.751,55.150,0.408
1680,57611.675,2.429,0.641,0.921,2.016,3.237,4.648,5.698,8.672,54.845,0.412
1720,55446.025,2.524,0.641,0.918,2.039,3.362,4.891,6.028,9.535,62.654,0.396
1760,51537.100,2.716,0.640,0.912,2.039,3.607,5.434,6.818,10.770,88.065,0.368
1800,1281.550,2.719,0.644,0.901,1.980,3.337,4.950,6.099,23.369,42.049,0.368
