Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,978.200,3.719,1.721,2.196,3.178,4.314,5.890,7.284,12.103,206.238,0.269
40,1057.750,3.427,1.698,2.156,3.052,4.036,5.239,6.230,9.672,137.194,0.292
80,1087.925,3.358,1.723,2.137,2.977,3.949,5.139,6.103,9.717,51.182,0.298
120,1056.625,3.419,1.724,2.162,3.070,4.061,5.258,6.180,9.315,38.596,0.292
160,1108.375,3.269,1.695,2.113,2.928,3.851,4.958,5.807,8.822,51.086,0.306
200,1108.750,3.321,1.723,2.121,2.957,3.909,5.088,5.972,8.891,47.817,0.301
240,1096.675,3.344,1.706,2.119,2.949,3.918,5.111,6.013,9.158,72.947,0.299
280,1058.000,3.422,1.716,2.110,2.958,3.995,5.323,6.443,10.424,56.409,0.292
320,1022.575,3.545,1.680,2.098,2.986,4.112,5.657,7.024,11.509,69.655,0.282
360,1057.000,3.418,1.704,2.131,3.041,4.025,5.253,6.219,10.071,44.384,0.293
400,1087.425,3.314,1.714,2.130,3.010,3.910,5.026,5.842,8.438,50.728,0.302
440,1139.625,3.205,1.724,2.094,2.870,3.756,4.810,5.585,8.177,223.496,0.312
480,1071.425,3.409,1.692,2.077,2.893,3.889,5.203,6.414,12.774,59.573,0.293
520,1017.450,3.573,1.704,2.096,2.967,4.101,5.629,7.088,13.783,70.526,0.280
560,1069.275,3.419,1.731,2.129,3.035,4.032,5.288,6.288,9.782,39.901,0.292
600,1080.875,3.381,1.707,2.131,3.010,3.967,5.152,6.036,9.585,59.889,0.296
640,1101.950,3.321,1.692,2.125,2.956,3.896,5.048,5.902,9.087,228.985,0.301
680,1132.775,3.218,1.741,2.116,2.954,3.798,4.831,5.584,7.998,45.321,0.311
720,1055.200,3.455,1.750,2.146,3.055,4.041,5.269,6.311,10.741,42.877,0.289
760,1062.975,3.413,1.719,2.145,3.047,4.043,5.299,6.268,9.260,49.031,0.293
800,1075.900,3.370,1.715,2.106,3.004,3.979,5.192,6.143,9.401,53.833,0.297
840,1104.175,3.256,1.703,2.092,2.958,3.864,4.945,5.780,8.330,47.244,0.307
880,1154.600,3.137,1.702,2.078,2.902,3.730,4.717,5.387,7.348,31.081,0.319
920,1082.250,3.311,1.698,2.092,2.980,3.900,5.050,5.943,8.981,38.432,0.302
960,1005.550,3.583,1.713,2.111,3.026,4.115,5.536,6.806,13.229,208.163,0.279
1000,1081.950,3.302,1.702,2.093,2.938,3.896,5.053,5.983,8.895,211.710,0.303
1040,1112.700,3.251,1.723,2.083,2.928,3.836,4.977,5.804,8.674,46.915,0.308
1080,1138.775,3.160,1.711,2.064,2.874,3.753,4.771,5.489,7.834,36.221,0.316
1120,1077.900,3.343,1.724,2.089,2.980,3.938,5.166,6.138,9.244,49.093,0.299
1160,1108.475,3.264,1.696,2.084,2.925,3.849,4.950,5.813,8.836,60.059,0.306
1200,1081.450,3.370,1.698,2.090,2.960,3.942,5.159,6.186,10.386,51.700,0.297
1240,1108.925,3.269,1.687,2.076,2.888,3.836,4.980,5.902,9.636,44.717,0.306
1280,1128.200,3.194,1.717,2.065,2.861,3.762,4.853,5.650,8.349,42.148,0.313
1320,1121.250,3.226,1.708,2.069,2.899,3.819,4.923,5.730,8.432,35.355,0.310
1360,1074.625,3.359,1.699,2.089,2.983,3.945,5.166,6.120,9.559,68.193,0.298
1400,1086.450,3.335,1.714,2.079,2.928,3.921,5.136,6.114,9.846,60.519,0.300
1440,1105.350,3.271,1.698,2.069,2.884,3.827,4.967,5.866,9.485,70.797,0.306
1480,1123.775,3.215,1.721,2.068,2.879,3.790,4.899,5.756,8.418,38.798,0.311
1520,1135.775,3.194,1.703,2.059,2.845,3.751,4.867,5.683,8.739,33.993,0.313
1560,1089.100,3.364,1.708,2.077,2.909,3.847,5.070,6.078,12.353,89.998,0.297
1600,1055.575,3.412,1.705,2.105,3.026,4.030,5.281,6.237,9.539,59.174,0.293
1640,1105.900,3.252,1.703,2.080,2.917,3.826,4.929,5.734,8.667,56.603,0.308
1680,1077.600,3.382,1.718,2.094,2.984,3.988,5.233,6.241,9.858,53.361,0.296
1720,1098.175,3.285,1.719,2.083,2.925,3.871,5.011,5.924,9.185,42.978,0.304
1760,1095.550,3.299,1.714,2.085,2.928,3.882,5.050,5.938,8.985,70.159,0.303
