Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16923.000,2.238,1.093,1.317,1.746,2.750,3.729,4.574,7.038,211.839,0.447
40,18404.625,2.111,1.099,1.315,1.718,2.622,3.408,4.010,5.699,212.022,0.474
80,18977.525,2.027,1.091,1.305,1.644,2.507,3.218,3.760,5.347,44.831,0.493
120,18539.025,2.096,1.097,1.312,1.739,2.628,3.353,3.897,5.409,27.473,0.477
160,19396.550,2.002,1.094,1.304,1.645,2.485,3.146,3.631,5.051,33.909,0.499
200,19238.225,2.005,1.094,1.297,1.619,2.484,3.193,3.722,5.205,35.165,0.499
240,19152.225,2.008,1.087,1.295,1.620,2.481,3.204,3.753,5.265,40.758,0.498
280,18659.675,2.057,1.086,1.294,1.617,2.495,3.299,3.990,6.306,40.657,0.486
320,17863.225,2.104,1.087,1.291,1.598,2.568,3.458,4.275,6.774,43.587,0.475
360,18531.925,2.082,1.096,1.304,1.678,2.589,3.344,3.929,5.614,215.183,0.480
400,19110.650,2.043,1.090,1.308,1.704,2.538,3.224,3.746,5.221,32.417,0.490
440,19917.425,1.960,1.099,1.300,1.614,2.399,3.023,3.499,4.914,224.137,0.510
480,18693.125,2.010,1.090,1.290,1.557,2.467,3.157,3.679,5.525,207.573,0.497
520,17876.825,2.026,1.096,1.288,1.572,2.542,3.299,3.868,5.484,34.664,0.493
560,18627.750,2.070,1.098,1.303,1.681,2.575,3.321,3.892,5.526,39.549,0.483
600,18840.050,2.050,1.096,1.304,1.672,2.531,3.255,3.817,5.440,211.868,0.488
640,19266.500,2.002,1.094,1.305,1.650,2.480,3.141,3.642,5.026,207.401,0.499
680,19823.325,1.985,1.092,1.307,1.673,2.461,3.066,3.502,4.713,22.934,0.504
720,18488.500,2.106,1.106,1.305,1.687,2.582,3.341,3.955,6.126,61.848,0.475
760,18519.425,2.096,1.103,1.307,1.711,2.602,3.383,3.992,5.737,34.317,0.477
800,18798.625,2.064,1.090,1.305,1.686,2.544,3.298,3.897,5.619,37.577,0.484
840,19404.750,2.022,1.105,1.306,1.688,2.505,3.182,3.689,5.081,35.186,0.495
880,20122.800,1.965,1.092,1.304,1.657,2.446,3.031,3.457,4.542,23.000,0.509
920,19033.975,2.037,1.097,1.302,1.684,2.534,3.226,3.742,5.198,27.220,0.491
960,17631.550,2.160,1.104,1.306,1.665,2.588,3.455,4.211,6.992,839.806,0.463
1000,19054.925,2.035,1.095,1.303,1.646,2.493,3.225,3.803,5.453,212.697,0.492
1040,19450.450,2.008,1.083,1.299,1.645,2.468,3.152,3.697,5.222,41.791,0.498
1080,20006.900,1.964,1.106,1.298,1.620,2.426,3.057,3.518,4.767,39.027,0.509
1120,18830.725,2.059,1.098,1.298,1.662,2.545,3.299,3.892,5.636,56.796,0.486
1160,19425.450,1.993,1.095,1.299,1.652,2.459,3.126,3.623,5.011,29.232,0.502
1200,18857.000,2.049,1.095,1.296,1.643,2.496,3.258,3.875,5.752,52.844,0.488
1240,19389.875,1.984,1.095,1.294,1.610,2.432,3.126,3.666,5.224,33.566,0.504
1280,19794.350,1.964,1.090,1.295,1.607,2.411,3.070,3.572,5.070,30.472,0.509
1320,19603.825,1.987,1.097,1.296,1.613,2.453,3.132,3.640,5.088,51.084,0.503
1360,18799.375,2.048,1.090,1.297,1.650,2.531,3.294,3.877,5.507,37.168,0.488
1400,19055.925,2.011,1.095,1.294,1.616,2.471,3.217,3.784,5.372,32.047,0.497
1440,19395.775,1.972,1.096,1.292,1.609,2.432,3.105,3.607,5.000,31.518,0.507
1480,19732.950,1.966,1.092,1.293,1.620,2.412,3.073,3.575,4.956,31.361,0.509
1520,19790.175,1.937,1.085,1.292,1.586,2.381,3.015,3.495,4.796,28.639,0.516
1560,18917.175,2.063,1.097,1.297,1.612,2.450,3.192,3.819,6.469,84.868,0.485
1600,18449.275,2.085,1.087,1.303,1.689,2.585,3.357,3.961,5.650,37.847,0.480
1640,19405.050,1.993,1.095,1.297,1.645,2.458,3.130,3.638,5.069,29.871,0.502
1680,18692.550,2.066,1.092,1.298,1.650,2.527,3.321,3.950,5.850,46.561,0.484
1720,19292.175,2.002,1.092,1.298,1.634,2.456,3.165,3.709,5.259,40.441,0.500
1760,19204.075,2.011,1.086,1.298,1.634,2.467,3.176,3.732,5.344,40.482,0.497
