Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4846.675,2.322,1.120,1.358,1.854,2.841,3.853,4.759,7.354,210.361,0.431
40,5266.900,2.189,1.116,1.356,1.822,2.706,3.517,4.158,5.929,222.510,0.457
80,5410.225,2.105,1.103,1.345,1.753,2.590,3.329,3.908,5.601,35.066,0.475
120,5297.650,2.181,1.121,1.357,1.857,2.720,3.478,4.054,5.641,34.922,0.459
160,5530.675,2.073,1.110,1.343,1.741,2.558,3.244,3.759,5.251,27.195,0.482
200,5516.750,2.082,1.116,1.336,1.730,2.571,3.298,3.838,5.397,36.603,0.480
240,5451.250,2.084,1.114,1.335,1.721,2.564,3.316,3.889,5.499,37.466,0.480
280,5340.225,2.133,1.111,1.331,1.721,2.576,3.417,4.141,6.560,36.442,0.469
320,5106.525,2.183,1.114,1.329,1.703,2.654,3.586,4.456,6.944,31.722,0.458
360,5309.825,2.160,1.117,1.343,1.778,2.667,3.451,4.073,5.909,213.112,0.463
400,5465.900,2.107,1.121,1.346,1.795,2.608,3.310,3.859,5.367,28.448,0.475
440,5663.900,2.022,1.118,1.336,1.699,2.462,3.120,3.623,5.122,222.516,0.495
480,5339.500,2.085,1.102,1.326,1.656,2.542,3.261,3.813,5.831,207.250,0.480
520,5097.850,2.107,1.114,1.326,1.681,2.627,3.422,4.019,5.711,40.715,0.475
560,5326.400,2.143,1.107,1.342,1.780,2.658,3.428,4.034,5.738,38.583,0.467
600,5369.350,2.126,1.115,1.344,1.776,2.610,3.370,3.953,5.668,211.450,0.470
640,5517.200,2.074,1.114,1.343,1.744,2.551,3.249,3.782,5.258,208.185,0.482
680,5666.275,2.056,1.108,1.347,1.780,2.535,3.166,3.628,4.905,29.820,0.486
720,5267.650,2.195,1.118,1.347,1.809,2.672,3.472,4.127,6.552,74.792,0.456
760,5290.675,2.175,1.118,1.347,1.815,2.685,3.506,4.151,5.989,34.815,0.460
800,5346.500,2.129,1.106,1.342,1.772,2.612,3.397,4.010,5.819,38.404,0.470
840,5503.200,2.095,1.124,1.345,1.788,2.586,3.292,3.825,5.271,30.992,0.477
880,5746.575,2.032,1.121,1.343,1.758,2.517,3.123,3.566,4.688,22.012,0.492
920,5426.175,2.115,1.097,1.342,1.792,2.623,3.337,3.872,5.402,30.041,0.473
960,5026.300,2.252,1.107,1.346,1.772,2.690,3.605,4.409,7.365,218.133,0.444
1000,5453.775,2.112,1.111,1.341,1.748,2.579,3.344,3.945,5.677,210.986,0.474
1040,5554.300,2.086,1.112,1.338,1.758,2.549,3.265,3.838,5.484,34.302,0.479
1080,5716.500,2.035,1.121,1.336,1.728,2.502,3.155,3.636,4.931,33.896,0.491
1120,5359.100,2.142,1.107,1.338,1.780,2.637,3.424,4.048,5.828,38.609,0.467
1160,5554.300,2.070,1.101,1.337,1.759,2.544,3.248,3.777,5.250,20.266,0.483
1200,5396.175,2.127,1.109,1.336,1.751,2.582,3.374,4.013,5.982,42.652,0.470
1240,5544.175,2.065,1.098,1.331,1.721,2.521,3.253,3.827,5.475,34.940,0.484
1280,5662.075,2.043,1.114,1.334,1.720,2.495,3.190,3.730,5.316,32.954,0.490
1320,5605.150,2.068,1.112,1.336,1.738,2.542,3.247,3.789,5.258,41.124,0.484
1360,5364.000,2.129,1.113,1.336,1.765,2.617,3.409,4.025,5.752,40.702,0.470
1400,5442.925,2.096,1.120,1.332,1.728,2.564,3.341,3.948,5.657,41.286,0.477
1440,5542.175,2.051,1.113,1.330,1.722,2.517,3.225,3.740,5.208,33.768,0.488
1480,5637.175,2.042,1.108,1.332,1.730,2.494,3.185,3.707,5.127,50.702,0.490
1520,5666.450,2.017,1.117,1.330,1.704,2.466,3.132,3.636,5.030,30.103,0.496
1560,5390.175,2.149,1.115,1.336,1.733,2.543,3.323,3.998,6.786,84.694,0.465
1600,5279.650,2.175,1.102,1.344,1.809,2.690,3.504,4.136,5.903,33.432,0.460
1640,5541.225,2.077,1.108,1.338,1.767,2.549,3.256,3.791,5.280,23.426,0.482
1680,5338.275,2.154,1.104,1.339,1.774,2.627,3.459,4.137,6.084,43.237,0.464
1720,5495.675,2.087,1.120,1.338,1.755,2.553,3.296,3.879,5.489,37.686,0.479
1760,5475.800,2.099,1.116,1.340,1.764,2.563,3.314,3.890,5.607,35.537,0.476
