Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16906.200,2.332,1.109,1.345,1.841,2.834,3.898,4.868,7.745,209.618,0.429
40,18426.700,2.145,1.111,1.335,1.758,2.658,3.457,4.084,5.829,35.452,0.466
80,19011.425,2.064,1.097,1.325,1.685,2.543,3.272,3.837,5.534,48.854,0.485
120,18518.200,2.134,1.107,1.334,1.785,2.665,3.405,3.966,5.546,32.711,0.469
160,19389.975,2.030,1.101,1.323,1.673,2.512,3.182,3.673,5.158,65.137,0.493
200,19224.225,2.040,1.095,1.316,1.658,2.520,3.243,3.786,5.323,31.505,0.490
240,19091.025,2.045,1.100,1.316,1.660,2.516,3.258,3.825,5.403,61.803,0.489
280,18675.875,2.093,1.100,1.314,1.658,2.532,3.356,4.078,6.460,39.657,0.478
320,17860.575,2.147,1.102,1.311,1.645,2.611,3.534,4.393,6.922,53.249,0.466
360,18583.275,2.126,1.107,1.325,1.732,2.630,3.409,4.013,5.790,222.259,0.470
400,19110.950,2.081,1.099,1.329,1.750,2.579,3.277,3.818,5.377,35.557,0.481
440,19912.700,1.992,1.106,1.319,1.648,2.429,3.071,3.570,5.071,222.957,0.502
480,18719.900,2.034,1.096,1.308,1.581,2.492,3.186,3.712,5.575,211.610,0.492
520,17909.100,2.070,1.101,1.309,1.622,2.584,3.359,3.959,5.679,42.446,0.483
560,18629.675,2.107,1.099,1.325,1.726,2.610,3.370,3.963,5.679,41.778,0.475
600,18844.125,2.089,1.091,1.325,1.723,2.571,3.312,3.895,5.592,211.782,0.479
640,19280.250,2.040,1.091,1.326,1.693,2.515,3.194,3.718,5.198,210.990,0.490
680,19817.125,2.015,1.102,1.327,1.704,2.491,3.103,3.551,4.839,29.728,0.496
720,18444.025,2.140,1.109,1.326,1.729,2.616,3.386,4.017,6.251,69.544,0.467
760,18509.275,2.133,1.106,1.327,1.751,2.639,3.438,4.069,5.894,41.996,0.469
800,18772.950,2.105,1.110,1.326,1.731,2.584,3.354,3.986,5.813,36.733,0.475
840,19350.125,2.059,1.105,1.327,1.729,2.540,3.237,3.766,5.228,30.973,0.486
880,20105.675,1.989,1.112,1.323,1.678,2.474,3.062,3.490,4.586,22.144,0.503
920,18975.825,2.075,1.105,1.323,1.727,2.573,3.280,3.819,5.360,26.283,0.482
960,17619.050,2.205,1.105,1.328,1.711,2.633,3.532,4.321,7.190,218.154,0.454
1000,19062.000,2.077,1.109,1.323,1.693,2.533,3.277,3.877,5.635,214.878,0.481
1040,19423.525,2.046,1.115,1.319,1.686,2.503,3.206,3.774,5.431,41.479,0.489
1080,20027.350,1.988,1.106,1.316,1.646,2.452,3.085,3.547,4.808,36.976,0.503
1120,18813.400,2.096,1.098,1.318,1.705,2.583,3.353,3.972,5.779,32.466,0.477
1160,19421.200,2.027,1.109,1.319,1.694,2.494,3.176,3.687,5.158,28.811,0.493
1200,18871.975,2.090,1.094,1.317,1.691,2.536,3.317,3.958,5.937,57.914,0.479
1240,19399.075,2.022,1.089,1.313,1.654,2.470,3.183,3.744,5.418,31.488,0.495
1280,19818.200,1.997,1.113,1.314,1.645,2.442,3.116,3.644,5.219,37.118,0.501
1320,19606.925,2.015,1.104,1.315,1.646,2.482,3.169,3.689,5.139,53.429,0.496
1360,18799.750,2.085,1.101,1.317,1.695,2.569,3.341,3.950,5.648,36.390,0.480
1400,19030.325,2.050,1.107,1.313,1.658,2.508,3.274,3.861,5.557,32.622,0.488
1440,19406.225,2.008,1.094,1.312,1.653,2.468,3.161,3.679,5.155,32.044,0.498
1480,19734.025,2.002,1.102,1.313,1.664,2.446,3.119,3.644,5.123,42.799,0.500
1520,19850.200,1.971,1.105,1.310,1.625,2.411,3.059,3.557,4.966,28.287,0.507
1560,18903.050,2.088,1.103,1.315,1.638,2.479,3.224,3.857,6.533,85.697,0.479
1600,18473.825,2.126,1.105,1.324,1.737,2.626,3.419,4.055,5.840,36.121,0.470
1640,19398.125,2.027,1.107,1.316,1.683,2.491,3.180,3.708,5.206,23.824,0.493
1680,18697.400,2.106,1.106,1.318,1.696,2.567,3.389,4.056,6.021,50.490,0.475
1720,19252.025,2.044,1.104,1.318,1.684,2.496,3.219,3.789,5.480,46.735,0.489
1760,19200.275,2.047,1.103,1.318,1.678,2.502,3.232,3.803,5.517,40.347,0.489
