Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,48341.050,2.895,1.093,1.381,2.291,3.525,5.050,6.371,10.897,226.404,0.345
40,52625.275,2.660,1.099,1.372,2.209,3.323,4.585,5.577,8.561,222.510,0.376
80,54238.175,2.580,1.091,1.357,2.124,3.211,4.476,5.445,8.466,59.890,0.388
120,52946.875,2.643,1.097,1.371,2.245,3.311,4.567,5.502,8.278,48.151,0.378
160,55381.100,2.527,1.094,1.354,2.124,3.149,4.334,5.213,7.871,65.811,0.396
200,55004.375,2.544,1.094,1.346,2.105,3.190,4.412,5.317,7.922,56.237,0.393
240,54608.275,2.563,1.087,1.346,2.100,3.192,4.428,5.367,8.172,73.918,0.390
280,53335.875,2.624,1.086,1.343,2.096,3.238,4.589,5.695,9.322,59.771,0.381
320,51009.050,2.744,1.087,1.340,2.109,3.367,4.927,6.222,10.500,72.995,0.364
360,52999.950,2.641,1.096,1.358,2.187,3.292,4.583,5.584,8.797,222.259,0.379
400,54593.400,2.564,1.090,1.363,2.183,3.198,4.379,5.265,7.779,66.210,0.390
440,56841.575,2.462,1.099,1.349,2.067,3.050,4.184,5.005,7.455,224.137,0.406
480,53435.625,2.619,1.090,1.335,2.060,3.150,4.500,5.620,11.207,211.610,0.382
520,51106.350,2.739,1.096,1.335,2.096,3.296,4.829,6.162,11.935,72.450,0.365
560,53224.000,2.630,1.098,1.357,2.180,3.281,4.574,5.558,8.647,55.954,0.380
600,53826.925,2.600,1.091,1.358,2.158,3.233,4.479,5.414,8.389,216.589,0.385
640,55073.225,2.541,1.091,1.358,2.121,3.158,4.366,5.253,7.898,228.985,0.394
680,56642.100,2.471,1.092,1.360,2.138,3.090,4.196,4.980,7.147,51.915,0.405
720,52769.075,2.652,1.106,1.360,2.190,3.290,4.593,5.581,9.225,106.756,0.377
760,52932.700,2.644,1.103,1.363,2.202,3.315,4.602,5.594,8.501,49.034,0.378
800,53657.800,2.608,1.090,1.359,2.166,3.257,4.519,5.488,8.462,54.192,0.383
840,55334.250,2.529,1.105,1.360,2.155,3.171,4.327,5.179,7.594,50.493,0.395
880,57475.975,2.435,1.092,1.355,2.119,3.057,4.123,4.873,6.771,35.499,0.411
920,54300.500,2.578,1.097,1.356,2.170,3.218,4.452,5.369,8.060,211.307,0.388
960,50340.825,2.780,1.104,1.361,2.167,3.377,4.843,6.071,11.338,839.806,0.360
1000,54456.775,2.570,1.095,1.355,2.120,3.206,4.448,5.380,8.250,217.340,0.389
1040,55531.075,2.520,1.083,1.350,2.116,3.145,4.334,5.207,7.875,64.548,0.397
1080,57185.000,2.447,1.106,1.346,2.085,3.074,4.180,4.966,7.021,55.131,0.409
1120,53751.325,2.604,1.098,1.350,2.152,3.256,4.533,5.503,8.432,56.796,0.384
1160,55488.500,2.522,1.095,1.351,2.110,3.141,4.334,5.216,7.824,61.175,0.396
1200,53914.275,2.596,1.094,1.349,2.120,3.216,4.491,5.489,8.992,64.138,0.385
1240,55403.150,2.526,1.089,1.342,2.076,3.128,4.356,5.301,8.440,61.346,0.396
1280,56593.450,2.473,1.090,1.344,2.066,3.085,4.242,5.101,7.600,63.703,0.404
1320,56035.800,2.498,1.097,1.345,2.090,3.137,4.312,5.166,7.609,59.120,0.400
1360,53690.850,2.607,1.090,1.349,2.136,3.248,4.526,5.511,8.607,73.486,0.384
1400,54414.225,2.572,1.095,1.343,2.088,3.204,4.477,5.463,8.616,62.223,0.389
1440,55439.450,2.525,1.094,1.341,2.075,3.121,4.343,5.280,8.337,72.383,0.396
1480,56351.300,2.484,1.092,1.343,2.073,3.091,4.271,5.132,7.667,50.702,0.403
1520,56638.700,2.471,1.085,1.339,2.040,3.054,4.248,5.114,7.922,39.343,0.405
1560,54039.300,2.590,1.097,1.345,2.082,3.161,4.417,5.409,9.895,89.998,0.386
1600,52780.300,2.652,1.087,1.359,2.185,3.312,4.619,5.606,8.630,78.582,0.377
1640,55409.725,2.526,1.095,1.348,2.102,3.143,4.347,5.243,7.910,58.911,0.396
1680,53426.425,2.620,1.092,1.351,2.129,3.262,4.567,5.587,8.870,77.327,0.382
1720,55056.500,2.542,1.092,1.349,2.099,3.169,4.402,5.325,8.166,58.897,0.393
1760,54831.500,2.552,1.086,1.349,2.104,3.181,4.421,5.348,8.201,71.434,0.392
