Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5682.200,2.056,0.218,0.455,1.018,3.428,4.647,5.550,8.137,56.638,0.486
40,5860.925,2.036,0.202,0.452,1.000,3.410,4.706,5.613,7.983,37.140,0.491
80,5787.350,2.072,0.202,0.456,1.053,3.481,4.758,5.667,7.931,58.432,0.483
120,5824.650,2.082,0.204,0.455,1.045,3.498,4.782,5.697,8.113,54.340,0.480
160,5878.875,2.035,0.211,0.455,1.044,3.417,4.642,5.496,7.689,38.326,0.491
200,6002.100,2.002,0.222,0.455,1.029,3.384,4.528,5.331,7.440,34.156,0.500
240,5986.425,2.008,0.212,0.458,1.042,3.394,4.577,5.357,7.346,31.699,0.498
280,5935.950,2.020,0.206,0.455,1.049,3.403,4.606,5.414,7.464,21.004,0.495
320,5929.025,2.014,0.203,0.455,1.064,3.379,4.558,5.396,7.487,19.396,0.496
360,5638.975,2.113,0.215,0.458,1.050,3.405,4.676,5.667,8.905,92.285,0.473
400,5888.825,2.034,0.215,0.454,1.039,3.413,4.637,5.509,7.735,35.159,0.492
440,5960.850,2.040,0.214,0.459,1.073,3.421,4.600,5.436,7.636,34.593,0.490
480,5863.100,2.044,0.211,0.456,1.035,3.453,4.706,5.557,7.738,41.761,0.489
520,5739.850,2.085,0.213,0.455,1.036,3.505,4.842,5.776,8.043,38.533,0.480
560,5718.850,2.096,0.207,0.457,1.047,3.501,4.850,5.766,8.196,34.623,0.477
600,5731.200,2.111,0.212,0.461,1.083,3.514,4.842,5.791,8.261,29.009,0.474
640,5826.675,2.068,0.212,0.458,1.087,3.477,4.715,5.571,7.681,57.584,0.483
680,5909.025,2.031,0.206,0.458,1.074,3.413,4.617,5.436,7.519,27.320,0.492
720,5722.025,2.108,0.211,0.457,1.052,3.395,4.707,5.704,8.948,68.454,0.474
760,6024.100,2.028,0.213,0.457,1.059,3.419,4.608,5.426,7.405,28.499,0.493
800,5873.275,2.047,0.207,0.456,1.063,3.436,4.702,5.544,7.702,26.798,0.488
840,5211.525,2.257,0.200,0.443,0.947,3.612,5.372,6.817,11.094,62.653,0.443
880,4883.850,2.379,0.204,0.442,0.945,3.897,6.094,7.610,11.308,50.197,0.420
920,5643.200,2.124,0.207,0.454,1.035,3.552,4.974,5.947,8.395,38.684,0.471
960,5749.875,2.086,0.206,0.454,1.039,3.487,4.839,5.784,8.061,33.581,0.479
1000,5806.900,2.090,0.214,0.455,1.043,3.505,4.846,5.785,8.077,39.814,0.478
1040,5825.825,2.056,0.208,0.455,1.042,3.434,4.728,5.639,7.915,39.420,0.486
1080,5813.100,2.068,0.210,0.454,1.044,3.479,4.795,5.683,7.880,40.194,0.484
1120,5744.250,2.093,0.210,0.457,1.065,3.504,4.845,5.745,8.043,54.528,0.478
1160,5810.050,2.090,0.207,0.460,1.096,3.466,4.766,5.701,8.070,38.923,0.479
1200,5827.125,2.086,0.208,0.457,1.073,3.452,4.786,5.730,8.158,44.799,0.479
1240,5843.900,2.067,0.205,0.459,1.063,3.434,4.734,5.659,7.993,40.559,0.484
1280,5891.475,2.063,0.212,0.461,1.093,3.445,4.685,5.560,7.746,35.392,0.485
1320,5897.800,2.048,0.213,0.457,1.047,3.407,4.623,5.481,7.904,41.328,0.488
1360,5745.950,2.078,0.208,0.452,1.025,3.498,4.807,5.703,7.973,46.923,0.481
1400,5749.500,2.097,0.207,0.456,1.055,3.504,4.819,5.742,8.149,49.837,0.477
1440,5790.875,2.084,0.207,0.456,1.074,3.476,4.780,5.685,7.977,41.257,0.480
1480,5805.925,2.059,0.208,0.452,1.018,3.428,4.778,5.714,8.029,46.745,0.486
1520,5798.800,2.062,0.210,0.454,1.026,3.455,4.761,5.678,7.935,35.249,0.485
1560,5845.250,2.042,0.209,0.459,1.053,3.426,4.667,5.529,7.693,50.873,0.490
1600,5935.750,2.007,0.208,0.457,1.022,3.373,4.605,5.429,7.510,46.351,0.498
1640,5849.325,2.026,0.202,0.454,1.025,3.424,4.676,5.512,7.553,21.324,0.494
1680,5595.750,2.093,0.206,0.455,1.024,3.400,4.793,5.806,8.931,61.988,0.478
1720,5496.250,2.132,0.207,0.448,0.977,3.505,5.105,6.298,9.245,51.560,0.469
1760,5507.725,2.097,0.210,0.449,0.958,3.425,4.931,6.111,9.273,41.572,0.477
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
