Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19921.400,2.030,0.203,0.439,0.951,3.367,4.613,5.601,8.545,60.516,0.493
40,20473.125,1.948,0.204,0.431,0.879,3.302,4.555,5.439,7.797,42.440,0.513
80,20215.700,1.976,0.202,0.433,0.906,3.363,4.608,5.490,7.725,42.626,0.506
120,20231.200,1.980,0.203,0.432,0.896,3.367,4.627,5.529,7.868,51.633,0.505
160,20636.775,1.945,0.204,0.433,0.908,3.305,4.498,5.334,7.511,43.137,0.514
200,21037.225,1.911,0.206,0.434,0.893,3.268,4.382,5.162,7.224,40.034,0.523
240,20935.700,1.896,0.204,0.433,0.870,3.265,4.412,5.165,7.093,47.923,0.527
280,20705.250,1.929,0.206,0.433,0.909,3.290,4.459,5.257,7.306,41.139,0.519
320,20795.625,1.924,0.201,0.433,0.920,3.270,4.427,5.231,7.275,28.059,0.520
360,19750.100,2.029,0.198,0.436,0.914,3.288,4.536,5.517,9.043,95.343,0.493
400,20659.050,1.941,0.204,0.432,0.895,3.294,4.496,5.346,7.599,38.389,0.515
440,20934.975,1.933,0.208,0.435,0.901,3.297,4.444,5.233,7.387,48.997,0.517
480,20565.800,1.931,0.202,0.431,0.865,3.316,4.531,5.355,7.430,59.149,0.518
520,20109.325,1.980,0.207,0.431,0.880,3.373,4.690,5.593,7.872,41.585,0.505
560,20090.325,1.993,0.204,0.433,0.898,3.374,4.684,5.588,7.969,50.700,0.502
600,20069.000,2.006,0.207,0.437,0.921,3.381,4.677,5.619,8.063,34.800,0.499
640,20414.575,1.964,0.204,0.435,0.922,3.352,4.563,5.383,7.462,56.091,0.509
680,20552.025,1.933,0.196,0.435,0.920,3.289,4.464,5.263,7.313,29.789,0.517
720,19996.650,1.992,0.207,0.433,0.883,3.266,4.528,5.502,8.606,63.202,0.502
760,21147.575,1.908,0.202,0.432,0.873,3.281,4.428,5.200,7.122,60.471,0.524
800,20619.775,1.938,0.197,0.431,0.897,3.303,4.543,5.361,7.469,25.316,0.516
840,18266.150,2.154,0.204,0.422,0.829,3.475,5.210,6.652,10.751,81.947,0.464
880,17108.850,2.271,0.201,0.421,0.835,3.730,5.923,7.455,11.164,53.130,0.440
920,19823.675,2.010,0.204,0.432,0.880,3.411,4.789,5.733,8.136,44.937,0.497
960,20201.100,1.981,0.202,0.431,0.885,3.354,4.676,5.596,7.917,56.588,0.505
1000,20303.675,1.977,0.207,0.430,0.882,3.361,4.671,5.580,7.844,34.563,0.506
1040,20420.075,1.935,0.196,0.429,0.864,3.293,4.547,5.399,7.624,43.239,0.517
1080,20269.150,1.953,0.207,0.430,0.877,3.332,4.615,5.480,7.653,47.286,0.512
1120,20093.300,1.977,0.206,0.432,0.884,3.368,4.663,5.550,7.843,49.692,0.506
1160,20361.550,1.975,0.203,0.434,0.915,3.323,4.596,5.495,7.822,52.441,0.506
1200,20373.325,1.966,0.201,0.433,0.900,3.304,4.597,5.518,7.891,58.367,0.509
1240,20417.675,1.961,0.201,0.436,0.909,3.304,4.560,5.459,7.749,47.858,0.510
1280,20681.775,1.947,0.207,0.435,0.908,3.303,4.513,5.361,7.539,45.930,0.514
1320,20638.475,1.948,0.206,0.435,0.896,3.296,4.487,5.316,7.655,47.149,0.513
1360,20104.875,1.976,0.206,0.431,0.880,3.368,4.668,5.550,7.834,55.424,0.506
1400,20143.500,2.000,0.207,0.434,0.907,3.384,4.692,5.595,7.960,58.210,0.500
1440,20213.725,1.990,0.205,0.434,0.919,3.356,4.648,5.542,7.815,46.247,0.503
1480,20333.800,1.971,0.199,0.430,0.890,3.319,4.641,5.571,7.886,50.706,0.507
1520,20300.875,1.963,0.199,0.432,0.885,3.324,4.623,5.537,7.845,62.368,0.509
1560,20488.100,1.945,0.207,0.435,0.900,3.300,4.530,5.377,7.548,60.105,0.514
1600,20846.500,1.898,0.203,0.433,0.857,3.243,4.453,5.244,7.254,39.759,0.527
1640,20403.375,1.929,0.198,0.431,0.884,3.298,4.531,5.352,7.373,36.586,0.518
1680,19543.875,1.984,0.202,0.431,0.874,3.266,4.646,5.629,8.597,71.251,0.504
1720,19265.625,2.024,0.200,0.426,0.842,3.365,4.932,6.091,8.950,56.368,0.494
1760,19278.675,2.010,0.203,0.428,0.849,3.307,4.800,5.984,9.153,47.662,0.498
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
