Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1133.925,4.560,0.484,2.343,3.994,5.777,7.904,9.835,16.612,125.848,0.219
40,1178.350,4.462,0.540,2.334,3.996,5.800,7.820,9.444,14.642,41.038,0.224
80,1163.600,4.433,0.537,2.326,3.972,5.760,7.783,9.399,14.146,61.105,0.226
120,1163.275,4.447,0.587,2.338,3.990,5.784,7.812,9.363,14.071,49.392,0.225
160,1180.125,4.379,0.581,2.301,3.942,5.676,7.671,9.195,14.058,52.279,0.228
200,1200.900,4.242,0.597,2.243,3.848,5.538,7.371,8.823,13.686,45.146,0.236
240,1188.125,4.326,0.588,2.287,3.923,5.643,7.529,8.990,13.916,36.447,0.231
280,1180.950,4.384,0.579,2.309,3.973,5.684,7.641,9.121,13.827,69.536,0.228
320,1190.700,4.349,0.511,2.305,3.937,5.635,7.621,9.185,13.804,37.165,0.230
360,1122.775,4.652,0.573,2.311,3.961,5.731,8.003,10.150,20.211,127.233,0.215
400,1177.375,4.360,0.567,2.280,3.924,5.662,7.639,9.237,14.122,57.283,0.229
440,1189.650,4.279,0.558,2.279,3.911,5.583,7.428,8.846,13.134,60.904,0.234
480,1175.925,4.469,0.515,2.340,4.049,5.838,7.809,9.308,14.328,48.651,0.224
520,1148.125,4.556,0.586,2.390,4.095,5.952,7.986,9.570,14.740,59.135,0.219
560,1154.100,4.572,0.562,2.409,4.095,5.922,8.041,9.705,14.952,39.584,0.219
600,1151.250,4.562,0.515,2.423,4.077,5.910,7.994,9.712,14.754,64.946,0.219
640,1170.675,4.443,0.529,2.333,4.030,5.826,7.799,9.270,13.764,48.604,0.225
680,1176.900,4.427,0.550,2.322,3.971,5.702,7.659,9.279,14.335,78.354,0.226
720,1145.450,4.541,0.558,2.298,3.947,5.747,7.904,9.795,17.584,63.943,0.220
760,1215.050,4.266,0.575,2.285,3.894,5.612,7.404,8.731,12.996,49.764,0.234
800,1178.125,4.468,0.580,2.400,4.061,5.825,7.760,9.263,13.830,38.838,0.224
840,1046.150,4.937,0.556,2.239,4.090,6.336,9.185,11.571,20.725,94.234,0.203
880,972.550,5.591,0.517,2.662,4.711,7.374,10.375,12.797,19.795,68.630,0.179
920,1139.000,4.774,0.577,2.519,4.255,6.208,8.406,10.174,15.747,55.037,0.209
960,1157.275,4.716,0.580,2.504,4.224,6.096,8.240,9.865,15.346,45.357,0.212
1000,1166.250,4.618,0.618,2.493,4.179,6.018,8.076,9.625,13.963,58.794,0.217
1040,1171.750,4.576,0.604,2.404,4.089,5.923,8.025,9.690,15.464,60.414,0.219
1080,1155.800,4.574,0.558,2.388,4.101,5.957,7.987,9.706,15.121,40.974,0.219
1120,1152.500,4.602,0.557,2.409,4.138,5.974,8.067,9.715,15.070,42.708,0.217
1160,1173.525,4.494,0.545,2.387,4.029,5.826,7.878,9.534,14.359,49.771,0.223
1200,1162.950,4.491,0.557,2.372,4.036,5.832,7.877,9.527,14.177,55.759,0.223
1240,1162.825,4.464,0.546,2.353,4.017,5.794,7.864,9.502,14.639,44.079,0.224
1280,1187.825,4.374,0.571,2.308,3.955,5.712,7.622,9.143,13.736,63.939,0.229
1320,1187.325,4.450,0.554,2.388,4.035,5.760,7.651,9.230,14.456,43.751,0.225
1360,1156.425,4.620,0.564,2.436,4.146,5.994,8.065,9.707,14.551,63.453,0.216
1400,1141.850,4.620,0.534,2.454,4.155,6.020,8.110,9.737,14.803,40.762,0.216
1440,1148.550,4.546,0.593,2.426,4.079,5.913,7.973,9.618,14.724,42.996,0.220
1480,1156.325,4.550,0.550,2.398,4.063,5.896,7.989,9.628,14.933,55.153,0.220
1520,1154.050,4.570,0.530,2.354,4.074,5.931,8.044,9.742,15.646,55.207,0.219
1560,1168.100,4.481,0.534,2.351,4.012,5.803,7.823,9.444,14.879,54.755,0.223
1600,1182.725,4.458,0.523,2.338,4.018,5.801,7.759,9.343,14.979,76.414,0.224
1640,1170.350,4.556,0.514,2.400,4.121,5.896,7.919,9.388,14.755,60.196,0.220
1680,1111.150,4.880,0.562,2.459,4.194,6.148,8.561,10.743,18.382,84.927,0.205
1720,1106.600,4.873,0.545,2.425,4.219,6.330,8.883,10.898,16.959,52.236,0.205
1760,1099.425,4.883,0.512,2.406,4.198,6.209,8.797,11.048,18.110,68.076,0.205
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
