Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7983.925,4.652,0.998,2.404,3.817,5.677,7.755,9.964,17.605,130.453,0.215
40,8210.325,4.514,1.035,2.470,3.841,5.699,7.566,9.289,15.514,63.660,0.222
80,8114.125,4.519,0.880,2.478,3.883,5.730,7.592,9.205,14.598,55.431,0.221
120,8093.225,4.510,0.968,2.495,3.860,5.718,7.517,9.086,14.889,67.125,0.222
160,8249.250,4.436,0.997,2.423,3.788,5.594,7.401,9.030,15.089,53.261,0.225
200,8397.350,4.336,1.048,2.415,3.713,5.475,7.122,8.729,14.942,40.712,0.231
240,8347.825,4.446,0.968,2.469,3.818,5.627,7.322,8.937,15.095,64.809,0.225
280,8308.175,4.435,1.062,2.454,3.786,5.582,7.315,8.867,14.780,70.955,0.226
320,8326.625,4.437,1.007,2.416,3.808,5.586,7.425,9.068,15.506,53.459,0.225
360,7887.400,4.680,1.013,2.448,3.831,5.645,7.715,10.052,20.244,123.053,0.214
400,8279.375,4.439,0.978,2.433,3.792,5.578,7.410,9.092,15.080,57.656,0.225
440,8355.150,4.280,0.994,2.382,3.677,5.457,7.069,8.568,14.077,66.190,0.234
480,8191.125,4.535,0.997,2.501,3.875,5.716,7.479,9.059,15.936,64.449,0.220
520,8039.675,4.597,1.012,2.528,3.948,5.839,7.728,9.386,15.301,55.736,0.218
560,8033.525,4.553,0.949,2.488,3.878,5.764,7.631,9.262,16.105,49.766,0.220
600,8021.475,4.513,0.927,2.474,3.856,5.737,7.639,9.299,14.682,78.984,0.222
640,8161.750,4.468,0.986,2.464,3.860,5.686,7.426,8.927,14.455,53.642,0.224
680,8220.975,4.529,1.025,2.455,3.824,5.596,7.407,9.101,16.795,82.444,0.221
720,7999.825,4.615,0.906,2.443,3.822,5.648,7.674,9.777,18.976,216.962,0.217
760,8453.200,4.225,0.974,2.365,3.649,5.448,6.974,8.225,13.723,59.282,0.237
800,8244.525,4.459,0.941,2.467,3.844,5.650,7.383,8.917,14.357,44.828,0.224
840,7306.525,5.295,1.005,2.582,4.191,6.465,9.369,12.236,24.120,82.810,0.189
880,6844.450,5.789,1.048,2.826,4.684,7.338,10.408,13.068,21.638,69.637,0.173
920,7922.200,4.659,1.032,2.517,3.968,5.929,7.931,9.719,16.210,54.137,0.215
960,8059.425,4.541,0.952,2.467,3.844,5.749,7.615,9.257,15.669,60.882,0.220
1000,8114.275,4.452,1.016,2.450,3.806,5.701,7.516,9.037,14.009,65.550,0.225
1040,8187.725,4.567,1.049,2.516,3.878,5.743,7.584,9.311,16.413,50.016,0.219
1080,8105.975,4.599,0.906,2.534,3.938,5.802,7.653,9.323,15.928,47.178,0.217
1120,8045.275,4.607,1.075,2.513,3.922,5.823,7.734,9.539,16.090,54.105,0.217
1160,8126.475,4.442,1.042,2.444,3.794,5.626,7.448,9.046,14.552,57.957,0.225
1200,8146.775,4.480,1.026,2.475,3.813,5.643,7.532,9.127,14.848,57.305,0.223
1240,8156.525,4.498,1.026,2.494,3.853,5.680,7.572,9.264,15.154,52.906,0.222
1280,8277.175,4.353,0.996,2.408,3.707,5.525,7.238,8.735,14.036,64.388,0.230
1320,8236.975,4.392,1.075,2.451,3.759,5.552,7.235,8.733,14.507,66.382,0.228
1360,8025.575,4.632,0.992,2.506,3.929,5.799,7.703,9.352,16.236,67.175,0.216
1400,8017.300,4.513,0.848,2.490,3.883,5.755,7.593,9.190,14.672,60.467,0.222
1440,8098.450,4.478,1.019,2.477,3.857,5.701,7.534,9.129,14.634,68.841,0.223
1480,8144.825,4.496,0.967,2.452,3.802,5.657,7.501,9.088,15.676,57.281,0.222
1520,8084.125,4.588,1.023,2.491,3.907,5.764,7.724,9.557,16.374,44.465,0.218
1560,8226.375,4.516,1.010,2.456,3.839,5.664,7.520,9.246,15.646,53.952,0.221
1600,8307.350,4.512,0.977,2.501,3.821,5.650,7.417,9.131,16.404,54.435,0.222
1640,8151.950,4.658,1.069,2.566,3.964,5.768,7.556,9.229,16.859,69.231,0.215
1680,7814.050,5.030,1.044,2.668,4.159,6.082,8.377,10.746,19.378,113.818,0.199
1720,7719.700,5.036,1.016,2.645,4.186,6.296,8.711,10.901,18.689,67.569,0.199
1760,7707.575,5.134,0.980,2.672,4.183,6.175,8.741,11.279,22.501,105.246,0.195
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
