Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,35018,35018.000,236,811,2819,4001,6289,9170,11158,16134,34498
1,36490,36490.000,234,764,2668,3832,6056,8798,10680,15565,30878
2,38528,38528.000,234,737,2564,3630,5738,8308,10116,14670,31515
3,42471,42471.000,246,663,2121,3296,5433,7596,9082,12609,22037
4,29557,29557.000,206,521,1497,4730,6135,11055,17776,43562,56368
5,45565,45565.000,232,520,1801,3072,4983,7374,9001,12588,22866
6,51683,51683.000,215,488,1791,2702,4326,6241,7539,10517,23511
7,53130,53130.000,248,487,2040,2632,4294,5860,6935,9276,19019
8,57185,57185.000,226,464,1903,2444,3938,5369,6367,8719,26752
9,49580,49580.000,203,457,1524,2822,4141,6163,7719,18516,46207
10,59756,59756.000,245,475,1938,2343,3734,5110,6011,8198,22791
11,59459,59459.000,200,454,1717,2350,3810,5211,6202,8779,18949
12,60795,60795.000,231,460,1953,2301,3701,4957,5831,7726,18984
13,59889,59889.000,216,462,1869,2335,3755,5109,6060,8430,16949
14,59037,59037.000,210,453,1488,2370,3647,5312,6509,12500,27502
15,62465,62465.000,225,473,1936,2239,3536,4732,5562,7691,18946
16,63954,63954.000,235,464,1853,2187,3516,4705,5497,7270,16250
17,62330,62330.000,239,454,1853,2243,3607,4879,5705,7766,17688
18,63029,63029.000,211,449,1698,2221,3540,4883,5770,8056,21470
19,61251,61251.000,212,460,1646,2282,3566,5021,6022,9902,82679
20,63091,63091.000,224,461,1782,2219,3503,4818,5730,8145,44936
21,44836,44836.000,223,441,1144,3142,4375,7882,11565,21970,68522
22,44815,44815.000,228,452,1242,3101,4266,7591,10797,21145,62383
23,64568,64568.000,246,459,1769,2166,3476,4720,5539,7464,28294
24,61473,61473.000,224,452,1691,2275,3633,5016,6010,8972,23395
