Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3031.200,1.088,0.362,0.576,0.689,1.118,2.274,3.055,4.975,20.897,0.919
40,2945.550,1.198,0.374,0.598,0.734,1.351,2.559,3.307,5.427,19.700,0.835
80,3285.825,1.193,0.368,0.597,0.737,1.356,2.547,3.273,5.146,26.617,0.838
120,2963.650,1.179,0.352,0.593,0.729,1.344,2.501,3.226,5.164,31.520,0.848
160,2791.200,1.190,0.353,0.595,0.734,1.339,2.562,3.321,5.223,23.675,0.840
200,2952.900,1.101,0.366,0.584,0.703,1.176,2.315,3.011,4.765,23.966,0.908
240,2849.425,1.147,0.366,0.590,0.718,1.253,2.413,3.150,5.200,23.161,0.872
280,2741.400,1.120,0.366,0.586,0.707,1.209,2.369,3.086,4.870,21.259,0.892
320,3067.400,1.145,0.371,0.588,0.716,1.252,2.441,3.153,4.994,22.070,0.874
360,2688.525,1.189,0.422,0.613,0.738,1.297,2.525,3.281,5.219,22.656,0.841
400,3090.875,1.182,0.421,0.615,0.745,1.325,2.458,3.152,5.101,36.287,0.846
440,3235.375,1.210,0.424,0.618,0.762,1.405,2.507,3.217,5.101,27.131,0.827
480,3114.425,1.207,0.418,0.621,0.761,1.427,2.500,3.172,4.967,35.266,0.828
520,3048.450,1.163,0.411,0.617,0.747,1.298,2.409,3.070,4.780,23.021,0.860
560,3162.975,1.172,0.415,0.611,0.734,1.298,2.465,3.170,4.984,24.241,0.854
600,2755.100,1.189,0.428,0.615,0.741,1.316,2.520,3.247,5.108,22.092,0.841
640,3077.150,1.165,0.405,0.612,0.737,1.291,2.420,3.105,4.858,22.824,0.858
680,3248.550,1.155,0.407,0.612,0.738,1.272,2.394,3.090,4.906,18.555,0.866
720,2682.400,1.147,0.426,0.611,0.727,1.235,2.389,3.107,4.921,18.971,0.872
760,3136.125,1.192,0.432,0.615,0.746,1.343,2.507,3.216,5.103,35.765,0.839
800,3154.125,1.182,0.418,0.614,0.743,1.311,2.484,3.208,5.143,20.007,0.846
840,2852.325,1.172,0.404,0.617,0.743,1.308,2.422,3.105,5.002,20.057,0.853
880,2904.050,1.208,0.411,0.615,0.751,1.332,2.550,3.321,5.457,16.970,0.828
920,3025.125,1.173,0.420,0.610,0.734,1.265,2.454,3.201,5.261,18.353,0.853
960,2905.500,1.149,0.413,0.612,0.732,1.226,2.357,3.076,4.954,38.025,0.871
1000,2742.850,1.209,0.416,0.613,0.747,1.333,2.567,3.361,5.416,19.627,0.827
1040,2937.225,1.198,0.411,0.614,0.746,1.331,2.468,3.252,5.507,18.385,0.835
1080,2936.625,1.174,0.417,0.616,0.744,1.288,2.448,3.159,5.045,17.787,0.851
1120,2735.100,1.230,0.416,0.619,0.756,1.388,2.591,3.385,5.533,26.082,0.813
1160,2964.525,1.204,0.422,0.619,0.758,1.346,2.503,3.264,5.262,16.855,0.831
1200,3076.450,1.222,0.422,0.615,0.748,1.385,2.594,3.361,5.396,19.155,0.819
1240,2851.000,1.273,0.428,0.622,0.769,1.465,2.706,3.514,5.869,24.508,0.786
1280,2927.075,1.178,0.423,0.610,0.731,1.269,2.482,3.248,5.307,17.173,0.849
1320,3020.200,1.232,0.426,0.618,0.763,1.407,2.591,3.345,5.410,20.741,0.812
1360,3058.850,1.187,0.408,0.616,0.750,1.312,2.445,3.202,5.334,19.187,0.842
1400,2856.750,1.248,0.427,0.621,0.768,1.423,2.619,3.416,5.635,29.006,0.801
1440,2986.950,1.179,0.431,0.615,0.743,1.278,2.440,3.209,5.351,17.294,0.848
1480,3119.175,1.239,0.422,0.619,0.760,1.387,2.631,3.414,5.667,19.577,0.807
1520,3049.125,1.281,0.413,0.627,0.788,1.486,2.691,3.495,5.874,19.374,0.781
1560,2989.600,1.203,0.417,0.618,0.749,1.348,2.506,3.273,5.382,16.520,0.831
1600,3021.350,1.210,0.426,0.616,0.754,1.380,2.543,3.298,5.269,18.260,0.827
1640,3158.650,1.178,0.424,0.614,0.746,1.343,2.441,3.145,5.159,17.884,0.849
1680,3177.425,1.161,0.421,0.611,0.732,1.289,2.416,3.132,5.014,27.523,0.861
1720,2984.150,1.208,0.423,0.617,0.752,1.372,2.533,3.310,5.299,14.970,0.828
1760,2788.675,1.122,0.423,0.608,0.723,1.211,2.308,3.020,4.739,14.481,0.891
