Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10606.800,1.105,0.363,0.584,0.734,1.168,2.268,3.018,4.831,18.905,0.905
40,10318.125,1.164,0.358,0.588,0.709,1.298,2.491,3.236,5.266,23.016,0.859
80,11434.025,1.162,0.359,0.588,0.715,1.307,2.490,3.195,5.028,26.581,0.861
120,10374.000,1.142,0.356,0.583,0.703,1.280,2.433,3.140,4.972,31.416,0.876
160,9778.550,1.152,0.364,0.584,0.706,1.274,2.475,3.226,5.122,23.396,0.868
200,10295.875,1.069,0.367,0.575,0.683,1.113,2.244,2.925,4.647,22.246,0.935
240,9949.950,1.101,0.362,0.579,0.688,1.165,2.317,3.034,5.007,25.805,0.908
280,9650.800,1.086,0.350,0.576,0.684,1.134,2.290,2.998,4.799,23.207,0.921
320,10721.750,1.103,0.358,0.577,0.689,1.180,2.350,3.052,4.793,26.508,0.907
360,9393.075,1.146,0.414,0.602,0.709,1.212,2.428,3.174,5.045,149.229,0.873
400,10784.025,1.147,0.407,0.606,0.722,1.255,2.390,3.076,4.960,35.109,0.872
440,11353.225,1.177,0.405,0.609,0.737,1.355,2.448,3.141,4.988,25.678,0.849
480,10939.225,1.162,0.414,0.608,0.725,1.338,2.420,3.072,4.838,24.605,0.861
520,10713.975,1.134,0.419,0.608,0.722,1.234,2.358,3.017,4.687,23.132,0.882
560,11123.525,1.132,0.417,0.601,0.711,1.225,2.375,3.069,4.776,28.209,0.884
600,9653.225,1.144,0.411,0.603,0.709,1.226,2.441,3.148,4.907,76.172,0.874
640,10753.550,1.119,0.413,0.602,0.710,1.195,2.325,3.012,4.696,21.781,0.894
680,11397.350,1.117,0.408,0.602,0.711,1.193,2.314,3.006,4.784,19.670,0.895
720,9390.850,1.101,0.420,0.599,0.698,1.132,2.300,3.006,4.787,18.541,0.908
760,10981.225,1.152,0.421,0.606,0.719,1.266,2.432,3.127,4.929,37.662,0.868
800,11027.800,1.140,0.402,0.604,0.715,1.218,2.400,3.102,4.976,21.801,0.877
840,9943.300,1.132,0.422,0.606,0.711,1.218,2.356,3.029,4.906,20.783,0.883
880,10196.300,1.174,0.415,0.607,0.727,1.263,2.482,3.247,5.356,20.584,0.852
920,10569.825,1.129,0.424,0.600,0.705,1.175,2.361,3.101,5.084,20.662,0.885
960,10157.225,1.101,0.417,0.600,0.702,1.124,2.256,2.976,4.818,34.746,0.908
1000,9624.050,1.168,0.409,0.604,0.719,1.244,2.486,3.265,5.229,23.796,0.856
1040,10328.275,1.154,0.404,0.603,0.714,1.230,2.395,3.154,5.381,21.376,0.867
1080,10246.525,1.129,0.416,0.605,0.716,1.193,2.351,3.051,4.856,28.166,0.886
1120,9511.925,1.184,0.415,0.607,0.724,1.292,2.508,3.274,5.437,26.369,0.844
1160,10374.825,1.162,0.411,0.609,0.731,1.259,2.431,3.155,5.040,19.594,0.861
1200,10761.575,1.170,0.417,0.603,0.716,1.266,2.496,3.243,5.214,26.557,0.855
1240,10050.000,1.215,0.401,0.608,0.726,1.345,2.599,3.397,5.679,36.467,0.823
1280,10233.225,1.125,0.412,0.600,0.706,1.159,2.346,3.095,5.092,21.462,0.889
1320,10587.150,1.184,0.403,0.607,0.730,1.316,2.506,3.242,5.188,20.877,0.845
1360,10760.025,1.146,0.418,0.605,0.718,1.227,2.377,3.106,5.159,23.557,0.873
1400,10011.275,1.197,0.410,0.608,0.728,1.320,2.541,3.307,5.433,21.659,0.836
1440,10404.075,1.134,0.409,0.603,0.713,1.183,2.365,3.100,5.136,98.645,0.882
1480,10898.675,1.184,0.413,0.608,0.727,1.270,2.529,3.288,5.449,24.016,0.844
1520,10699.500,1.230,0.398,0.614,0.742,1.401,2.607,3.403,5.699,20.789,0.813
1560,10477.775,1.150,0.418,0.606,0.714,1.231,2.411,3.147,5.221,23.046,0.870
1600,10596.625,1.165,0.414,0.606,0.724,1.284,2.451,3.181,5.113,26.283,0.859
1640,11080.025,1.136,0.421,0.602,0.712,1.242,2.365,3.074,5.047,108.821,0.881
1680,11115.900,1.106,0.411,0.600,0.703,1.157,2.300,2.992,4.844,27.490,0.904
1720,10417.775,1.149,0.406,0.605,0.714,1.243,2.414,3.161,5.125,15.821,0.871
1760,9773.750,1.074,0.408,0.597,0.694,1.096,2.223,2.916,4.549,21.134,0.931
