Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,23155,23155.000,352,585,832,6036,1676,26821,31002,83622,102187
1,13132,13132.000,368,596,864,10819,1923,45010,65530,143410,163390
2,15861,15861.000,354,596,867,8885,1955,32542,54591,101659,129033
3,14462,14462.000,367,584,828,9513,1875,29680,63652,126501,208508
4,16858,16858.000,354,589,845,8698,1862,30098,56780,114051,133011
5,16738,16738.000,373,577,813,8202,1831,28706,54192,96604,119664
6,15387,15387.000,353,581,825,8805,1903,26177,52433,121109,160982
7,17284,17284.000,371,593,870,8023,2024,24594,61067,93257,119369
8,17388,17388.000,383,605,889,8161,2148,20475,50315,116186,181063
9,25401,25401.000,359,611,933,5410,2658,15498,19928,90160,111041
10,38165,38165.000,392,611,953,3817,2736,13317,16272,35452,77678
11,41012,41012.000,392,634,1022,3258,3057,11664,13947,17614,72995
12,41329,41329.000,389,640,1074,3383,3279,11090,13245,17108,80225
13,43440,43440.000,387,626,1045,3220,3168,10420,12378,16864,77333
14,53152,53152.000,370,584,755,2629,2163,10062,11830,14460,21598
15,55325,55325.000,374,593,767,2469,2159,9109,10799,13018,27609
16,29468,29468.000,372,556,731,4780,1633,22647,27468,36997,58361
17,29144,29144.000,368,553,716,4871,1480,22873,27777,41295,54948
18,31269,31269.000,360,552,720,4407,1578,20604,24361,29163,65608
19,33188,33188.000,365,553,709,4200,1491,19438,23773,31773,49469
20,37714,37714.000,364,560,724,3711,1687,16051,19805,29534,44713
21,35186,35186.000,366,572,757,3973,1980,13662,17330,46863,73979
22,37189,37189.000,371,583,781,3761,2160,12106,14962,53614,92748
23,38757,38757.000,372,586,788,3612,2128,11602,14498,39683,67263
24,41290,41290.000,366,586,799,3548,2344,11155,13566,43865,109520
25,17017,17017.000,383,621,906,8433,2791,11091,41306,190299,204542
26,16261,16261.000,368,592,812,7963,2659,13537,48699,142638,153396
