Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,560.450,6.379,0.469,0.842,1.179,3.206,17.541,28.556,78.741,269.126,0.157
40,652.225,5.686,0.454,0.821,1.151,3.285,14.066,21.095,80.178,274.485,0.176
80,586.475,6.439,0.452,0.828,1.152,3.383,14.223,27.475,90.933,238.212,0.155
120,657.875,5.508,0.476,0.827,1.165,3.324,13.531,19.857,71.677,219.617,0.182
160,589.450,6.244,0.449,0.830,1.168,3.283,13.906,25.378,89.695,212.533,0.160
200,526.000,7.034,0.452,0.818,1.137,3.108,15.925,30.863,99.774,205.540,0.142
240,517.600,6.992,0.457,0.819,1.130,3.300,15.091,32.206,97.281,250.110,0.143
280,507.450,7.095,0.452,0.829,1.141,3.160,15.696,29.967,101.766,256.242,0.141
320,534.275,6.933,0.578,0.911,1.287,3.548,14.099,30.537,99.580,227.562,0.144
360,565.150,6.573,0.598,0.888,1.205,3.287,15.719,26.624,91.287,206.623,0.152
400,523.550,7.090,0.588,0.906,1.270,3.502,14.412,34.588,100.351,227.877,0.141
440,619.575,5.867,0.580,0.900,1.266,3.377,13.914,22.446,78.097,211.701,0.170
480,507.500,6.842,0.589,0.905,1.276,3.597,13.664,31.648,91.826,237.707,0.146
520,572.250,6.324,0.597,0.872,1.147,2.923,16.866,28.711,77.876,240.419,0.158
560,526.825,6.984,0.583,0.893,1.228,3.446,15.133,29.819,94.031,263.379,0.143
600,599.000,5.946,0.604,0.885,1.194,3.115,14.993,22.897,79.532,199.343,0.168
640,595.875,6.142,0.604,0.902,1.262,3.440,13.566,22.833,86.024,457.612,0.163
680,434.825,8.512,0.602,0.873,1.159,2.972,17.560,36.327,130.228,516.867,0.117
720,539.100,6.924,0.589,0.873,1.158,3.098,17.255,29.716,89.312,837.855,0.144
760,628.950,6.028,0.602,0.880,1.177,3.120,15.377,24.140,77.287,207.038,0.166
800,580.475,6.317,0.605,0.893,1.230,3.426,14.915,26.251,85.174,242.698,0.158
840,585.025,6.498,0.602,0.887,1.216,3.150,14.907,24.238,91.343,645.438,0.154
880,611.000,6.041,0.563,0.859,1.115,2.898,17.692,26.971,65.599,194.756,0.166
920,470.125,7.811,0.586,0.846,1.056,2.637,20.392,32.411,121.677,507.547,0.128
960,460.550,7.750,0.554,0.862,1.120,2.705,21.258,40.385,98.916,215.420,0.129
1000,516.375,7.194,0.594,0.863,1.131,2.822,22.905,37.246,79.687,191.213,0.139
1040,490.050,7.882,0.596,0.866,1.139,3.049,22.248,40.213,91.453,692.142,0.127
1080,525.000,7.017,0.571,0.874,1.176,3.235,20.733,35.792,74.966,192.478,0.143
1120,459.925,7.839,0.585,0.863,1.124,2.770,23.983,41.328,93.008,194.797,0.128
1160,531.525,6.880,0.584,0.869,1.170,3.086,18.517,31.987,83.722,198.963,0.145
1200,507.775,7.487,0.597,0.868,1.154,2.945,20.751,38.122,88.949,240.618,0.134
1240,437.225,8.507,0.602,0.877,1.165,3.077,18.434,43.564,126.452,302.239,0.118
1280,568.650,6.647,0.576,0.874,1.192,3.149,17.285,27.965,86.369,236.662,0.150
1320,536.450,6.889,0.571,0.865,1.133,2.841,17.968,33.471,85.266,332.311,0.145
1360,505.875,7.546,0.598,0.867,1.154,2.959,21.233,37.688,87.184,323.022,0.133
1400,488.450,7.436,0.579,0.866,1.126,2.869,20.014,38.245,85.228,802.089,0.134
1440,526.125,7.158,0.593,0.871,1.166,3.067,21.155,34.244,81.431,174.271,0.140
1480,534.350,6.840,0.580,0.864,1.131,2.874,18.217,31.600,90.429,412.328,0.146
1520,537.525,6.820,0.585,0.880,1.187,3.081,18.074,28.819,89.747,390.338,0.147
1560,544.250,6.888,0.575,0.867,1.149,2.964,19.290,34.142,79.082,201.872,0.145
1600,474.650,7.736,0.586,0.859,1.131,3.013,23.873,38.812,88.287,467.320,0.129
1640,403.300,9.394,0.586,0.862,1.136,3.222,33.701,51.784,88.719,487.621,0.106
1680,405.650,9.360,0.580,0.856,1.114,2.868,36.167,52.669,86.788,167.291,0.107
1720,498.350,7.563,0.580,0.866,1.169,2.993,24.475,38.244,76.367,572.019,0.132
1760,537.225,6.872,0.592,0.869,1.165,3.056,18.709,31.917,82.441,187.950,0.146
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
