Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,560.575,12.487,0.696,1.826,3.366,15.980,29.842,45.898,101.043,236.336,0.080
40,653.450,11.171,0.683,1.786,3.335,13.343,22.939,44.154,99.639,237.483,0.090
80,577.450,12.605,0.715,1.807,3.446,13.676,29.960,54.091,107.515,238.071,0.079
120,664.150,10.827,0.692,1.808,3.385,13.045,21.706,42.106,99.883,197.296,0.092
160,598.975,11.965,0.668,1.803,3.356,13.271,26.019,50.725,106.286,214.255,0.084
200,520.375,13.862,0.710,1.789,3.230,14.768,33.284,60.093,128.750,202.894,0.072
240,514.475,14.072,0.705,1.774,3.277,14.407,37.547,65.238,127.449,247.701,0.071
280,509.975,14.045,0.713,1.794,3.244,14.812,30.846,56.226,145.972,293.701,0.071
320,531.575,13.283,0.892,1.951,3.644,13.424,32.545,59.402,120.778,230.083,0.075
360,563.575,12.619,0.866,1.867,3.265,14.474,27.474,52.132,115.346,215.952,0.079
400,528.325,13.952,0.865,1.963,3.725,13.707,37.868,63.571,126.710,231.089,0.072
440,623.275,11.379,0.869,1.922,3.512,13.354,23.497,47.566,96.698,257.864,0.088
480,518.575,14.191,0.871,1.926,3.622,13.359,40.569,69.925,138.936,246.889,0.070
520,578.425,12.440,0.855,1.817,3.090,15.210,29.433,48.589,106.815,240.888,0.080
560,533.275,13.339,0.877,1.888,3.396,14.406,31.769,60.810,122.535,258.591,0.075
600,611.475,11.819,0.859,1.862,3.212,14.329,25.285,48.171,103.436,204.618,0.085
640,605.650,11.912,0.890,1.929,3.543,13.133,24.559,50.549,107.140,461.186,0.084
680,433.275,16.392,0.889,1.806,3.123,15.461,37.348,74.770,185.275,551.305,0.061
720,547.400,13.303,0.861,1.833,3.084,16.083,30.211,52.365,108.347,843.593,0.075
760,632.650,11.296,0.851,1.851,3.224,14.279,24.829,43.382,97.473,206.482,0.089
800,572.650,12.693,0.882,1.932,3.509,14.255,29.309,52.765,106.981,244.353,0.079
840,582.975,12.353,0.891,1.892,3.297,14.198,24.505,45.497,106.405,801.657,0.081
880,615.325,11.622,0.838,1.779,2.992,16.086,27.565,40.695,94.328,197.012,0.086
920,474.775,15.081,0.878,1.640,2.701,17.588,32.929,50.660,193.404,536.259,0.066
960,463.025,16.098,0.873,1.810,3.070,19.392,43.285,68.238,135.500,218.274,0.062
1000,519.875,13.881,0.884,1.804,3.037,18.493,37.453,53.709,98.832,239.350,0.072
1040,489.850,14.830,0.887,1.811,3.033,18.955,40.188,59.503,102.389,697.383,0.067
1080,527.475,13.775,0.872,1.856,3.285,17.591,37.685,53.724,97.523,194.330,0.073
1120,457.975,15.453,0.852,1.802,2.936,19.947,41.512,61.683,118.072,230.319,0.065
1160,527.550,13.708,0.886,1.856,3.257,16.244,34.749,55.162,110.234,211.686,0.073
1200,507.325,14.247,0.873,1.813,3.004,17.841,38.403,58.856,108.867,243.163,0.070
1240,432.075,16.206,0.892,1.847,3.205,16.116,43.090,73.417,179.717,301.161,0.062
1280,567.600,12.660,0.827,1.854,3.170,15.720,28.555,46.797,111.974,236.031,0.079
1320,538.200,13.340,0.861,1.809,2.993,16.355,34.480,54.673,104.195,334.779,0.075
1360,500.525,14.299,0.858,1.830,3.016,18.080,36.855,57.813,110.479,332.168,0.070
1400,478.750,14.694,0.859,1.800,3.005,17.583,39.357,60.308,109.168,803.008,0.068
1440,530.300,13.368,0.865,1.831,3.017,18.031,34.172,53.647,95.830,180.464,0.075
1480,541.500,13.477,0.854,1.809,2.975,16.484,32.479,55.786,109.812,417.663,0.074
1520,545.650,13.271,0.856,1.882,3.206,16.654,29.924,50.538,119.951,384.882,0.075
1560,538.250,13.033,0.879,1.810,2.973,16.989,33.754,51.471,97.165,200.910,0.077
1600,478.950,15.026,0.891,1.790,2.936,20.432,40.570,57.198,108.240,471.397,0.067
1640,397.500,18.320,0.875,1.781,2.976,26.902,54.161,69.667,107.141,516.911,0.055
1680,406.725,17.938,0.868,1.759,2.869,29.271,53.199,69.077,98.489,194.530,0.056
1720,504.300,13.958,0.847,1.827,2.952,19.511,37.087,53.266,98.869,572.356,0.072
1760,543.200,13.372,0.888,1.840,3.146,17.158,33.222,55.912,103.080,187.323,0.075
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
