Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3970.250,25.686,4.646,12.459,17.249,28.207,49.021,76.394,138.872,239.852,0.039
40,4556.100,21.640,4.216,10.414,13.321,20.312,46.400,74.564,125.600,239.370,0.046
80,4078.425,24.653,3.648,10.723,13.540,24.371,56.006,87.384,134.581,241.348,0.041
120,4636.050,21.091,4.272,10.374,13.042,19.334,45.715,69.251,123.991,222.821,0.047
160,4204.025,23.904,3.505,10.382,13.297,23.678,54.483,88.130,128.996,249.608,0.042
200,3669.450,28.249,4.610,11.584,15.249,29.443,66.186,98.192,158.658,216.688,0.035
240,3612.900,28.743,3.811,11.310,14.765,31.766,72.965,97.763,145.071,253.133,0.035
280,3589.125,29.097,4.459,11.604,15.436,28.418,64.993,103.024,185.147,302.384,0.034
320,3739.100,26.954,4.620,10.561,13.411,27.444,68.802,97.103,146.944,304.694,0.037
360,3933.675,25.859,4.266,11.321,14.952,25.383,57.862,89.533,149.923,274.325,0.039
400,3675.800,27.387,3.467,10.580,13.507,29.296,69.623,97.150,157.888,283.891,0.037
440,4332.850,22.653,3.998,10.519,13.295,21.260,50.838,77.627,129.231,261.133,0.044
480,3631.150,27.873,4.165,10.390,13.246,31.311,70.072,93.984,155.147,260.125,0.036
520,4024.025,25.440,4.412,11.779,15.936,27.442,52.247,79.224,137.622,243.884,0.039
560,3704.450,27.585,4.426,11.416,14.656,28.705,66.574,92.899,146.710,264.243,0.036
600,4219.550,23.735,4.434,11.135,14.576,22.861,50.865,81.125,136.841,260.744,0.042
640,4247.975,23.179,4.024,10.280,12.790,20.132,52.006,84.184,137.819,459.851,0.043
680,3042.825,35.239,4.618,12.006,16.721,34.663,84.939,122.040,260.372,555.288,0.028
720,3776.400,27.364,4.788,12.977,16.701,28.277,56.762,84.630,147.678,843.458,0.037
760,4404.125,22.594,3.302,11.428,14.610,22.808,46.824,69.165,116.478,227.447,0.044
800,4019.000,24.947,4.444,11.114,14.231,24.837,55.923,88.099,133.422,355.231,0.040
840,4086.125,24.646,3.776,11.195,14.423,22.851,48.781,83.564,147.154,803.005,0.041
880,4300.350,23.624,4.091,12.641,17.078,25.934,42.410,61.371,113.097,250.292,0.042
920,3294.225,32.558,4.575,13.270,19.448,31.103,57.702,112.679,237.146,714.843,0.031
960,3212.100,33.281,5.403,14.522,21.309,39.664,72.503,99.453,152.319,218.639,0.030
1000,3615.925,28.966,3.801,13.853,21.044,35.429,56.837,77.347,114.425,209.310,0.035
1040,3397.450,31.180,5.457,14.622,20.827,37.331,63.344,85.555,124.943,696.547,0.032
1080,3711.100,27.880,4.826,13.139,18.994,34.202,55.464,75.943,124.827,254.469,0.036
1120,3241.525,33.112,4.911,15.412,22.780,39.997,66.575,94.859,143.697,244.449,0.030
1160,3741.275,27.660,3.927,12.568,17.240,31.058,58.093,83.929,145.188,350.915,0.036
1200,3529.325,29.817,5.450,13.949,19.473,35.514,61.344,84.769,133.844,242.009,0.034
1240,3085.725,34.687,4.398,12.318,17.453,41.074,79.970,119.701,206.394,304.478,0.029
1280,3978.350,25.708,5.241,12.489,16.364,26.241,50.624,83.656,153.548,237.186,0.039
1320,3773.650,27.583,5.409,12.934,17.212,31.562,57.887,81.554,128.039,335.067,0.036
1360,3513.150,30.029,3.894,14.000,19.771,34.354,61.228,86.977,135.764,330.585,0.033
1400,3412.375,31.077,5.296,13.755,19.308,36.820,63.360,85.732,144.246,811.547,0.032
1440,3718.600,28.085,3.737,13.868,19.729,32.331,57.185,77.926,122.058,227.085,0.036
1480,3750.625,27.817,5.456,13.059,17.300,29.601,60.337,88.671,131.746,418.221,0.036
1520,3777.700,27.428,4.070,13.166,17.361,27.931,53.977,88.321,150.198,393.570,0.036
1560,3767.275,27.524,5.514,13.452,18.671,32.483,55.142,74.943,127.364,247.587,0.036
1600,3337.050,31.974,4.524,15.749,22.774,38.138,61.743,86.737,126.184,472.556,0.031
1640,2808.600,38.723,5.000,18.345,31.475,51.261,71.705,89.649,118.672,518.391,0.026
1680,2810.025,38.736,5.189,20.951,33.681,51.048,69.970,83.672,110.484,196.550,0.026
1720,3505.950,30.133,3.529,14.750,22.341,36.190,57.037,74.994,126.498,574.431,0.033
1760,3745.950,27.727,4.299,13.555,17.878,30.709,60.121,83.570,125.407,189.320,0.036
1800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
