Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28386.250,4.928,0.266,0.496,0.695,2.022,14.557,24.764,64.947,269.126,0.203
40,32543.075,4.300,0.259,0.497,0.669,2.094,11.842,17.519,63.670,274.485,0.233
80,29145.250,4.806,0.264,0.501,0.675,2.178,12.143,18.693,80.740,241.348,0.208
120,33053.100,4.230,0.259,0.498,0.675,2.132,11.743,16.812,58.410,222.821,0.236
160,29936.200,4.675,0.261,0.500,0.673,2.100,11.799,19.161,78.541,249.608,0.214
200,26202.350,5.342,0.238,0.495,0.658,1.992,13.317,22.786,91.897,216.688,0.187
240,25806.050,5.424,0.262,0.496,0.659,2.035,12.881,23.947,92.749,253.133,0.184
280,25591.775,5.474,0.267,0.501,0.670,1.997,13.352,23.601,93.947,302.384,0.183
320,26629.575,5.250,0.348,0.554,0.739,2.312,11.966,19.625,92.209,304.694,0.190
360,28055.750,4.996,0.350,0.541,0.701,2.072,13.042,20.872,80.593,274.325,0.200
400,26300.225,5.314,0.347,0.552,0.733,2.295,11.988,20.444,91.700,283.891,0.188
440,30925.800,4.531,0.354,0.548,0.731,2.233,11.880,17.744,69.806,261.133,0.221
480,25795.850,5.419,0.340,0.552,0.736,2.305,11.791,20.908,88.523,260.125,0.185
520,28795.875,4.860,0.347,0.533,0.673,1.855,13.686,22.789,67.775,243.884,0.206
560,26561.425,5.276,0.345,0.545,0.706,2.140,12.941,20.939,86.614,264.243,0.190
600,30164.850,4.634,0.350,0.539,0.692,1.989,12.789,19.417,70.616,260.744,0.216
640,30211.225,4.633,0.349,0.548,0.724,2.231,11.593,16.675,73.636,461.186,0.216
680,21709.175,6.451,0.343,0.536,0.677,1.897,13.981,26.406,106.071,555.288,0.155
720,27104.000,5.161,0.350,0.532,0.673,1.854,14.704,23.007,72.326,843.593,0.194
760,31539.425,4.441,0.353,0.538,0.687,1.960,12.962,19.471,60.643,227.447,0.225
800,28650.350,4.881,0.344,0.543,0.708,2.127,12.628,19.880,80.975,355.231,0.205
840,29173.750,4.800,0.347,0.539,0.697,2.052,12.752,19.256,72.830,803.005,0.208
880,30598.300,4.573,0.346,0.528,0.654,1.754,14.733,23.040,54.284,250.292,0.219
920,23561.725,5.938,0.349,0.524,0.639,1.634,16.120,27.078,94.867,714.843,0.168
960,22928.250,6.105,0.341,0.529,0.659,1.738,17.285,33.786,92.846,218.639,0.164
1000,25950.500,5.393,0.339,0.529,0.661,1.756,16.677,31.036,70.067,239.350,0.185
1040,24359.400,5.753,0.341,0.529,0.660,1.741,17.268,30.853,78.841,697.383,0.174
1080,26460.250,5.283,0.341,0.533,0.679,1.900,15.569,29.400,68.050,254.469,0.189
1120,23069.500,6.066,0.330,0.528,0.655,1.674,18.415,34.560,87.354,244.449,0.165
1160,26718.175,5.241,0.337,0.533,0.675,1.891,14.597,26.137,76.553,350.915,0.191
1200,25195.450,5.552,0.345,0.530,0.665,1.764,16.290,30.003,77.260,243.163,0.180
1240,21957.375,6.374,0.342,0.535,0.676,1.927,14.498,31.588,100.273,304.478,0.157
1280,28394.975,4.936,0.344,0.531,0.676,1.891,14.342,22.488,73.868,237.186,0.203
1320,27002.075,5.178,0.335,0.530,0.658,1.748,14.774,26.276,74.355,335.067,0.193
1360,25091.775,5.578,0.344,0.526,0.661,1.730,16.569,28.908,79.784,332.168,0.179
1400,24269.425,5.766,0.338,0.530,0.659,1.765,16.185,30.534,75.351,811.547,0.173
1440,26448.150,5.293,0.340,0.528,0.666,1.782,16.542,27.990,71.138,227.085,0.189
1480,26860.300,5.210,0.337,0.529,0.654,1.730,14.987,24.893,80.729,418.221,0.192
1520,26888.600,5.214,0.348,0.531,0.683,1.896,15.148,24.214,78.800,393.570,0.192
1560,27074.250,5.162,0.340,0.528,0.662,1.791,15.609,27.742,68.020,247.587,0.194
1600,23810.375,5.878,0.348,0.524,0.650,1.699,18.841,33.040,78.964,472.556,0.170
1640,20061.000,6.979,0.344,0.526,0.653,1.716,24.270,45.338,84.144,518.391,0.143
1680,20213.375,6.924,0.341,0.524,0.650,1.638,26.723,45.624,79.411,209.026,0.144
1720,25017.300,5.592,0.344,0.527,0.661,1.727,18.149,31.676,68.637,574.431,0.179
1760,26840.525,5.213,0.344,0.530,0.662,1.794,15.542,25.436,76.034,217.075,0.192
1800,0.050,0.464,0.452,0.452,0.475,0.475,0.475,0.475,0.475,0.475,2.157
