Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9309.900,0.890,0.336,0.529,0.613,0.938,1.713,2.368,3.807,30.905,1.123
40,10548.775,0.888,0.339,0.535,0.618,0.933,1.715,2.336,3.678,30.916,1.126
80,11369.675,0.939,0.337,0.542,0.630,0.984,1.888,2.517,3.924,33.976,1.065
120,9899.525,0.916,0.337,0.538,0.623,0.956,1.800,2.422,3.909,30.517,1.092
160,10238.325,0.913,0.336,0.534,0.620,0.957,1.796,2.452,3.928,30.908,1.095
200,9646.275,0.908,0.330,0.536,0.620,0.947,1.787,2.407,3.817,24.824,1.101
240,8937.075,0.915,0.338,0.532,0.619,0.952,1.767,2.466,3.948,204.787,1.093
280,9787.175,0.911,0.345,0.549,0.629,0.959,1.754,2.363,3.711,211.906,1.098
320,8723.675,0.918,0.392,0.554,0.635,0.964,1.741,2.402,3.811,23.919,1.089
360,9786.125,0.951,0.396,0.563,0.649,1.008,1.857,2.442,3.768,206.413,1.051
400,9581.850,0.920,0.396,0.556,0.637,0.970,1.761,2.412,3.823,29.114,1.087
440,10392.075,0.897,0.393,0.552,0.629,0.946,1.689,2.286,3.621,33.646,1.114
480,9676.325,0.978,0.395,0.561,0.650,1.014,1.951,2.615,4.150,52.390,1.022
520,10732.825,0.928,0.376,0.556,0.636,0.977,1.803,2.414,3.775,28.452,1.078
560,10022.525,0.940,0.388,0.556,0.639,0.986,1.836,2.467,3.914,205.525,1.064
600,10025.400,0.911,0.390,0.553,0.631,0.958,1.726,2.357,3.794,21.227,1.097
640,10968.525,0.944,0.397,0.558,0.640,0.995,1.841,2.471,3.899,33.672,1.059
680,10184.625,0.957,0.390,0.562,0.646,1.005,1.893,2.501,3.934,19.688,1.045
720,10204.650,0.941,0.395,0.557,0.639,0.987,1.833,2.465,3.916,208.950,1.063
760,10701.475,0.940,0.395,0.556,0.636,0.984,1.828,2.455,3.968,117.556,1.064
800,9289.225,0.944,0.382,0.561,0.644,0.988,1.841,2.481,3.943,29.699,1.059
840,10172.900,0.955,0.395,0.558,0.640,0.998,1.879,2.525,4.070,31.292,1.047
880,10368.225,0.931,0.384,0.557,0.638,0.981,1.818,2.433,3.833,31.810,1.074
920,9250.350,0.970,0.395,0.560,0.646,1.007,1.929,2.588,4.167,209.525,1.031
960,9999.800,0.924,0.398,0.558,0.639,0.978,1.781,2.387,3.754,37.616,1.082
1000,9780.000,0.934,0.396,0.562,0.644,0.979,1.767,2.378,3.862,280.703,1.071
1040,9245.325,0.957,0.397,0.563,0.650,1.005,1.865,2.517,4.001,22.631,1.045
1080,9914.350,0.971,0.387,0.567,0.657,1.025,1.883,2.482,4.004,218.057,1.030
1120,9676.150,0.976,0.395,0.566,0.654,1.020,1.944,2.572,4.012,32.675,1.024
1160,9139.225,1.000,0.395,0.567,0.660,1.044,2.003,2.655,4.189,207.855,1.000
1200,10129.325,0.942,0.394,0.565,0.649,0.997,1.825,2.415,3.786,23.399,1.062
1240,9972.200,0.961,0.396,0.566,0.652,1.008,1.876,2.486,3.984,33.872,1.040
1280,9359.200,0.976,0.386,0.565,0.655,1.017,1.912,2.574,4.151,209.198,1.025
1320,10188.700,0.962,0.391,0.565,0.650,1.005,1.851,2.478,4.009,233.501,1.040
1360,9849.000,0.985,0.385,0.564,0.650,1.010,1.868,2.501,4.206,215.176,1.016
1400,9597.775,0.979,0.395,0.564,0.652,1.015,1.931,2.591,4.190,31.882,1.021
1440,10155.725,0.948,0.398,0.561,0.644,0.989,1.811,2.443,3.929,398.223,1.055
1480,9539.600,0.963,0.394,0.561,0.647,1.001,1.881,2.518,4.158,30.944,1.038
1520,9643.550,0.933,0.394,0.560,0.641,0.978,1.774,2.391,3.906,25.664,1.072
1560,10487.400,0.935,0.391,0.560,0.642,0.985,1.806,2.402,3.833,40.764,1.069
1600,10187.750,0.925,0.375,0.560,0.641,0.971,1.758,2.361,3.837,29.413,1.081
1640,9472.675,0.987,0.390,0.566,0.657,1.032,1.952,2.596,4.191,33.045,1.014
1680,10327.175,0.954,0.395,0.563,0.649,1.003,1.849,2.468,4.064,19.389,1.048
1720,10440.425,0.938,0.391,0.562,0.644,0.989,1.803,2.423,3.948,28.424,1.066
1760,8981.450,1.002,0.383,0.569,0.662,1.039,2.000,2.680,4.399,31.060,0.998
1800,417.525,1.172,0.440,0.586,0.709,1.400,2.484,3.139,4.725,12.437,0.853
