Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2651.900,0.922,0.349,0.550,0.638,0.972,1.772,2.420,3.891,30.948,1.085
40,3010.875,0.929,0.360,0.557,0.649,0.982,1.788,2.428,3.848,26.631,1.076
80,3246.575,0.981,0.354,0.566,0.667,1.036,1.948,2.573,3.981,27.585,1.020
120,2831.775,0.957,0.351,0.563,0.660,1.009,1.850,2.483,4.012,22.380,1.044
160,2929.025,0.967,0.356,0.559,0.660,1.018,1.893,2.564,4.067,30.923,1.034
200,2760.075,0.956,0.349,0.561,0.657,1.007,1.863,2.484,3.921,27.686,1.046
240,2557.150,0.967,0.350,0.558,0.661,1.016,1.859,2.560,4.082,201.026,1.034
280,2792.950,0.961,0.351,0.574,0.670,1.022,1.836,2.441,3.830,36.100,1.041
320,2490.625,0.967,0.411,0.579,0.677,1.022,1.820,2.468,3.907,23.203,1.034
360,2803.550,0.998,0.407,0.588,0.691,1.067,1.922,2.511,3.871,21.646,1.002
400,2729.900,0.970,0.407,0.581,0.676,1.027,1.840,2.494,3.922,29.906,1.031
440,2962.775,0.950,0.414,0.577,0.669,1.012,1.774,2.385,3.783,22.343,1.052
480,2766.925,1.032,0.396,0.587,0.695,1.078,2.044,2.721,4.276,23.069,0.969
520,3070.825,0.986,0.406,0.582,0.680,1.041,1.894,2.505,3.967,31.349,1.014
560,2875.800,0.994,0.409,0.582,0.682,1.048,1.932,2.573,4.042,19.995,1.006
600,2850.700,0.968,0.405,0.578,0.675,1.027,1.824,2.467,3.962,19.494,1.033
640,3126.825,1.000,0.408,0.584,0.685,1.060,1.936,2.570,3.967,33.617,1.000
680,2900.700,1.013,0.405,0.589,0.691,1.069,1.973,2.588,4.084,21.266,0.987
720,2923.400,0.999,0.407,0.583,0.685,1.051,1.929,2.569,4.088,18.074,1.001
760,3058.525,1.001,0.406,0.583,0.682,1.056,1.920,2.568,4.088,22.860,0.999
800,2663.900,1.002,0.406,0.587,0.690,1.059,1.923,2.571,4.098,22.483,0.998
840,2901.300,1.021,0.410,0.585,0.689,1.071,1.987,2.646,4.259,31.325,0.979
880,2977.150,0.987,0.399,0.583,0.684,1.048,1.891,2.534,3.949,20.203,1.013
920,2660.275,1.033,0.405,0.587,0.695,1.082,2.036,2.718,4.300,30.388,0.968
960,2852.425,0.987,0.411,0.585,0.687,1.053,1.879,2.481,3.893,36.212,1.014
1000,2774.850,0.995,0.417,0.588,0.691,1.056,1.863,2.478,3.978,286.633,1.005
1040,2628.700,1.022,0.400,0.591,0.700,1.082,1.963,2.629,4.162,32.859,0.979
1080,2820.875,1.035,0.413,0.595,0.712,1.109,1.981,2.598,4.180,18.357,0.966
1120,2770.775,1.046,0.412,0.595,0.708,1.106,2.063,2.690,4.242,23.965,0.956
1160,2601.075,1.067,0.410,0.595,0.713,1.128,2.120,2.790,4.412,19.067,0.937
1200,2880.725,1.006,0.411,0.592,0.698,1.074,1.921,2.520,3.941,22.864,0.994
1240,2854.300,1.025,0.414,0.594,0.702,1.089,1.965,2.584,4.055,29.083,0.976
1280,2678.075,1.043,0.402,0.592,0.707,1.096,2.034,2.704,4.356,17.828,0.959
1320,2920.550,1.030,0.400,0.593,0.704,1.091,1.965,2.609,4.168,95.758,0.971
1360,2815.425,1.054,0.408,0.592,0.704,1.096,1.973,2.601,4.425,213.136,0.949
1400,2743.175,1.051,0.399,0.594,0.710,1.104,2.055,2.715,4.384,24.509,0.952
1440,2894.350,1.021,0.408,0.589,0.697,1.073,1.940,2.575,4.125,229.548,0.980
1480,2738.325,1.036,0.404,0.590,0.702,1.089,1.994,2.637,4.351,21.090,0.966
1520,2761.400,1.003,0.410,0.588,0.694,1.058,1.905,2.520,4.093,23.063,0.997
1560,2987.250,1.004,0.406,0.589,0.695,1.067,1.903,2.508,3.982,39.631,0.996
1600,2906.800,0.995,0.407,0.589,0.693,1.056,1.867,2.477,4.019,30.420,1.005
1640,2692.575,1.058,0.414,0.595,0.718,1.125,2.057,2.723,4.352,18.512,0.945
1680,2945.650,1.029,0.414,0.592,0.705,1.092,1.974,2.619,4.253,16.492,0.971
1720,2984.125,1.010,0.403,0.590,0.699,1.079,1.921,2.525,4.082,17.440,0.990
1760,2571.075,1.077,0.415,0.598,0.721,1.139,2.124,2.819,4.576,32.070,0.929
1800,119.250,1.262,0.447,0.616,0.800,1.551,2.588,3.328,5.037,12.876,0.793
