Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,536.600,13.300,0.846,1.911,3.155,16.460,31.429,48.103,126.777,257.585,0.075
40,603.750,11.958,0.869,1.887,3.092,14.940,26.753,46.306,103.058,192.662,0.084
80,655.750,10.856,0.869,1.940,3.238,13.674,22.503,38.225,96.454,210.635,0.092
120,568.100,12.624,0.810,1.908,3.157,14.349,28.997,54.712,106.318,214.490,0.079
160,593.575,12.186,0.853,1.934,3.266,15.142,28.329,45.950,102.641,209.243,0.082
200,549.925,12.850,0.847,1.899,3.145,14.540,30.286,56.887,110.637,212.187,0.078
240,509.350,13.786,0.807,1.921,3.198,16.100,31.336,55.302,120.042,1010.814,0.073
280,562.000,12.899,0.918,1.936,3.163,14.546,31.121,54.832,107.410,195.354,0.078
320,493.825,14.367,0.960,1.958,3.197,16.019,38.385,62.165,119.648,208.723,0.070
360,553.150,12.823,0.976,1.984,3.294,14.715,29.996,53.610,105.798,310.165,0.078
400,546.200,13.147,0.971,1.962,3.172,15.642,32.988,54.150,104.673,197.565,0.076
440,595.475,11.649,0.958,1.924,3.070,14.879,29.362,44.065,88.077,188.515,0.086
480,557.100,12.988,0.955,2.009,3.402,14.739,30.353,56.829,107.189,205.945,0.077
520,610.825,11.820,0.940,1.981,3.218,14.582,25.403,47.235,98.518,197.879,0.085
560,571.625,12.333,0.949,1.966,3.264,14.418,28.442,51.494,105.101,183.300,0.081
600,573.625,12.474,0.986,1.953,3.178,15.411,28.234,49.978,104.773,193.885,0.080
640,626.075,11.292,0.948,2.003,3.284,14.420,25.365,43.045,91.212,203.788,0.089
680,583.600,12.343,0.948,1.978,3.283,14.136,28.506,53.804,100.774,217.465,0.081
720,585.100,12.334,0.988,1.983,3.217,14.796,28.063,49.794,101.472,216.569,0.081
760,611.400,11.849,0.984,1.990,3.303,14.635,25.970,44.589,105.162,203.165,0.084
800,535.825,13.219,0.983,1.962,3.183,14.854,35.689,57.777,103.841,205.570,0.076
840,580.200,12.295,0.992,2.005,3.320,14.408,24.280,43.559,134.112,256.890,0.081
880,589.950,12.018,0.932,1.966,3.191,14.435,28.508,48.521,99.673,185.663,0.083
920,525.500,13.558,0.963,2.014,3.356,14.760,32.623,61.596,113.420,208.769,0.074
960,574.525,12.308,0.946,1.998,3.203,14.895,28.604,49.080,104.969,222.846,0.081
1000,554.550,12.917,0.974,1.993,3.189,14.718,29.603,53.270,108.695,190.332,0.077
1040,526.400,13.680,0.947,2.027,3.361,15.629,33.184,56.660,115.890,205.173,0.073
1080,564.725,12.751,0.968,2.061,3.397,15.074,28.307,52.214,107.046,205.456,0.078
1120,555.375,13.089,0.955,2.046,3.487,14.844,30.245,54.527,113.484,201.051,0.076
1160,527.575,13.691,0.973,2.077,3.530,14.726,28.279,53.997,136.190,305.112,0.073
1200,571.375,12.383,0.951,2.012,3.210,14.555,27.585,50.357,104.530,216.716,0.081
1240,565.175,12.484,0.973,2.012,3.274,14.233,28.463,52.290,107.561,199.266,0.080
1280,535.000,13.442,0.987,2.064,3.500,15.429,33.681,54.627,109.320,215.268,0.074
1320,576.325,11.970,0.970,2.034,3.332,14.603,26.036,46.626,102.288,201.453,0.084
1360,558.625,12.819,0.973,2.026,3.408,14.661,31.476,53.313,100.147,236.096,0.078
1400,549.925,12.980,0.943,2.063,3.380,14.931,30.158,54.679,106.612,201.567,0.077
1440,580.200,12.463,0.956,2.029,3.285,14.940,27.869,46.814,104.458,303.252,0.080
1480,544.825,12.870,0.965,2.013,3.294,14.468,28.483,51.369,121.481,345.414,0.078
1520,553.900,13.016,1.001,2.006,3.207,14.968,30.156,55.574,110.899,214.426,0.077
1560,597.650,11.952,0.939,2.009,3.230,14.583,26.455,47.420,101.057,226.335,0.084
1600,582.600,12.225,0.971,1.999,3.239,14.579,27.628,49.992,101.751,229.855,0.082
1640,540.225,13.222,0.971,2.073,3.464,15.205,31.482,54.992,113.509,208.797,0.076
1680,588.325,12.250,0.942,2.048,3.341,14.701,26.851,49.797,100.905,208.109,0.082
1720,599.975,11.942,0.948,2.013,3.256,14.744,28.490,47.769,96.010,210.740,0.084
1760,516.025,13.666,0.986,2.080,3.531,14.620,29.679,60.650,127.632,342.571,0.073
1800,24.300,7.140,1.135,2.384,4.285,12.247,14.375,16.016,18.809,22.898,0.140
