Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,524.225,11.759,0.671,1.681,2.573,14.122,29.081,42.368,125.158,253.386,0.085
40,599.450,10.049,0.646,1.665,2.510,12.759,22.983,37.420,92.747,190.255,0.100
80,647.850,9.230,0.585,1.654,2.536,11.704,19.731,31.113,93.270,208.046,0.108
120,563.150,10.933,0.632,1.646,2.514,12.339,25.324,50.321,102.684,213.056,0.091
160,584.850,10.627,0.641,1.676,2.584,12.962,25.115,41.795,99.133,201.794,0.094
200,542.200,11.249,0.663,1.648,2.487,12.458,26.466,50.377,106.491,211.062,0.089
240,509.450,12.413,0.664,1.697,2.612,13.955,27.418,50.367,121.825,1010.265,0.081
280,552.025,11.011,0.601,1.680,2.523,12.548,26.192,49.279,100.380,195.001,0.091
320,497.375,12.569,0.708,1.693,2.513,13.959,34.380,55.160,109.501,206.047,0.080
360,562.100,11.071,0.724,1.701,2.581,12.443,25.915,50.515,100.415,308.294,0.090
400,549.025,11.274,0.711,1.684,2.511,13.416,27.243,48.756,99.927,200.857,0.089
440,594.775,10.423,0.726,1.657,2.462,12.894,26.605,42.403,88.651,186.732,0.096
480,557.625,11.141,0.735,1.720,2.664,12.676,25.103,49.736,102.384,203.940,0.090
520,611.775,10.085,0.678,1.692,2.517,12.506,22.146,42.422,91.976,193.733,0.099
560,576.825,10.669,0.679,1.667,2.520,12.271,24.611,46.828,103.353,180.403,0.094
600,579.200,11.034,0.670,1.680,2.502,13.472,25.398,46.154,102.998,193.730,0.091
640,627.650,9.699,0.718,1.702,2.582,12.342,21.809,38.620,87.365,200.910,0.103
680,585.125,10.700,0.726,1.694,2.577,12.201,23.450,48.634,102.159,218.343,0.093
720,583.950,10.601,0.718,1.716,2.568,12.714,23.282,43.948,99.921,219.601,0.094
760,616.625,10.150,0.699,1.707,2.611,12.625,22.860,39.396,99.012,202.105,0.099
800,530.000,11.660,0.738,1.688,2.545,12.683,30.690,54.118,102.749,200.034,0.086
840,584.500,10.668,0.760,1.752,2.663,12.512,21.772,39.441,113.462,256.295,0.094
880,595.375,10.347,0.696,1.702,2.532,12.455,24.817,42.193,94.359,192.548,0.097
920,522.825,11.700,0.722,1.739,2.671,12.710,27.773,53.146,103.314,213.689,0.085
960,569.050,10.692,0.730,1.724,2.573,12.760,25.190,44.373,98.874,175.797,0.094
1000,563.450,10.954,0.716,1.700,2.484,12.463,25.345,46.675,104.353,187.483,0.091
1040,522.550,11.875,0.703,1.752,2.665,13.330,28.900,51.820,107.610,205.813,0.084
1080,568.750,10.819,0.750,1.771,2.685,12.628,24.104,43.887,105.304,202.920,0.092
1120,552.325,11.083,0.729,1.745,2.676,12.618,25.620,47.229,105.216,195.936,0.090
1160,520.250,12.088,0.713,1.786,2.739,12.723,24.655,50.288,135.250,301.684,0.083
1200,579.025,10.542,0.739,1.734,2.571,12.337,23.079,43.987,100.193,209.620,0.095
1240,567.000,10.882,0.702,1.733,2.655,12.237,25.011,48.711,102.909,195.318,0.092
1280,534.050,11.407,0.717,1.767,2.674,13.061,26.318,48.791,107.132,216.302,0.088
1320,580.275,10.489,0.676,1.745,2.629,12.633,23.482,41.853,99.095,220.928,0.095
1360,559.575,10.963,0.734,1.726,2.627,12.567,25.916,48.702,96.606,221.735,0.091
1400,546.625,11.187,0.733,1.761,2.693,12.825,25.497,48.698,101.742,203.471,0.089
1440,584.650,10.667,0.721,1.743,2.600,12.861,24.716,42.620,95.696,305.407,0.094
1480,543.750,11.439,0.732,1.714,2.633,12.571,25.065,47.673,111.655,345.209,0.087
1520,548.200,11.364,0.740,1.743,2.599,13.063,25.920,50.551,103.370,215.108,0.088
1560,595.125,10.314,0.720,1.731,2.572,12.622,23.312,42.448,93.226,224.871,0.097
1600,580.475,10.832,0.695,1.725,2.596,12.792,24.786,46.098,98.654,229.479,0.092
1640,539.975,11.513,0.728,1.758,2.707,12.945,27.294,50.698,110.199,201.246,0.087
1680,586.600,10.688,0.725,1.756,2.651,12.797,23.430,45.049,97.398,200.166,0.094
1720,596.775,10.521,0.714,1.735,2.624,12.794,25.776,43.450,91.423,209.987,0.095
1760,514.925,11.959,0.702,1.765,2.753,12.405,25.148,54.488,126.201,337.715,0.084
1800,23.275,5.697,0.803,1.762,2.946,10.133,12.703,14.595,17.912,20.910,0.176
