Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,26578.425,5.263,0.336,0.565,0.758,1.851,14.910,26.483,77.641,260.923,0.190
40,30199.025,4.638,0.339,0.565,0.729,1.825,13.501,21.064,66.406,198.719,0.216
80,32494.850,4.304,0.337,0.573,0.750,1.967,12.275,17.972,62.527,210.635,0.232
120,28262.325,4.957,0.337,0.568,0.730,1.880,12.827,21.132,79.555,215.514,0.202
160,29281.925,4.776,0.336,0.565,0.739,1.897,13.578,22.355,66.239,211.287,0.209
200,27546.225,5.081,0.330,0.566,0.727,1.869,13.085,22.742,85.447,212.187,0.197
240,25528.675,5.481,0.338,0.564,0.739,1.877,14.691,24.758,85.866,1010.814,0.182
280,27970.550,5.005,0.345,0.578,0.742,1.850,13.087,22.409,80.299,211.906,0.200
320,24923.200,5.623,0.392,0.583,0.751,1.857,14.555,28.433,87.432,208.791,0.178
360,27959.225,4.999,0.396,0.593,0.781,1.942,13.052,22.356,76.558,312.216,0.200
400,27388.375,5.122,0.396,0.585,0.754,1.863,14.083,23.427,79.079,207.031,0.195
440,29722.000,4.698,0.393,0.580,0.740,1.801,13.451,23.313,63.518,189.905,0.213
480,27671.200,5.058,0.395,0.591,0.783,2.037,13.183,21.398,81.779,205.945,0.198
520,30613.875,4.574,0.376,0.585,0.757,1.898,13.093,19.709,67.197,228.995,0.219
560,28697.875,4.875,0.388,0.585,0.757,1.934,12.937,21.661,73.625,205.525,0.205
600,28619.000,4.897,0.390,0.581,0.749,1.836,13.943,21.753,72.687,204.658,0.204
640,31320.850,4.465,0.397,0.587,0.771,1.938,12.922,19.699,60.684,205.908,0.224
680,29105.675,4.806,0.390,0.591,0.770,1.982,12.564,19.607,74.994,219.191,0.208
720,29180.800,4.797,0.394,0.587,0.768,1.938,13.318,20.766,69.399,222.302,0.208
760,30524.050,4.598,0.395,0.585,0.760,1.926,13.110,19.898,63.042,214.831,0.217
800,26561.950,5.255,0.382,0.590,0.762,1.926,13.386,25.553,80.537,206.694,0.190
840,29054.475,4.823,0.393,0.588,0.776,1.984,13.006,19.362,72.675,258.598,0.207
880,29697.375,4.708,0.384,0.586,0.759,1.906,13.093,21.674,68.396,196.632,0.212
920,26486.775,5.287,0.395,0.589,0.778,2.016,13.158,22.807,86.497,279.895,0.189
960,28550.375,4.902,0.398,0.588,0.763,1.894,13.504,22.253,73.504,222.846,0.204
1000,27941.575,5.008,0.396,0.591,0.765,1.878,13.238,22.675,82.257,420.406,0.200
1040,26341.075,5.313,0.397,0.593,0.784,1.963,14.013,23.410,86.921,207.228,0.188
1080,28299.275,4.955,0.387,0.598,0.808,1.985,13.354,21.740,75.668,218.057,0.202
1120,27665.575,5.051,0.395,0.597,0.792,2.035,13.118,22.567,77.076,209.373,0.198
1160,26095.250,5.363,0.395,0.598,0.815,2.099,13.208,20.338,89.425,305.112,0.186
1200,28924.475,4.858,0.394,0.595,0.781,1.929,13.108,20.712,76.421,216.716,0.206
1240,28492.700,4.893,0.396,0.596,0.783,1.967,12.735,20.662,75.337,201.415,0.204
1280,26723.450,5.238,0.386,0.596,0.797,2.018,13.746,22.767,83.098,218.923,0.191
1320,29140.625,4.802,0.391,0.595,0.788,1.959,13.142,20.617,69.705,374.284,0.208
1360,28094.750,4.984,0.385,0.594,0.786,1.968,13.031,22.456,75.792,257.508,0.201
1400,27382.350,5.109,0.393,0.595,0.796,2.037,13.424,21.364,79.980,205.938,0.196
1440,28965.725,4.846,0.398,0.591,0.775,1.927,13.407,21.630,62.136,435.395,0.206
1480,27297.675,5.113,0.393,0.591,0.778,1.982,13.035,21.276,75.050,349.255,0.196
1520,27589.075,5.075,0.394,0.590,0.766,1.898,13.531,21.933,80.606,231.794,0.197
1560,29930.650,4.677,0.390,0.590,0.770,1.911,13.115,20.345,67.191,226.904,0.214
1600,29153.475,4.798,0.375,0.590,0.759,1.869,13.146,21.343,71.203,229.962,0.208
1640,27019.075,5.180,0.390,0.597,0.804,2.043,13.532,22.611,81.837,210.711,0.193
1680,29523.025,4.750,0.395,0.594,0.789,1.962,13.204,20.272,70.062,210.874,0.211
1720,29831.600,4.696,0.391,0.592,0.772,1.912,13.278,21.752,64.195,211.904,0.213
1760,25685.625,5.434,0.383,0.601,0.811,2.091,12.998,21.210,87.658,351.496,0.184
1800,1193.200,2.895,0.440,0.618,0.947,2.519,10.530,12.568,16.274,31.053,0.345
