Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,22166,22166.000,340,583,864,6315,1893,31572,36722,46567,61252
1,13173,13173.000,355,589,887,10777,1855,34087,64938,189891,260923
2,11662,11662.000,336,605,955,13011,2408,53997,76661,178925,200127
3,10498,10498.000,346,612,923,13016,2048,41232,102820,162188,185313
4,11376,11376.000,345,585,866,11646,1927,49554,71659,146850,176964
5,12961,12961.000,347,582,874,10531,2057,37766,71868,116215,139410
6,11994,11994.000,346,583,865,11638,1964,42577,67768,150663,171488
7,11970,11970.000,345,574,841,11697,1867,37373,93575,132666,160476
8,12168,12168.000,347,574,819,12308,1713,33710,98889,147519,195471
9,11284,11284.000,360,572,827,11486,1858,34380,61770,163244,241416
10,20464,20464.000,348,556,775,6999,1521,28912,34897,78410,142219
11,28869,28869.000,352,546,713,4734,1357,23730,27744,32689,61550
12,34793,34793.000,351,549,693,3999,1283,18369,22025,28667,57382
13,41340,41340.000,353,550,697,3379,1465,15256,17804,21932,30767
14,42723,42723.000,362,576,800,3282,2153,13259,16010,20916,37569
15,36755,36755.000,336,585,864,3789,2394,12302,15026,28867,145845
16,40764,40764.000,368,581,841,3430,2253,11751,14511,32291,56893
17,48649,48649.000,357,587,846,2880,2309,10788,13042,17556,28530
18,43320,43320.000,354,585,855,3258,2251,10878,13547,31500,46821
19,25867,25867.000,351,540,740,5408,1541,27829,32004,37135,45579
20,26522,26522.000,356,541,724,5266,1437,26203,30392,35667,59046
21,27340,27340.000,348,544,722,5102,1542,24493,28808,38305,53568
22,25108,25108.000,341,550,747,5585,1550,25789,31121,42276,68798
23,30413,30413.000,337,543,697,4575,1389,21717,25650,34676,52579
24,33105,33105.000,350,554,713,4230,1423,17841,22106,36547,66367
25,36333,36333.000,347,547,683,3850,1429,16108,18874,37052,67903
26,32509,32509.000,349,560,718,4302,1667,14709,18115,46666,133054
27,36494,36494.000,351,559,708,3912,1676,13561,17961,47669,83354
28,37831,37831.000,351,560,705,3614,1748,12511,15497,46117,61248
29,24730,24730.000,357,565,716,5700,1779,12583,18049,134094,159448
30,16027,16027.000,358,573,770,8714,2162,14089,48722,170564,194014
31,18134,18134.000,352,578,811,8104,2375,14397,31000,166272,200386
32,20550,20550.000,351,580,807,6625,2202,13888,37824,96845,170365
33,19811,19811.000,357,579,773,7301,2194,12635,46564,123273,193609
34,19980,19980.000,354,579,785,6883,2306,12626,37636,133579,184969
35,21592,21592.000,357,593,848,6205,2467,11687,21078,96976,176814
36,24491,24491.000,347,580,750,5764,2074,12221,23489,103589,138534
37,35115,35115.000,340,551,663,3955,1549,13846,18711,46270,91247
38,44245,44245.000,361,560,679,3203,1682,11108,14316,33491,57003
39,40011,40011.000,356,565,699,3436,1816,10803,16700,36543,54199
40,34741,34741.000,348,555,716,4057,1638,13952,27417,33684,44119
41,29895,29895.000,355,539,696,4676,1451,22683,26869,32421,47964
42,31662,31662.000,353,545,685,4448,1333,20561,26142,34496,57297
43,36274,36274.000,339,544,677,3820,1359,16923,20056,28550,55325
44,36277,36277.000,357,545,673,3862,1401,16891,20764,29726,59293
45,33963,33963.000,354,558,708,4115,1606,15515,21441,38755,75315
46,31926,31926.000,346,548,674,4408,1399,17255,26213,44330,53796
47,28279,28279.000,347,564,747,4919,1955,14143,20387,61344,113406
48,27365,27365.000,347,580,812,5359,2350,13221,18778,85087,151710
49,24361,24361.000,350,580,810,5695,2226,13319,24576,90377,170504
50,25456,25456.000,363,590,837,5281,2393,12698,29981,74062,98300
51,23742,23742.000,359,583,818,6105,2331,12765,23905,95873,141521
52,19444,19444.000,353,571,726,7202,1832,14302,39510,116932,198719
53,23521,23521.000,346,560,690,6033,1603,14894,32879,98233,147543
54,22458,22458.000,358,580,736,5914,1904,11723,17440,97267,196094
55,27993,27993.000,350,566,697,5137,1651,12713,16971,98095,160965
56,25313,25313.000,347,569,706,5375,1682,12984,26004,79392,160866
57,24682,24682.000,354,575,731,5707,1941,12107,21263,88389,144853
58,27654,27654.000,353,573,717,5021,1777,12282,19074,82407,131563
