Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11994.975,3.338,2.397,2.827,3.016,3.302,3.463,3.685,5.631,427.273,0.300
40,10095.775,4.080,2.409,2.816,2.995,3.286,3.423,3.505,13.293,431.725,0.245
80,9560.900,4.333,2.412,2.820,2.999,3.286,3.425,3.506,14.041,426.974,0.231
120,9483.900,4.399,2.410,2.824,3.002,3.289,3.427,3.522,15.161,444.670,0.227
160,9468.375,4.419,2.413,2.825,3.005,3.291,3.430,3.550,14.671,424.323,0.226
200,9448.950,4.371,2.411,2.819,2.996,3.283,3.423,3.503,16.222,429.888,0.229
240,9431.350,4.382,2.420,2.818,2.995,3.281,3.423,3.523,16.930,445.610,0.228
280,9389.225,4.426,2.394,2.824,3.007,3.287,3.429,3.553,16.762,644.938,0.226
320,9421.475,4.434,2.410,2.821,3.001,3.284,3.422,3.522,17.724,437.114,0.226
360,9400.050,4.468,2.414,2.821,3.005,3.286,3.428,3.548,16.969,436.453,0.224
400,9363.325,4.431,2.416,2.822,3.008,3.287,3.438,3.623,13.242,417.032,0.226
440,9390.875,4.422,2.412,2.824,3.011,3.291,3.446,3.672,13.309,444.760,0.226
480,9421.250,4.378,2.409,2.828,3.019,3.299,3.470,3.750,12.035,434.567,0.228
520,9381.575,4.449,2.410,2.818,3.003,3.285,3.442,3.679,14.225,435.152,0.225
560,9392.325,4.386,2.405,2.820,3.004,3.286,3.438,3.630,13.566,418.613,0.228
600,9372.175,4.431,2.418,2.820,3.004,3.286,3.434,3.607,14.662,432.924,0.226
640,9422.225,4.440,2.413,2.818,3.000,3.283,3.428,3.573,15.981,431.399,0.225
680,9322.725,4.466,2.405,2.813,2.993,3.282,3.430,3.603,14.480,434.660,0.224
720,9430.875,4.455,2.405,2.814,2.991,3.283,3.430,3.586,16.359,423.566,0.224
760,9384.250,4.441,2.414,2.871,3.098,3.367,3.613,3.831,15.518,435.275,0.225
800,9348.350,4.465,2.420,2.850,3.065,3.329,3.539,3.743,14.252,434.723,0.224
840,9430.700,4.394,2.404,2.821,3.000,3.290,3.441,3.622,14.246,231.238,0.228
880,9373.350,4.446,2.417,2.820,2.999,3.289,3.443,3.655,12.957,415.250,0.225
920,9422.800,4.398,2.407,2.809,2.985,3.282,3.425,3.564,15.722,441.803,0.227
960,9490.975,4.426,2.409,2.818,2.997,3.289,3.436,3.607,16.205,432.685,0.226
1000,9358.125,4.432,2.413,2.822,3.000,3.290,3.438,3.613,13.836,416.158,0.226
1040,9363.950,4.443,2.410,2.819,2.996,3.287,3.440,3.632,13.177,435.767,0.225
1080,9365.875,4.451,2.414,2.817,2.997,3.288,3.443,3.646,13.631,414.717,0.225
1120,9361.050,4.378,2.413,2.812,2.988,3.280,3.428,3.583,14.675,647.101,0.228
1160,9365.875,4.443,2.414,2.815,2.993,3.286,3.444,3.663,11.629,433.701,0.225
1200,9447.300,4.396,2.406,2.805,2.979,3.275,3.422,3.571,15.938,431.737,0.228
1240,9383.575,4.437,2.412,2.811,2.990,3.280,3.424,3.550,15.438,841.546,0.225
1280,9391.875,4.418,2.415,2.813,2.993,3.283,3.432,3.594,15.677,424.727,0.226
1320,9408.000,4.442,2.403,2.806,2.983,3.277,3.425,3.572,16.566,431.571,0.225
1360,9394.450,4.368,2.413,2.816,2.998,3.290,3.445,3.667,16.671,435.942,0.229
1400,9421.550,4.399,2.417,2.807,2.986,3.278,3.424,3.559,16.376,421.154,0.227
1440,9302.125,4.454,2.410,2.810,2.985,3.280,3.429,3.615,15.862,421.416,0.225
1480,9346.675,4.467,2.410,2.805,2.981,3.275,3.421,3.565,17.236,441.068,0.224
1520,9345.900,4.455,2.401,2.805,2.982,3.276,3.426,3.598,14.825,440.853,0.224
1560,9388.600,4.410,2.409,2.802,2.979,3.276,3.424,3.583,16.055,434.625,0.227
1600,9393.475,4.390,2.406,2.802,2.978,3.274,3.424,3.571,15.840,419.700,0.228
1640,9332.825,4.476,2.415,2.810,2.990,3.283,3.441,3.668,12.340,432.194,0.223
1680,9481.375,4.391,2.410,2.800,2.977,3.273,3.429,3.631,14.831,430.572,0.228
1720,9381.675,4.418,2.415,2.805,2.981,3.276,3.429,3.600,14.516,426.585,0.226
1760,9383.025,4.419,2.408,2.803,2.979,3.274,3.427,3.596,16.255,437.868,0.226
1800,227.375,4.152,2.429,2.784,2.955,3.216,3.377,3.459,15.671,414.590,0.241
