Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12023.225,3.376,2.425,2.848,3.045,3.324,3.497,3.730,5.635,428.265,0.296
40,10095.375,4.158,2.420,2.833,3.012,3.300,3.438,3.522,13.439,427.018,0.240
80,9581.325,4.419,2.421,2.834,3.014,3.301,3.439,3.528,14.616,431.489,0.226
120,9486.300,4.486,2.423,2.838,3.018,3.303,3.441,3.535,15.645,434.162,0.223
160,9463.675,4.416,2.418,2.837,3.018,3.305,3.443,3.561,14.995,429.503,0.226
200,9428.300,4.501,2.424,2.834,3.011,3.298,3.438,3.524,16.809,440.967,0.222
240,9414.475,4.508,2.425,2.832,3.009,3.295,3.438,3.544,17.751,444.292,0.222
280,9378.375,4.468,2.426,2.838,3.020,3.302,3.444,3.572,16.734,443.294,0.224
320,9424.800,4.480,2.419,2.835,3.015,3.298,3.438,3.547,18.386,433.620,0.223
360,9365.050,4.490,2.424,2.835,3.019,3.300,3.442,3.566,17.006,429.166,0.223
400,9326.200,4.544,2.427,2.835,3.023,3.301,3.455,3.644,13.904,417.689,0.220
440,9384.950,4.499,2.427,2.842,3.035,3.309,3.471,3.710,13.492,418.342,0.222
480,9399.500,4.478,2.432,2.843,3.036,3.315,3.489,3.777,12.493,431.591,0.223
520,9358.950,4.450,2.415,2.834,3.021,3.301,3.459,3.704,14.258,430.382,0.225
560,9417.550,4.523,2.429,2.833,3.019,3.301,3.455,3.659,14.020,435.627,0.221
600,9388.325,4.451,2.431,2.836,3.020,3.300,3.451,3.626,14.590,424.526,0.225
640,9407.650,4.496,2.422,2.832,3.016,3.298,3.444,3.596,16.401,437.287,0.222
680,9352.850,4.496,2.414,2.828,3.007,3.297,3.446,3.625,14.740,437.454,0.222
720,9425.125,4.481,2.425,2.827,3.004,3.298,3.442,3.591,16.491,420.163,0.223
760,9378.925,4.498,2.425,2.888,3.116,3.383,3.628,3.854,15.925,438.794,0.222
800,9364.175,4.503,2.433,2.864,3.080,3.346,3.557,3.765,14.681,434.495,0.222
840,9420.150,4.445,2.423,2.835,3.015,3.306,3.458,3.647,14.757,231.389,0.225
880,9345.700,4.478,2.427,2.834,3.014,3.304,3.460,3.677,13.060,414.870,0.223
920,9420.225,4.475,2.425,2.823,3.000,3.297,3.441,3.585,16.186,435.446,0.223
960,9443.225,4.450,2.425,2.832,3.014,3.304,3.452,3.631,16.333,436.011,0.225
1000,9366.800,4.538,2.425,2.837,3.014,3.304,3.454,3.631,14.472,416.289,0.220
1040,9374.025,4.505,2.425,2.833,3.011,3.302,3.456,3.650,13.439,227.930,0.222
1080,9371.725,4.484,2.425,2.832,3.013,3.304,3.458,3.664,13.861,415.361,0.223
1120,9363.925,4.390,2.418,2.826,3.002,3.293,3.443,3.598,14.801,434.843,0.228
1160,9366.825,4.454,2.424,2.829,3.009,3.301,3.459,3.683,11.875,432.654,0.225
1200,9431.850,4.447,2.426,2.819,2.994,3.290,3.438,3.590,16.035,643.458,0.225
1240,9359.025,4.498,2.415,2.826,3.005,3.295,3.440,3.576,16.128,419.329,0.222
1280,9368.625,4.512,2.428,2.827,3.008,3.298,3.448,3.615,16.413,434.889,0.222
1320,9413.275,4.496,2.423,2.821,3.000,3.293,3.440,3.584,16.787,421.034,0.222
1360,9337.825,4.439,2.427,2.835,3.022,3.310,3.475,3.715,17.057,432.656,0.225
1400,9430.550,4.414,2.418,2.820,3.000,3.293,3.439,3.580,16.382,437.328,0.227
1440,9314.650,4.569,2.425,2.825,3.001,3.295,3.445,3.637,16.584,430.399,0.219
1480,9347.100,4.504,2.423,2.821,2.996,3.289,3.437,3.582,17.734,437.919,0.222
1520,9388.775,4.550,2.425,2.820,2.997,3.292,3.443,3.624,16.069,422.910,0.220
1560,9376.425,4.452,2.422,2.817,2.995,3.291,3.441,3.606,16.732,439.313,0.225
1600,9396.050,4.467,2.424,2.815,2.992,3.288,3.438,3.582,16.333,630.207,0.224
1640,9318.900,4.495,2.424,2.824,3.003,3.297,3.456,3.687,12.653,428.226,0.222
1680,9459.500,4.478,2.409,2.814,2.992,3.288,3.444,3.645,15.402,441.956,0.223
1720,9389.175,4.452,2.423,2.820,2.997,3.292,3.445,3.618,14.648,421.404,0.225
1760,9384.800,4.516,2.427,2.818,2.996,3.290,3.445,3.625,16.825,432.384,0.221
1800,223.775,4.201,2.426,2.792,2.969,3.239,3.395,3.467,15.394,417.805,0.238
