Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34318.125,4.081,2.397,2.916,3.163,3.624,6.050,6.714,11.397,440.370,0.245
40,28860.950,4.847,2.409,2.909,3.125,3.476,5.957,6.585,16.268,826.224,0.206
80,27335.175,5.119,2.412,2.923,3.124,3.476,5.954,6.589,17.376,434.915,0.195
120,27079.175,5.173,2.410,2.928,3.126,3.482,5.962,6.591,18.432,444.670,0.193
160,27054.925,5.177,2.413,2.928,3.129,3.491,5.998,6.670,17.440,435.281,0.193
200,26999.950,5.185,2.411,2.918,3.121,3.478,5.966,6.614,19.827,631.992,0.193
240,26933.675,5.198,2.420,2.911,3.121,3.482,5.943,6.548,20.581,445.610,0.192
280,26799.850,5.217,2.394,2.919,3.133,3.495,5.928,6.528,19.642,644.938,0.192
320,26930.450,5.193,2.410,2.915,3.129,3.484,5.906,6.482,20.935,437.114,0.193
360,26807.975,5.221,2.414,2.914,3.131,3.492,5.904,6.488,19.391,437.024,0.192
400,26698.325,5.244,2.416,2.904,3.136,3.552,5.921,6.514,16.074,436.620,0.191
440,26805.775,5.222,2.412,2.913,3.144,3.588,5.987,6.627,15.951,444.760,0.191
480,26896.200,5.218,2.409,2.917,3.151,3.656,5.999,6.653,14.700,434.567,0.192
520,26759.000,5.217,2.410,2.897,3.135,3.585,5.941,6.575,17.341,435.152,0.192
560,26859.850,5.220,2.405,2.895,3.134,3.551,5.920,6.515,16.344,438.547,0.192
600,26800.450,5.217,2.418,2.902,3.134,3.533,5.928,6.530,17.234,434.115,0.192
640,26883.250,5.211,2.413,2.900,3.129,3.506,5.891,6.475,18.433,437.287,0.192
680,26676.575,5.237,2.405,2.878,3.127,3.528,5.906,6.493,17.126,437.454,0.191
720,26936.350,5.202,2.405,2.873,3.128,3.513,5.890,6.472,18.731,453.706,0.192
760,26783.925,5.219,2.414,2.951,3.263,3.766,6.044,6.719,18.206,438.794,0.192
800,26760.400,5.241,2.420,2.937,3.212,3.687,6.002,6.631,17.611,434.723,0.191
840,26936.225,5.194,2.404,2.882,3.139,3.549,5.926,6.516,17.803,235.485,0.193
880,26721.100,5.230,2.417,2.889,3.139,3.568,5.921,6.512,16.139,422.457,0.191
920,26951.525,5.193,2.407,2.867,3.124,3.503,5.888,6.468,18.437,441.803,0.193
960,27039.300,5.180,2.409,2.886,3.142,3.534,5.953,6.573,18.752,441.078,0.193
1000,26763.925,5.240,2.413,2.900,3.142,3.543,5.933,6.517,17.115,423.336,0.191
1040,26735.575,5.236,2.410,2.889,3.138,3.552,5.872,6.441,15.376,435.767,0.191
1080,26776.100,5.229,2.414,2.883,3.137,3.561,5.883,6.462,16.428,438.030,0.191
1120,26747.375,5.217,2.413,2.873,3.123,3.512,5.894,6.508,18.567,647.101,0.192
1160,26784.625,5.226,2.414,2.881,3.135,3.584,5.952,6.571,15.026,433.701,0.191
1200,26959.825,5.198,2.406,2.857,3.113,3.504,5.867,6.454,19.378,643.458,0.192
1240,26782.100,5.223,2.412,2.874,3.123,3.498,5.909,6.489,18.920,841.546,0.191
1280,26776.825,5.224,2.415,2.878,3.128,3.520,5.881,6.459,18.796,468.278,0.191
1320,26852.475,5.212,2.403,2.861,3.117,3.502,5.868,6.443,19.081,440.190,0.192
1360,26772.600,5.229,2.413,2.887,3.146,3.602,6.100,6.830,19.945,442.853,0.191
1400,26945.850,5.193,2.417,2.859,3.115,3.498,5.908,6.536,19.359,437.328,0.193
1440,26601.675,5.262,2.410,2.867,3.124,3.535,5.909,6.526,18.904,434.828,0.190
1480,26720.875,5.240,2.410,2.858,3.113,3.498,5.888,6.497,20.718,441.068,0.191
1520,26744.375,5.241,2.401,2.859,3.116,3.515,5.882,6.481,18.775,440.853,0.191
1560,26846.300,5.210,2.409,2.854,3.113,3.513,5.912,6.538,19.544,439.601,0.192
1600,26866.175,5.204,2.406,2.853,3.110,3.502,5.864,6.456,18.705,630.207,0.192
1640,26654.975,5.251,2.415,2.874,3.128,3.576,5.895,6.497,15.118,432.194,0.190
1680,27032.850,5.195,2.409,2.850,3.108,3.531,5.881,6.493,18.021,443.426,0.192
1720,26806.500,5.205,2.415,2.859,3.115,3.525,5.875,6.472,17.196,445.548,0.192
1760,26801.825,5.233,2.408,2.857,3.110,3.522,5.924,6.554,18.787,443.918,0.191
1800,642.225,4.917,2.426,2.826,3.051,3.439,5.801,6.372,20.901,421.108,0.203
