Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,31272,31272.000,2442,2992,3318,4472,3978,7020,7971,33852,53023
1,32847,32847.000,2417,2972,3284,4258,3844,6775,7604,21430,50530
2,34147,34147.000,2432,2956,3255,4125,3737,6479,7172,20467,46461
3,34323,34323.000,2432,2951,3245,4048,3717,6392,7074,12234,45496
4,34992,34992.000,2434,2947,3229,3997,3756,6340,7104,11303,44819
5,35216,35216.000,2428,2947,3238,3972,3765,6312,7007,10087,43779
6,35614,35614.000,2428,2946,3220,3928,3719,6216,6894,9340,45164
7,36520,36520.000,2431,2933,3183,3832,3675,6117,6726,8867,45218
8,36625,36625.000,2438,2930,3191,3819,3683,6104,6697,8819,41925
9,35815,35815.000,2431,2933,3188,3904,3658,6110,6880,12351,45805
10,37326,37326.000,2427,2926,3172,3748,3603,5880,6420,7980,44211
11,37180,37180.000,2424,2926,3171,3765,3611,5941,6448,8034,45505
12,37033,37033.000,2430,2925,3176,3777,3655,5962,6497,8319,41882
13,37127,37127.000,2425,2927,3172,3768,3609,5940,6512,8134,47670
14,36957,36957.000,2432,2934,3180,3788,3641,5988,6539,8211,43333
15,37822,37822.000,2436,2930,3177,3697,3608,5996,6523,7895,12969
16,34069,34069.000,2426,2937,3183,4108,3673,6015,6629,9165,81772
17,37935,37935.000,2433,2930,3174,3687,3637,5922,6448,7707,11875
18,36866,36866.000,2431,2932,3182,3795,3635,6004,6589,8423,43881
19,35880,35880.000,2425,2926,3170,3920,3651,5997,6591,8430,214992
20,36757,36757.000,2436,2919,3164,3831,3594,5983,6542,8505,216361
21,35056,35056.000,2427,2913,3161,3945,3650,6035,6649,10518,216608
22,35277,35277.000,2437,2879,3132,3983,3520,5977,6553,8417,415684
23,33260,33260.000,2427,2878,3126,4210,3523,6017,6689,15316,239950
24,34578,34578.000,2432,2922,3170,4131,3764,6059,6690,11356,220760
25,33209,33209.000,2427,2873,3129,4117,3503,6053,6723,12664,426413
26,32996,32996.000,2430,2876,3117,4230,3491,6015,6689,15025,235739
27,32860,32860.000,2427,2870,3120,4308,3488,5991,6670,13170,223955
28,32485,32485.000,2430,2892,3137,4264,3531,6007,6647,15946,233642
29,32962,32962.000,2429,2867,3117,4300,3516,5908,6538,12401,428147
30,31430,31430.000,2422,2857,3109,4390,3467,6003,6731,17475,439934
31,33456,33456.000,2428,2860,3110,4180,3483,5867,6439,14676,431504
32,32402,32402.000,2423,2857,3112,4362,3489,5922,6457,13645,431094
33,31529,31529.000,2412,2867,3119,4419,3496,5952,6621,18592,427065
34,32550,32550.000,2397,2853,3099,4359,3454,5848,6382,11209,434996
35,30987,30987.000,2430,2851,3099,4456,3459,6006,6726,17873,433319
36,31898,31898.000,2425,2858,3109,4385,3472,5991,6648,13289,440370
37,31615,31615.000,2426,2866,3111,4553,3462,5891,6452,14040,427700
38,30800,30800.000,2432,2863,3112,4383,3466,5917,6550,19276,423948
39,31052,31052.000,2421,2899,3119,4687,3493,5983,6652,11990,428265
40,29691,29691.000,2428,2885,3113,4536,3465,5889,6461,12284,423062
41,30820,30820.000,2419,2887,3119,4646,3495,5980,6638,24339,233388
42,30610,30610.000,2419,2874,3117,4481,3508,5912,6556,20626,429160
43,30243,30243.000,2430,2901,3130,4669,3494,5934,6522,11723,415546
44,30070,30070.000,2411,2890,3135,4774,3531,5997,6678,18932,226738
45,29246,29246.000,2428,2875,3120,4782,3466,5894,6482,12696,235116
46,29900,29900.000,2426,2891,3119,4613,3471,5962,6537,15872,630169
47,30162,30162.000,2422,2880,3114,4613,3463,5948,6598,20413,234299
48,29427,29427.000,2422,2921,3131,4765,3484,5983,6581,13904,233574
