Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,704.475,5.438,3.723,4.290,4.694,5.157,5.801,6.263,15.280,436.382,0.184
40,569.200,6.619,3.714,4.259,4.596,5.079,5.695,6.203,22.637,423.481,0.151
80,536.650,6.999,3.714,4.253,4.585,5.065,5.672,6.179,206.107,427.582,0.143
120,537.675,7.200,3.694,4.258,4.599,5.072,5.683,6.220,207.793,417.108,0.139
160,535.675,7.116,3.694,4.257,4.603,5.075,5.695,6.224,206.898,418.834,0.141
200,541.200,6.885,3.707,4.256,4.633,5.069,5.675,6.145,35.305,235.715,0.145
240,536.525,6.937,3.715,4.253,4.612,5.070,5.665,6.144,37.037,227.002,0.144
280,532.750,7.028,3.690,4.246,4.608,5.065,5.699,6.206,206.727,436.576,0.142
320,537.625,6.973,3.693,4.247,4.614,5.059,5.659,6.124,206.431,419.286,0.143
360,536.650,6.999,3.700,4.244,4.617,5.062,5.639,6.131,207.019,435.837,0.143
400,535.225,6.960,3.707,4.230,4.607,5.052,5.624,6.088,206.674,417.210,0.144
440,533.150,6.962,3.699,4.255,4.658,5.133,5.827,6.412,27.179,419.975,0.144
480,538.700,7.148,3.703,4.248,4.657,5.122,5.807,6.372,207.367,233.570,0.140
520,538.300,6.991,3.716,4.240,4.625,5.093,5.775,6.274,28.693,421.629,0.143
560,541.125,7.320,3.720,4.246,4.629,5.100,5.781,6.316,208.301,430.064,0.137
600,533.300,7.069,3.703,4.242,4.634,5.110,5.763,6.219,207.288,234.307,0.141
640,539.775,7.126,3.699,4.234,4.626,5.076,5.735,6.249,207.365,419.347,0.140
680,531.200,6.998,3.712,4.243,4.642,5.085,5.747,6.245,206.328,414.319,0.143
720,531.275,7.240,3.711,4.240,4.631,5.077,5.724,6.210,207.617,416.347,0.138
760,543.175,7.204,3.671,4.236,4.628,5.082,5.735,6.301,207.979,431.094,0.139
800,530.375,7.256,3.694,4.255,4.655,5.099,5.720,6.218,208.015,415.391,0.138
840,535.875,6.726,3.704,4.235,4.618,5.071,5.701,6.194,23.199,420.058,0.149
880,532.550,7.293,3.700,4.223,4.623,5.071,5.700,6.223,207.947,421.145,0.137
920,536.025,7.188,3.704,4.224,4.617,5.065,5.704,6.260,207.739,233.050,0.139
960,534.725,6.815,3.703,4.253,4.642,5.081,5.685,6.158,22.276,435.680,0.147
1000,534.300,6.986,3.703,4.250,4.641,5.081,5.711,6.235,206.671,421.775,0.143
1040,539.125,7.196,3.697,4.253,4.656,5.083,5.682,6.165,207.930,424.456,0.139
1080,544.850,7.320,3.698,4.247,4.656,5.078,5.685,6.164,207.844,415.335,0.137
1120,540.000,7.138,3.698,4.248,4.639,5.069,5.653,6.125,207.782,437.777,0.140
1160,533.100,6.977,3.705,4.260,4.647,5.067,5.651,6.132,206.459,422.886,0.143
1200,540.625,6.972,3.706,4.263,4.660,5.106,5.707,6.166,206.617,416.193,0.143
1240,535.700,6.988,3.712,4.267,4.663,5.100,5.704,6.179,34.916,417.352,0.143
1280,530.625,7.059,3.711,4.263,4.649,5.086,5.694,6.192,207.032,422.587,0.142
1320,536.975,7.083,3.697,4.256,4.657,5.074,5.655,6.125,206.959,432.989,0.141
1360,536.725,6.932,3.712,4.272,4.698,5.187,5.952,6.533,25.470,421.746,0.144
1400,539.175,7.025,3.716,4.267,4.668,5.150,5.809,6.317,207.451,223.292,0.142
1440,540.075,7.206,3.699,4.274,4.685,5.149,5.810,6.300,207.763,230.698,0.139
1480,533.925,7.344,3.711,4.276,4.688,5.172,5.847,6.377,208.443,221.748,0.136
1520,534.650,7.023,3.698,4.271,4.677,5.138,5.806,6.319,207.171,231.345,0.142
1560,537.350,6.988,3.719,4.264,4.666,5.118,5.753,6.237,206.826,220.726,0.143
1600,541.450,7.196,3.711,4.262,4.669,5.110,5.782,6.313,207.939,437.002,0.139
1640,536.100,7.252,3.693,4.261,4.664,5.108,5.759,6.239,207.532,435.303,0.138
1680,538.775,7.025,3.697,4.256,4.670,5.117,5.738,6.282,206.307,419.225,0.142
1720,537.700,7.138,3.711,4.259,4.658,5.086,5.740,6.233,207.024,424.257,0.140
1760,535.500,7.190,3.705,4.261,4.672,5.102,5.740,6.231,207.632,418.551,0.139
