Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,702.725,7.576,5.032,6.119,6.740,7.494,8.321,8.955,21.869,468.983,0.132
40,573.725,8.888,5.001,6.024,6.550,7.175,7.916,8.730,44.870,241.260,0.113
80,538.500,9.235,5.011,5.920,6.445,7.054,7.793,8.538,209.669,416.967,0.108
120,540.950,9.163,5.013,5.918,6.431,7.034,7.733,8.504,209.953,431.498,0.109
160,533.050,9.270,5.003,5.918,6.417,7.010,7.725,8.506,210.158,438.806,0.108
200,536.825,9.476,5.018,5.884,6.404,6.991,7.683,8.503,210.861,234.146,0.106
240,529.250,9.247,5.035,5.892,6.412,6.999,7.710,8.473,210.392,226.273,0.108
280,537.725,9.318,5.014,5.860,6.397,6.983,7.673,8.507,210.414,430.978,0.107
320,531.575,9.092,5.028,5.844,6.386,6.956,7.591,8.200,209.612,445.394,0.110
360,534.850,9.316,5.005,5.851,6.381,6.973,7.665,8.276,210.557,434.086,0.107
400,526.850,9.262,5.001,5.829,6.359,6.941,7.632,8.332,210.605,440.387,0.108
440,530.750,9.253,5.008,6.030,6.631,7.365,8.301,9.155,209.746,424.502,0.108
480,535.225,9.653,5.008,6.097,6.736,7.448,8.281,9.117,211.063,424.338,0.104
520,539.400,9.324,5.045,6.030,6.601,7.279,8.073,8.840,210.351,423.397,0.107
560,535.925,9.358,5.015,5.997,6.527,7.158,7.891,8.610,210.498,441.197,0.107
600,540.450,9.277,5.011,5.928,6.455,7.075,7.815,8.496,210.251,433.014,0.108
640,534.325,8.928,5.029,5.893,6.413,7.031,7.727,8.484,209.038,423.508,0.112
680,531.675,9.523,5.030,5.878,6.422,7.044,7.755,8.415,211.271,464.178,0.105
720,528.350,9.439,5.012,5.879,6.415,7.009,7.691,8.351,211.214,421.127,0.106
760,537.000,9.139,5.011,5.864,6.392,6.998,7.706,8.397,210.530,437.746,0.109
800,531.250,9.152,5.001,5.902,6.434,7.035,7.748,8.390,210.258,418.669,0.109
840,543.350,9.110,4.980,5.843,6.386,6.972,7.654,8.280,210.474,441.312,0.110
880,535.125,9.385,5.025,5.844,6.383,6.955,7.634,8.460,211.267,447.824,0.107
920,526.975,9.158,5.014,5.826,6.361,6.941,7.608,8.379,210.628,427.473,0.109
960,528.575,9.041,5.025,5.866,6.399,6.984,7.677,8.322,209.835,432.369,0.111
1000,543.875,9.190,5.035,5.872,6.397,6.984,7.652,8.261,210.440,421.390,0.109
1040,536.550,9.546,5.011,5.870,6.381,6.968,7.624,8.252,210.869,426.814,0.105
1080,527.475,9.422,5.013,5.862,6.378,6.982,7.646,8.291,210.514,439.513,0.106
1120,529.575,9.250,5.033,5.869,6.395,6.972,7.614,8.138,210.836,419.577,0.108
1160,542.850,8.978,5.001,5.865,6.376,6.952,7.610,8.198,209.830,465.369,0.111
1200,534.700,9.379,5.017,5.908,6.423,7.028,7.698,8.353,210.429,421.058,0.107
1240,535.725,9.543,5.031,5.920,6.428,7.010,7.671,8.355,211.102,422.821,0.105
1280,536.875,8.921,5.033,5.883,6.403,6.990,7.636,8.178,208.974,418.702,0.112
1320,537.175,9.167,5.011,5.865,6.385,6.959,7.603,8.171,209.871,439.215,0.109
1360,537.500,9.626,5.017,6.211,6.901,7.676,8.512,9.482,209.879,423.282,0.104
1400,530.225,9.749,5.012,6.094,6.720,7.453,8.287,9.066,211.586,231.563,0.103
1440,531.425,9.389,5.017,6.041,6.616,7.298,8.074,8.831,210.578,223.180,0.107
1480,530.250,9.417,5.047,6.024,6.560,7.250,8.033,8.665,211.145,466.271,0.106
1520,538.375,9.378,5.021,6.001,6.509,7.147,7.898,8.689,210.426,423.745,0.107
1560,539.000,9.146,5.024,5.935,6.464,7.090,7.827,8.507,209.726,439.933,0.109
1600,539.525,9.192,5.008,5.922,6.444,7.048,7.748,8.416,210.640,437.778,0.109
1640,533.550,9.413,5.024,5.920,6.430,7.030,7.728,8.467,210.368,433.892,0.106
1680,532.650,9.244,4.995,5.886,6.410,7.007,7.685,8.341,210.219,423.705,0.108
1720,537.075,9.399,5.016,5.909,6.425,7.009,7.674,8.308,210.534,432.749,0.106
1760,542.850,8.961,5.003,5.892,6.415,7.007,7.668,8.305,209.466,430.075,0.112
