Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,702.025,5.800,3.757,4.693,5.103,5.559,6.070,6.603,19.595,231.558,0.172
40,567.350,6.875,3.747,4.543,4.941,5.358,5.832,6.299,24.634,253.919,0.145
80,545.150,7.348,3.755,4.498,4.869,5.311,5.793,6.320,207.423,415.014,0.136
120,535.150,7.499,3.747,4.477,4.849,5.287,5.769,6.258,208.358,431.142,0.133
160,541.575,7.237,3.763,4.460,4.838,5.295,5.827,6.349,37.423,421.330,0.138
200,539.825,7.112,3.748,4.420,4.825,5.276,5.780,6.235,42.153,242.866,0.141
240,537.100,6.924,3.744,4.415,4.834,5.283,5.796,6.232,24.804,220.135,0.144
280,536.425,7.330,3.735,4.393,4.808,5.264,5.798,6.362,207.392,419.117,0.136
320,542.900,7.212,3.752,4.391,4.808,5.254,5.754,6.165,207.083,420.559,0.139
360,539.550,7.308,3.737,4.377,4.800,5.257,5.785,6.244,208.101,417.733,0.137
400,533.400,7.510,3.744,4.374,4.797,5.247,5.770,6.233,208.416,421.913,0.133
440,537.650,7.845,3.747,4.605,5.052,5.537,6.067,6.727,208.686,421.739,0.127
480,543.825,7.740,3.765,4.693,5.059,5.488,5.953,6.603,208.454,415.703,0.129
520,529.700,7.475,3.739,4.577,4.985,5.395,5.862,6.386,207.576,423.557,0.134
560,540.325,7.459,3.766,4.532,4.931,5.356,5.831,6.278,207.945,422.406,0.134
600,539.475,7.532,3.755,4.512,4.899,5.340,5.830,6.280,208.010,421.863,0.133
640,534.400,7.659,3.743,4.459,4.844,5.302,5.816,6.331,208.630,419.726,0.131
680,539.150,7.670,3.746,4.447,4.848,5.317,5.831,6.296,208.315,227.308,0.130
720,532.300,7.046,3.746,4.419,4.828,5.284,5.776,6.194,27.876,420.116,0.142
760,537.950,7.051,3.735,4.395,4.813,5.279,5.825,6.280,24.318,420.174,0.142
800,528.350,7.389,3.729,4.419,4.830,5.284,5.815,6.244,207.790,414.478,0.135
840,535.925,7.240,3.751,4.375,4.796,5.244,5.760,6.215,207.611,422.486,0.138
880,537.350,7.108,3.732,4.362,4.795,5.264,5.811,6.302,35.466,231.412,0.141
920,535.800,7.253,3.745,4.354,4.788,5.258,5.787,6.292,207.498,422.298,0.138
960,527.700,7.411,3.735,4.385,4.808,5.267,5.786,6.235,207.929,416.711,0.135
1000,535.925,7.308,3.748,4.395,4.809,5.268,5.788,6.218,207.532,231.584,0.137
1040,534.375,7.373,3.747,4.395,4.807,5.276,5.804,6.268,207.865,413.185,0.136
1080,538.050,7.298,3.750,4.379,4.800,5.265,5.792,6.231,207.569,415.832,0.137
1120,532.300,7.310,3.737,4.398,4.807,5.254,5.762,6.154,207.733,419.551,0.137
1160,536.450,7.294,3.731,4.387,4.804,5.257,5.772,6.215,207.292,421.969,0.137
1200,530.650,7.520,3.752,4.428,4.838,5.310,5.839,6.282,208.464,421.235,0.133
1240,540.975,7.282,3.740,4.406,4.825,5.294,5.838,6.287,207.426,427.462,0.137
1280,533.600,7.091,3.739,4.397,4.809,5.280,5.816,6.226,26.109,420.785,0.141
1320,538.625,7.179,3.744,4.389,4.798,5.258,5.776,6.185,206.999,420.479,0.139
1360,533.375,7.677,3.786,4.835,5.239,5.672,6.164,6.903,207.232,418.889,0.130
1400,536.775,7.682,3.773,4.672,5.063,5.497,5.955,6.451,208.902,217.465,0.130
1440,536.475,7.342,3.747,4.588,5.000,5.426,5.893,6.386,207.624,220.734,0.136
1480,529.975,7.439,3.753,4.562,4.980,5.428,5.923,6.384,208.579,223.978,0.134
1520,537.250,7.223,3.755,4.524,4.913,5.368,5.876,6.369,207.115,228.428,0.138
1560,537.650,7.480,3.745,4.491,4.880,5.335,5.830,6.300,207.866,418.681,0.134
1600,533.250,7.075,3.741,4.469,4.863,5.328,5.832,6.256,27.761,421.837,0.141
1640,535.425,7.192,3.724,4.422,4.841,5.297,5.809,6.252,207.030,424.056,0.139
1680,532.500,7.221,3.740,4.415,4.826,5.293,5.823,6.279,207.072,421.159,0.138
1720,531.500,7.352,3.735,4.418,4.830,5.303,5.838,6.286,207.623,420.753,0.136
1760,539.575,7.398,3.750,4.409,4.818,5.283,5.800,6.236,208.108,418.070,0.135
