Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,35199.975,3.981,2.424,2.830,3.101,3.545,5.528,6.106,9.833,468.983,0.251
40,28582.925,4.896,2.426,2.812,3.045,3.469,5.435,6.027,17.863,426.893,0.204
80,27211.375,5.144,2.424,2.806,3.030,3.462,5.407,6.008,19.787,443.932,0.194
120,26818.200,5.211,2.422,2.811,3.043,3.468,5.416,6.010,20.220,436.560,0.192
160,26862.150,5.211,2.421,2.812,3.059,3.466,5.427,6.014,22.300,821.921,0.192
200,26929.625,5.204,2.420,2.808,3.066,3.469,5.425,6.001,21.098,455.182,0.192
240,26830.250,5.213,2.422,2.809,3.062,3.477,5.416,5.995,19.126,450.904,0.192
280,26930.100,5.202,2.423,2.805,3.061,3.477,5.430,6.024,20.283,446.277,0.192
320,26864.450,5.202,2.425,2.805,3.066,3.474,5.400,5.956,19.198,445.394,0.192
360,26803.725,5.222,2.422,2.802,3.060,3.488,5.399,5.969,16.951,438.297,0.191
400,26831.525,5.224,2.424,2.794,3.049,3.464,5.393,5.961,20.559,440.387,0.191
440,26722.575,5.246,2.424,2.806,3.080,3.538,5.573,6.214,19.141,435.181,0.191
480,26927.475,5.183,2.423,2.802,3.067,3.478,5.511,6.123,19.547,440.370,0.193
520,26743.200,5.234,2.422,2.803,3.062,3.482,5.457,6.042,19.542,478.423,0.191
560,26923.425,5.199,2.422,2.800,3.054,3.467,5.459,6.060,19.494,441.197,0.192
600,26687.950,5.245,2.423,2.801,3.067,3.490,5.434,6.016,19.345,448.607,0.191
640,26834.975,5.220,2.423,2.795,3.053,3.457,5.437,6.031,20.360,437.758,0.192
680,26761.775,5.241,2.419,2.800,3.069,3.469,5.441,6.008,19.742,464.178,0.191
720,26698.400,5.233,2.417,2.798,3.074,3.482,5.412,5.967,20.039,436.736,0.191
760,26807.525,5.228,2.424,2.797,3.070,3.486,5.441,6.026,19.550,440.853,0.191
800,26671.350,5.237,2.426,2.809,3.083,3.508,5.434,6.001,16.706,436.641,0.191
840,26889.700,5.207,2.415,2.798,3.064,3.482,5.414,5.985,18.773,473.601,0.192
880,26916.925,5.213,2.421,2.786,3.055,3.464,5.417,6.003,20.886,641.203,0.192
920,26754.700,5.219,2.424,2.781,3.050,3.464,5.418,6.001,20.823,450.393,0.192
960,26716.375,5.235,2.421,2.806,3.080,3.486,5.429,5.987,18.517,464.757,0.191
1000,26862.950,5.211,2.424,2.811,3.087,3.492,5.432,5.987,18.235,439.908,0.192
1040,26825.000,5.218,2.426,2.809,3.083,3.493,5.421,5.980,19.934,441.667,0.192
1080,26780.575,5.237,2.422,2.805,3.079,3.478,5.419,5.974,18.347,439.513,0.191
1120,26777.975,5.218,2.423,2.809,3.081,3.473,5.407,5.951,18.801,444.322,0.192
1160,26867.850,5.216,2.421,2.810,3.083,3.487,5.416,5.972,19.481,465.369,0.192
1200,26755.825,5.233,2.421,2.821,3.093,3.506,5.473,6.036,19.119,437.163,0.191
1240,26760.850,5.221,2.419,2.819,3.089,3.478,5.464,6.033,20.845,439.117,0.192
1280,26801.975,5.223,2.420,2.813,3.083,3.476,5.458,6.019,20.170,437.220,0.191
1320,26845.500,5.213,2.421,2.810,3.081,3.471,5.417,5.976,20.412,446.189,0.192
1360,26729.100,5.238,2.419,2.816,3.092,3.495,5.704,6.381,20.464,451.771,0.191
1400,26697.775,5.243,2.422,2.819,3.094,3.528,5.510,6.098,15.252,439.886,0.191
1440,26766.050,5.231,2.423,2.818,3.091,3.516,5.478,6.054,16.242,431.771,0.191
1480,26814.400,5.220,2.419,2.820,3.097,3.527,5.511,6.087,17.043,466.271,0.192
1520,26767.925,5.226,2.416,2.818,3.094,3.502,5.499,6.075,16.047,437.252,0.191
1560,26830.425,5.217,2.413,2.813,3.087,3.503,5.454,6.033,16.694,439.933,0.192
1600,26809.425,5.222,2.426,2.812,3.087,3.486,5.460,6.029,18.966,438.674,0.192
1640,26819.300,5.225,2.419,2.808,3.082,3.476,5.449,6.021,19.244,442.852,0.191
1680,26781.250,5.219,2.420,2.808,3.083,3.482,5.464,6.037,20.627,638.028,0.192
1720,26935.175,5.197,2.413,2.811,3.084,3.479,5.447,6.010,20.759,437.238,0.192
1760,26826.400,5.208,2.423,2.809,3.085,3.476,5.443,6.009,20.096,434.910,0.192
