Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,712.150,5.364,3.716,4.418,4.743,5.219,5.903,6.369,12.125,232.450,0.186
40,575.550,6.685,3.704,4.346,4.695,5.148,5.785,6.267,23.454,435.760,0.150
80,557.250,6.815,3.704,4.369,4.687,5.146,5.739,6.243,25.428,419.656,0.147
120,545.275,6.811,3.705,4.355,4.691,5.140,5.725,6.180,25.729,433.966,0.147
160,537.175,7.026,3.706,4.409,4.707,5.163,5.808,6.317,37.824,420.641,0.142
200,550.575,7.220,3.698,4.433,4.713,5.168,5.796,6.337,207.283,417.445,0.139
240,538.350,7.053,3.712,4.410,4.700,5.155,5.748,6.237,36.781,417.717,0.142
280,545.725,7.032,3.700,4.427,4.698,5.161,5.755,6.247,36.545,442.466,0.142
320,542.725,6.976,3.703,4.418,4.696,5.151,5.719,6.175,27.577,239.869,0.143
360,542.600,7.302,3.704,4.427,4.717,5.177,5.796,6.302,208.183,231.607,0.137
400,547.125,7.021,3.707,4.425,4.704,5.162,5.741,6.188,206.830,434.910,0.142
440,537.400,6.903,3.704,4.404,4.695,5.149,5.696,6.130,26.946,415.316,0.145
480,545.850,7.001,3.714,4.417,4.709,5.168,5.758,6.243,25.705,414.904,0.143
520,541.500,7.014,3.715,4.441,4.738,5.224,5.987,6.547,25.080,416.258,0.143
560,547.800,6.708,3.708,4.422,4.716,5.186,5.847,6.275,21.051,414.950,0.149
600,543.400,7.093,3.718,4.399,4.705,5.186,5.848,6.335,206.631,416.702,0.141
640,544.025,6.953,3.716,4.425,4.731,5.201,5.865,6.312,23.155,421.022,0.144
680,534.750,7.152,3.725,4.358,4.708,5.195,5.851,6.330,207.379,420.949,0.140
720,539.850,6.989,3.709,4.403,4.715,5.181,5.816,6.279,25.866,224.926,0.143
760,544.250,6.883,3.698,4.412,4.714,5.183,5.828,6.300,23.433,415.837,0.145
800,541.575,6.918,3.713,4.420,4.715,5.185,5.825,6.267,22.376,425.329,0.145
840,539.400,6.781,3.702,4.434,4.716,5.179,5.784,6.243,23.596,420.116,0.147
880,541.700,6.961,3.713,4.410,4.706,5.174,5.793,6.261,25.023,421.836,0.144
920,546.250,7.324,3.698,4.429,4.709,5.170,5.825,6.310,207.489,423.477,0.137
960,537.925,7.264,3.727,4.413,4.716,5.183,5.797,6.325,207.786,424.191,0.138
1000,537.150,6.768,3.707,4.433,4.716,5.187,5.798,6.280,23.536,440.402,0.148
1040,539.950,7.215,3.726,4.430,4.715,5.171,5.780,6.271,207.535,421.998,0.139
1080,535.275,6.978,3.725,4.419,4.707,5.179,5.778,6.283,30.168,415.605,0.143
1120,547.675,6.908,3.699,4.427,4.712,5.174,5.745,6.211,24.175,423.703,0.145
1160,540.875,6.984,3.707,4.405,4.705,5.170,5.753,6.211,28.756,416.610,0.143
1200,541.500,6.864,3.718,4.365,4.697,5.167,5.755,6.193,22.256,416.824,0.146
1240,541.625,7.055,3.711,4.418,4.712,5.175,5.777,6.239,29.657,418.591,0.142
1280,539.175,7.000,3.722,4.409,4.709,5.167,5.722,6.179,24.379,432.320,0.143
1320,542.175,6.862,3.708,4.431,4.703,5.163,5.741,6.191,23.268,424.709,0.146
1360,539.450,6.692,3.708,4.433,4.710,5.173,5.739,6.189,21.660,224.751,0.149
1400,545.325,6.853,3.710,4.443,4.726,5.207,5.905,6.426,21.951,430.195,0.146
1440,538.175,6.996,3.715,4.434,4.727,5.203,5.901,6.356,24.205,417.552,0.143
1480,545.975,6.979,3.713,4.416,4.713,5.191,5.859,6.349,24.603,434.553,0.143
1520,538.825,7.179,3.696,4.420,4.715,5.176,5.825,6.327,207.205,441.270,0.139
1560,543.050,6.867,3.710,4.409,4.719,5.185,5.828,6.280,22.971,419.876,0.146
1600,545.575,6.957,3.711,4.385,4.713,5.167,5.782,6.205,26.138,422.460,0.144
1640,544.950,7.205,3.696,4.411,4.718,5.177,5.836,6.320,207.703,225.416,0.139
1680,536.850,7.252,3.702,4.429,4.724,5.190,5.877,6.428,207.508,421.277,0.138
1720,548.350,7.291,3.717,4.434,4.718,5.183,5.827,6.313,207.512,421.225,0.137
1760,542.950,7.196,3.693,4.439,4.711,5.180,5.766,6.247,207.334,415.146,0.139
1800,14.425,5.994,3.750,4.415,4.671,5.102,5.569,5.960,17.077,210.268,0.167
