Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12412.650,3.278,2.419,2.824,2.997,3.271,3.434,3.616,5.148,429.934,0.305
40,10162.650,4.164,2.409,2.816,2.981,3.224,3.398,3.509,13.461,426.332,0.240
80,9683.325,4.356,2.415,2.812,2.978,3.210,3.396,3.481,14.764,437.291,0.230
120,9475.600,4.441,2.424,2.812,2.979,3.209,3.397,3.478,16.365,432.957,0.225
160,9467.200,4.450,2.423,2.823,2.991,3.256,3.413,3.515,17.579,837.644,0.225
200,9484.125,4.429,2.419,2.820,2.989,3.257,3.412,3.510,14.627,423.649,0.226
240,9488.600,4.482,2.424,2.822,2.987,3.251,3.409,3.501,16.453,423.455,0.223
280,9521.750,4.442,2.418,2.821,2.988,3.254,3.410,3.507,15.111,435.410,0.225
320,9470.950,4.448,2.426,2.820,2.985,3.250,3.409,3.492,15.941,428.093,0.225
360,9514.750,4.439,2.424,2.825,2.993,3.260,3.418,3.547,14.723,418.711,0.225
400,9475.775,4.456,2.422,2.826,2.993,3.262,3.419,3.548,13.482,432.225,0.224
440,9497.750,4.473,2.421,2.817,2.987,3.258,3.412,3.507,15.908,433.193,0.224
480,9529.500,4.438,2.418,2.818,2.991,3.266,3.419,3.536,15.302,435.300,0.225
520,9482.525,4.384,2.417,2.826,2.997,3.272,3.427,3.614,15.745,442.394,0.228
560,9453.800,4.476,2.421,2.817,2.989,3.267,3.421,3.545,16.763,420.081,0.223
600,9502.375,4.467,2.417,2.813,2.986,3.266,3.419,3.513,16.859,443.065,0.224
640,9476.300,4.400,2.417,2.822,2.996,3.275,3.432,3.590,15.190,422.209,0.227
680,9453.700,4.437,2.429,2.818,2.991,3.270,3.428,3.555,13.090,424.605,0.225
720,9434.125,4.479,2.427,2.822,2.995,3.269,3.428,3.564,12.900,431.489,0.223
760,9502.425,4.484,2.418,2.820,2.989,3.265,3.420,3.523,16.025,439.212,0.223
800,9472.525,4.478,2.409,2.826,2.993,3.269,3.425,3.559,14.032,428.861,0.223
840,9559.325,4.417,2.420,2.825,2.991,3.267,3.416,3.497,15.965,430.051,0.226
880,9502.025,4.460,2.425,2.823,2.991,3.267,3.421,3.550,13.826,436.942,0.224
920,9523.875,4.421,2.421,2.824,2.987,3.263,3.413,3.513,16.576,645.585,0.226
960,9428.175,4.435,2.422,2.825,2.995,3.271,3.428,3.591,13.239,432.636,0.226
1000,9457.525,4.446,2.424,2.824,2.993,3.270,3.423,3.528,15.484,439.278,0.225
1040,9473.650,4.443,2.413,2.827,2.990,3.265,3.418,3.511,17.045,432.078,0.225
1080,9418.075,4.482,2.420,2.819,2.988,3.266,3.418,3.508,16.557,438.880,0.223
1120,9475.350,4.435,2.421,2.825,2.990,3.265,3.420,3.524,14.022,436.620,0.225
1160,9387.650,4.488,2.424,2.820,2.989,3.268,3.423,3.558,12.918,434.737,0.223
1200,9514.225,4.474,2.420,2.816,2.989,3.270,3.426,3.552,13.579,433.129,0.223
1240,9454.150,4.444,2.426,2.821,2.991,3.271,3.421,3.508,15.708,422.699,0.225
1280,9435.225,4.498,2.423,2.814,2.985,3.265,3.419,3.515,17.066,435.867,0.222
1320,9482.200,4.451,2.423,2.823,2.990,3.265,3.418,3.522,16.816,437.292,0.225
1360,9432.825,4.501,2.421,2.824,2.993,3.266,3.420,3.522,16.026,439.548,0.222
1400,9467.825,4.462,2.413,2.825,2.995,3.272,3.427,3.586,15.778,436.902,0.224
1440,9418.075,4.437,2.421,2.827,2.993,3.268,3.423,3.550,15.657,418.274,0.225
1480,9441.925,4.449,2.417,2.822,2.994,3.268,3.425,3.571,12.493,434.922,0.225
1520,9458.025,4.481,2.411,2.821,2.991,3.265,3.421,3.560,14.066,417.766,0.223
1560,9539.750,4.475,2.428,2.822,2.991,3.264,3.421,3.561,15.559,433.265,0.223
1600,9479.500,4.458,2.416,2.820,2.989,3.261,3.411,3.532,14.900,422.319,0.224
1640,9580.250,4.419,2.420,2.822,2.987,3.260,3.410,3.542,14.918,228.734,0.226
1680,9392.800,4.484,2.420,2.827,2.998,3.267,3.421,3.565,13.973,420.385,0.223
1720,9510.150,4.459,2.421,2.826,2.990,3.268,3.421,3.545,14.971,424.056,0.224
1760,9461.575,4.461,2.417,2.832,2.991,3.264,3.418,3.522,16.393,416.864,0.224
1800,256.725,3.920,2.436,2.832,2.984,3.250,3.409,3.474,15.830,212.637,0.255
