Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12377.350,3.334,2.433,2.847,3.030,3.297,3.472,3.686,5.250,221.796,0.300
40,10149.950,4.156,2.438,2.831,2.997,3.241,3.414,3.524,13.130,435.151,0.241
80,9656.125,4.406,2.441,2.827,2.994,3.230,3.411,3.498,15.115,421.682,0.227
120,9460.025,4.533,2.432,2.827,2.995,3.228,3.414,3.499,16.741,421.707,0.221
160,9462.550,4.537,2.423,2.838,3.008,3.271,3.430,3.532,17.931,431.774,0.220
200,9478.450,4.511,2.431,2.836,3.005,3.272,3.428,3.529,15.123,443.069,0.222
240,9433.300,4.510,2.428,2.837,3.002,3.267,3.426,3.519,16.449,417.724,0.222
280,9503.950,4.497,2.441,2.837,3.005,3.270,3.427,3.530,15.448,429.223,0.222
320,9458.675,4.504,2.433,2.836,3.002,3.267,3.424,3.512,16.283,435.419,0.222
360,9486.500,4.497,2.432,2.840,3.008,3.274,3.433,3.562,15.112,431.947,0.222
400,9447.975,4.536,2.431,2.842,3.009,3.278,3.436,3.566,13.766,434.770,0.220
440,9495.850,4.506,2.439,2.833,3.003,3.273,3.428,3.527,16.242,434.219,0.222
480,9531.125,4.483,2.438,2.835,3.009,3.282,3.436,3.554,15.272,433.419,0.223
520,9490.700,4.440,2.436,2.848,3.023,3.294,3.453,3.679,16.160,417.920,0.225
560,9463.325,4.510,2.432,2.833,3.006,3.283,3.438,3.572,17.039,432.833,0.222
600,9499.525,4.453,2.435,2.830,3.002,3.280,3.435,3.531,16.351,416.970,0.225
640,9485.050,4.538,2.431,2.839,3.013,3.291,3.450,3.613,16.290,456.727,0.220
680,9444.075,4.552,2.436,2.833,3.007,3.286,3.444,3.577,14.179,429.345,0.220
720,9460.700,4.547,2.438,2.838,3.011,3.285,3.444,3.583,13.251,417.670,0.220
760,9493.600,4.483,2.441,2.835,3.005,3.281,3.436,3.543,15.799,839.746,0.223
800,9441.225,4.571,2.441,2.843,3.009,3.284,3.441,3.577,14.327,424.524,0.219
840,9509.100,4.499,2.435,2.840,3.007,3.282,3.432,3.515,16.834,420.851,0.222
880,9471.575,4.539,2.427,2.839,3.007,3.282,3.438,3.566,14.121,421.769,0.220
920,9547.275,4.489,2.429,2.841,3.004,3.278,3.428,3.531,17.119,423.513,0.223
960,9429.100,4.535,2.439,2.841,3.011,3.287,3.445,3.609,13.449,420.989,0.220
1000,9470.525,4.573,2.437,2.840,3.009,3.286,3.440,3.553,16.615,439.955,0.219
1040,9470.550,4.507,2.438,2.843,3.006,3.279,3.433,3.524,17.033,422.398,0.222
1080,9456.125,4.517,2.435,2.835,3.005,3.282,3.435,3.523,16.393,420.158,0.221
1120,9506.700,4.528,2.442,2.840,3.007,3.282,3.438,3.546,14.977,432.243,0.221
1160,9427.500,4.587,2.439,2.834,3.005,3.283,3.440,3.577,13.717,418.897,0.218
1200,9487.000,4.508,2.443,2.833,3.006,3.285,3.443,3.573,13.751,424.460,0.222
1240,9475.350,4.561,2.436,2.837,3.008,3.286,3.438,3.530,16.324,434.632,0.219
1280,9414.825,4.504,2.438,2.830,3.001,3.280,3.435,3.532,16.940,433.002,0.222
1320,9474.250,4.554,2.438,2.840,3.007,3.281,3.435,3.541,17.534,434.484,0.220
1360,9441.975,4.525,2.439,2.840,3.010,3.282,3.436,3.544,16.134,417.947,0.221
1400,9445.800,4.489,2.437,2.848,3.021,3.294,3.451,3.642,15.559,435.791,0.223
1440,9432.050,4.505,2.438,2.843,3.010,3.283,3.441,3.574,16.148,434.141,0.222
1480,9460.450,4.531,2.432,2.838,3.010,3.284,3.442,3.595,13.112,434.982,0.221
1520,9482.500,4.466,2.431,2.837,3.008,3.281,3.438,3.578,13.886,434.555,0.224
1560,9521.575,4.492,2.435,2.838,3.009,3.279,3.437,3.575,15.569,432.490,0.223
1600,9475.400,4.527,2.430,2.836,3.005,3.276,3.428,3.554,15.713,435.705,0.221
1640,9580.600,4.451,2.430,2.838,3.004,3.276,3.426,3.562,15.027,429.141,0.225
1680,9398.500,4.531,2.435,2.844,3.018,3.284,3.439,3.589,14.090,418.678,0.221
1720,9465.525,4.515,2.436,2.844,3.008,3.284,3.439,3.570,14.947,426.323,0.221
1760,9441.525,4.542,2.433,2.849,3.009,3.280,3.436,3.544,17.266,433.779,0.220
1800,258.325,4.131,2.446,2.849,3.002,3.273,3.430,3.513,16.457,215.948,0.242
