Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4975.075,6.552,4.204,5.216,5.579,6.026,6.684,7.693,34.058,233.216,0.153
40,4068.525,7.518,4.192,5.093,5.414,5.780,6.200,7.132,35.100,644.722,0.133
80,3875.925,7.844,4.180,5.084,5.401,5.756,6.150,6.968,48.550,429.686,0.127
120,3778.975,8.025,4.190,5.077,5.397,5.757,6.150,6.914,208.147,447.873,0.125
160,3792.000,7.942,4.184,5.120,5.448,5.814,6.224,6.972,207.951,423.134,0.126
200,3794.750,8.016,4.195,5.088,5.412,5.772,6.168,7.025,208.238,425.984,0.125
240,3797.825,7.905,4.195,5.087,5.402,5.762,6.150,6.824,208.089,424.758,0.126
280,3810.400,7.890,4.202,5.083,5.404,5.767,6.158,6.869,207.898,433.379,0.127
320,3803.075,7.983,4.188,5.080,5.392,5.751,6.125,6.704,208.630,440.879,0.125
360,3817.625,7.961,4.168,5.118,5.438,5.808,6.215,6.948,208.328,425.594,0.126
400,3777.150,7.880,4.217,5.112,5.434,5.801,6.194,6.769,208.374,433.879,0.127
440,3786.425,7.943,4.184,5.071,5.389,5.754,6.120,6.632,208.406,432.336,0.126
480,3801.050,7.977,4.227,5.112,5.439,5.818,6.223,6.976,208.390,440.460,0.125
520,3802.500,8.108,4.235,5.250,5.606,6.021,6.536,7.429,208.451,429.951,0.123
560,3776.175,7.990,4.227,5.108,5.439,5.815,6.208,6.839,208.371,440.192,0.125
600,3813.050,7.930,4.219,5.119,5.452,5.827,6.220,6.825,208.205,439.396,0.126
640,3806.025,8.014,4.217,5.115,5.452,5.832,6.237,6.879,208.566,425.227,0.125
680,3774.300,7.939,4.239,5.125,5.465,5.844,6.241,6.804,208.298,436.952,0.126
720,3780.475,7.938,4.201,5.113,5.444,5.823,6.226,6.814,208.492,439.568,0.126
760,3804.000,7.898,4.207,5.112,5.443,5.818,6.209,6.830,208.003,437.009,0.127
800,3772.825,7.931,4.208,5.121,5.448,5.819,6.202,6.703,208.290,429.644,0.126
840,3827.175,7.883,4.206,5.102,5.426,5.794,6.167,6.760,207.776,445.931,0.127
880,3815.350,7.881,4.221,5.109,5.433,5.806,6.191,6.778,208.505,440.211,0.127
920,3819.925,7.845,4.207,5.102,5.426,5.790,6.170,6.815,207.807,436.864,0.127
960,3765.075,8.054,4.211,5.101,5.430,5.807,6.215,6.948,208.913,439.543,0.124
1000,3798.650,7.925,4.183,5.106,5.432,5.805,6.196,6.857,208.280,441.743,0.126
1040,3785.700,7.990,4.197,5.093,5.414,5.783,6.166,6.764,208.412,439.664,0.125
1080,3781.100,7.947,4.218,5.109,5.435,5.809,6.197,6.856,208.060,446.323,0.126
1120,3812.250,7.900,4.206,5.092,5.414,5.785,6.169,6.689,208.754,433.119,0.127
1160,3762.450,7.858,4.203,5.081,5.411,5.783,6.171,6.705,208.215,435.797,0.127
1200,3801.300,7.918,4.196,5.113,5.451,5.828,6.212,6.728,208.327,430.409,0.126
1240,3776.525,7.960,4.214,5.090,5.421,5.799,6.184,6.911,208.005,441.560,0.126
1280,3764.100,7.970,4.183,5.064,5.391,5.766,6.142,6.741,208.607,437.774,0.125
1320,3781.750,7.928,4.209,5.088,5.408,5.777,6.158,6.812,208.378,436.798,0.126
1360,3780.250,7.993,4.211,5.102,5.432,5.805,6.200,6.832,208.451,438.670,0.125
1400,3780.500,7.973,4.213,5.202,5.562,5.978,6.481,7.194,207.865,421.509,0.125
1440,3781.425,8.022,4.187,5.168,5.504,5.882,6.300,6.918,208.491,438.640,0.125
1480,3769.275,8.016,4.208,5.137,5.469,5.840,6.247,6.841,208.415,437.597,0.125
1520,3786.925,7.910,4.210,5.098,5.425,5.790,6.180,6.770,208.463,441.528,0.126
1560,3804.550,7.847,4.188,5.093,5.420,5.791,6.193,6.807,207.867,442.924,0.127
1600,3780.100,7.879,4.206,5.099,5.420,5.780,6.163,6.753,208.387,425.184,0.127
1640,3828.125,7.852,4.168,5.091,5.417,5.775,6.167,6.849,208.222,238.051,0.127
1680,3759.100,8.096,4.193,5.138,5.471,5.852,6.316,7.217,208.840,422.873,0.124
1720,3802.150,7.878,4.206,5.102,5.427,5.796,6.182,6.788,208.034,655.353,0.127
1760,3780.300,7.950,4.213,5.091,5.408,5.767,6.134,6.632,208.165,438.786,0.126
1800,102.275,7.091,4.255,5.059,5.373,5.731,6.062,6.513,20.794,214.524,0.141
