Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,31414,31414.000,2436,3006,3320,4453,4142,6852,7695,32405,45441
1,32060,32060.000,2444,2983,3290,4362,4048,6503,7289,32273,57238
2,34824,34824.000,2447,2960,3232,4017,3794,6159,6781,11431,43347
3,35424,35424.000,2434,2949,3203,3959,3741,6009,6600,10469,41416
4,34973,34973.000,2434,2942,3172,3987,3674,5958,6647,17059,50823
5,36731,36731.000,2444,2938,3161,3808,3587,5777,6285,8277,44944
6,37237,37237.000,2447,2939,3162,3756,3641,5822,6381,8165,43917
7,36870,36870.000,2442,2924,3146,3801,3569,5757,6281,8622,42511
8,37814,37814.000,2440,2923,3143,3692,3556,5646,6157,7925,40735
9,36424,36424.000,2435,2929,3153,3839,3696,5806,6640,11572,39924
10,37781,37781.000,2433,2925,3143,3706,3590,5604,6081,7613,45313
11,37696,37696.000,2434,2923,3144,3710,3655,5639,6115,7832,42226
12,38115,38115.000,2434,2919,3138,3670,3535,5588,6073,7656,42375
13,38036,38036.000,2443,2926,3143,3677,3580,5553,6041,7717,40125
14,38843,38843.000,2440,2926,3137,3601,3567,5562,6019,7345,10499
15,38328,38328.000,2445,2908,3128,3652,3530,5549,6028,7660,36394
16,35856,35856.000,2437,2916,3140,3988,3559,5613,6093,8408,90670
17,38410,38410.000,2440,2899,3119,3560,3491,5488,5921,7141,13298
18,38049,38049.000,2430,2917,3138,3678,3619,5561,6034,7720,35876
19,39131,39131.000,2430,2898,3130,3583,3534,5495,5970,7400,12000
20,38301,38301.000,2445,2915,3132,3646,3531,5511,5972,7567,39399
21,37745,37745.000,2443,2875,3117,3705,3495,5477,5948,7752,218504
22,37504,37504.000,2443,2886,3127,3748,3529,5503,5969,7547,227622
23,37049,37049.000,2431,2874,3114,3762,3478,5515,6028,8488,221796
24,34871,34871.000,2445,2879,3118,4009,3545,5568,6116,13995,220375
25,36244,36244.000,2444,2866,3110,3887,3479,5560,6137,9439,429934
26,35839,35839.000,2436,2855,3097,3935,3454,5475,6000,14268,417256
27,34901,34901.000,2419,2851,3093,3986,3477,5442,5954,13383,216293
28,34353,34353.000,2431,2856,3097,4173,3477,5487,6029,12776,226366
29,33484,33484.000,2439,2870,3110,4037,3466,5451,5938,13480,421769
30,32853,32853.000,2441,2906,3114,4260,3472,5536,6143,13983,230575
