Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.100,56844.424,56844.424,56844.424,56844.424,56844.424,56844.424,56844.424,56844.424,56844.424,0.000
40,0.200,55896.453,55236.727,55236.727,56556.179,56556.179,56556.179,56556.179,56556.179,56556.179,0.000
50,0.200,61446.301,61110.195,61110.195,61782.406,61782.406,61782.406,61782.406,61782.406,61782.406,0.000
60,0.100,57479.926,57479.926,57479.926,57479.926,57479.926,57479.926,57479.926,57479.926,57479.926,0.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.300,57076.524,56044.292,56044.292,56146.396,59038.885,59038.885,59038.885,59038.885,59038.885,0.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.100,55557.109,55557.109,55557.109,55557.109,55557.109,55557.109,55557.109,55557.109,55557.109,0.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.100,58162.507,58162.507,58162.507,58162.507,58162.507,58162.507,58162.507,58162.507,58162.507,0.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.100,55593.144,55593.144,55593.144,55593.144,55593.144,55593.144,55593.144,55593.144,55593.144,0.000
220,0.100,55437.247,55437.247,55437.247,55437.247,55437.247,55437.247,55437.247,55437.247,55437.247,0.000
230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.100,55898.626,55898.626,55898.626,55898.626,55898.626,55898.626,55898.626,55898.626,55898.626,0.000
250,0.100,57085.264,57085.264,57085.264,57085.264,57085.264,57085.264,57085.264,57085.264,57085.264,0.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
290,0.200,56833.557,55845.413,55845.413,57821.700,57821.700,57821.700,57821.700,57821.700,57821.700,0.000
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
310,0.100,55198.795,55198.795,55198.795,55198.795,55198.795,55198.795,55198.795,55198.795,55198.795,0.000
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.100,56683.539,56683.539,56683.539,56683.539,56683.539,56683.539,56683.539,56683.539,56683.539,0.000
340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
350,0.100,57887.652,57887.652,57887.652,57887.652,57887.652,57887.652,57887.652,57887.652,57887.652,0.000
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.100,58336.918,58336.918,58336.918,58336.918,58336.918,58336.918,58336.918,58336.918,58336.918,0.000
440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
450,0.100,57363.057,57363.057,57363.057,57363.057,57363.057,57363.057,57363.057,57363.057,57363.057,0.000
460,0.200,56956.241,56427.322,56427.322,57485.160,57485.160,57485.160,57485.160,57485.160,57485.160,0.000
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.100,55873.443,55873.443,55873.443,55873.443,55873.443,55873.443,55873.443,55873.443,55873.443,0.000
520,0.200,57254.699,56790.780,56790.780,57718.618,57718.618,57718.618,57718.618,57718.618,57718.618,0.000
530,0.100,58069.698,58069.698,58069.698,58069.698,58069.698,58069.698,58069.698,58069.698,58069.698,0.000
540,0.100,56429.820,56429.820,56429.820,56429.820,56429.820,56429.820,56429.820,56429.820,56429.820,0.000
550,0.100,55926.861,55926.861,55926.861,55926.861,55926.861,55926.861,55926.861,55926.861,55926.861,0.000
560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
570,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
590,0.100,57352.209,57352.209,57352.209,57352.209,57352.209,57352.209,57352.209,57352.209,57352.209,0.000
600,0.100,55914.639,55914.639,55914.639,55914.639,55914.639,55914.639,55914.639,55914.639,55914.639,0.000
610,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
620,0.100,55806.985,55806.985,55806.985,55806.985,55806.985,55806.985,55806.985,55806.985,55806.985,0.000
630,0.100,56170.249,56170.249,56170.249,56170.249,56170.249,56170.249,56170.249,56170.249,56170.249,0.000
640,0.200,56523.160,54921.865,54921.865,58124.454,58124.454,58124.454,58124.454,58124.454,58124.454,0.000
650,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
660,0.200,55651.538,55438.713,55438.713,55864.362,55864.362,55864.362,55864.362,55864.362,55864.362,0.000
670,0.100,57819.026,57819.026,57819.026,57819.026,57819.026,57819.026,57819.026,57819.026,57819.026,0.000
680,0.100,56864.072,56864.072,56864.072,56864.072,56864.072,56864.072,56864.072,56864.072,56864.072,0.000
690,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
700,0.100,57453.778,57453.778,57453.778,57453.778,57453.778,57453.778,57453.778,57453.778,57453.778,0.000
710,0.100,55736.244,55736.244,55736.244,55736.244,55736.244,55736.244,55736.244,55736.244,55736.244,0.000
720,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
750,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
760,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
790,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
800,0.200,57039.036,56595.918,56595.918,57482.154,57482.154,57482.154,57482.154,57482.154,57482.154,0.000
810,0.300,56801.506,56488.212,56488.212,56555.323,57360.984,57360.984,57360.984,57360.984,57360.984,0.000
820,0.100,55976.462,55976.462,55976.462,55976.462,55976.462,55976.462,55976.462,55976.462,55976.462,0.000
830,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
840,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
850,0.100,55859.033,55859.033,55859.033,55859.033,55859.033,55859.033,55859.033,55859.033,55859.033,0.000
860,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
870,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
880,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
890,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
900,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
910,0.100,55344.216,55344.216,55344.216,55344.216,55344.216,55344.216,55344.216,55344.216,55344.216,0.000
920,0.100,57201.724,57201.724,57201.724,57201.724,57201.724,57201.724,57201.724,57201.724,57201.724,0.000
930,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
940,0.100,54967.338,54967.338,54967.338,54967.338,54967.338,54967.338,54967.338,54967.338,54967.338,0.000
950,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
960,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
970,0.100,55347.927,55347.927,55347.927,55347.927,55347.927,55347.927,55347.927,55347.927,55347.927,0.000
980,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
990,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1000,0.300,59846.798,56294.026,56294.026,60987.982,62258.387,62258.387,62258.387,62258.387,62258.387,0.000
1010,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1020,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1030,0.200,56607.114,56358.022,56358.022,56856.206,56856.206,56856.206,56856.206,56856.206,56856.206,0.000
1040,0.100,56005.587,56005.587,56005.587,56005.587,56005.587,56005.587,56005.587,56005.587,56005.587,0.000
1050,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1060,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1070,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1080,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1090,0.100,56696.978,56696.978,56696.978,56696.978,56696.978,56696.978,56696.978,56696.978,56696.978,0.000
1100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1130,0.100,57563.965,57563.965,57563.965,57563.965,57563.965,57563.965,57563.965,57563.965,57563.965,0.000
1140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1180,0.100,58286.210,58286.210,58286.210,58286.210,58286.210,58286.210,58286.210,58286.210,58286.210,0.000
1190,0.200,55242.196,55043.484,55043.484,55440.908,55440.908,55440.908,55440.908,55440.908,55440.908,0.000
1200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1210,0.100,55119.476,55119.476,55119.476,55119.476,55119.476,55119.476,55119.476,55119.476,55119.476,0.000
1220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1230,0.100,56260.190,56260.190,56260.190,56260.190,56260.190,56260.190,56260.190,56260.190,56260.190,0.000
1240,0.200,57260.513,56918.867,56918.867,57602.158,57602.158,57602.158,57602.158,57602.158,57602.158,0.000
1250,0.100,55203.803,55203.803,55203.803,55203.803,55203.803,55203.803,55203.803,55203.803,55203.803,0.000
1260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1270,0.100,55718.720,55718.720,55718.720,55718.720,55718.720,55718.720,55718.720,55718.720,55718.720,0.000
1280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1290,0.100,55687.889,55687.889,55687.889,55687.889,55687.889,55687.889,55687.889,55687.889,55687.889,0.000
1300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1330,0.200,56135.977,55435.846,55435.846,56836.108,56836.108,56836.108,56836.108,56836.108,56836.108,0.000
1340,0.100,55905.269,55905.269,55905.269,55905.269,55905.269,55905.269,55905.269,55905.269,55905.269,0.000
1350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1360,0.100,56944.971,56944.971,56944.971,56944.971,56944.971,56944.971,56944.971,56944.971,56944.971,0.000
1370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1380,0.200,56386.835,56103.939,56103.939,56669.731,56669.731,56669.731,56669.731,56669.731,56669.731,0.000
1390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1430,0.100,56420.622,56420.622,56420.622,56420.622,56420.622,56420.622,56420.622,56420.622,56420.622,0.000
1440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1450,0.100,55427.564,55427.564,55427.564,55427.564,55427.564,55427.564,55427.564,55427.564,55427.564,0.000
1460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1470,0.100,55966.313,55966.313,55966.313,55966.313,55966.313,55966.313,55966.313,55966.313,55966.313,0.000
1480,0.200,56427.923,56329.209,56329.209,56526.637,56526.637,56526.637,56526.637,56526.637,56526.637,0.000
1490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1510,0.200,55216.048,54931.228,54931.228,55500.867,55500.867,55500.867,55500.867,55500.867,55500.867,0.000
1520,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1530,0.100,57058.327,57058.327,57058.327,57058.327,57058.327,57058.327,57058.327,57058.327,57058.327,0.000
1540,0.100,55787.996,55787.996,55787.996,55787.996,55787.996,55787.996,55787.996,55787.996,55787.996,0.000
1550,0.100,55431.832,55431.832,55431.832,55431.832,55431.832,55431.832,55431.832,55431.832,55431.832,0.000
1560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1570,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1590,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1600,0.100,54790.250,54790.250,54790.250,54790.250,54790.250,54790.250,54790.250,54790.250,54790.250,0.000
1610,0.100,55775.251,55775.251,55775.251,55775.251,55775.251,55775.251,55775.251,55775.251,55775.251,0.000
1620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1640,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1650,0.100,55529.083,55529.083,55529.083,55529.083,55529.083,55529.083,55529.083,55529.083,55529.083,0.000
1660,0.100,56626.399,56626.399,56626.399,56626.399,56626.399,56626.399,56626.399,56626.399,56626.399,0.000
1670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1680,0.100,56579.261,56579.261,56579.261,56579.261,56579.261,56579.261,56579.261,56579.261,56579.261,0.000
1690,0.200,56588.694,56420.088,56420.088,56757.300,56757.300,56757.300,56757.300,56757.300,56757.300,0.000
1700,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1720,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1730,0.200,56482.624,56109.475,56109.475,56855.772,56855.772,56855.772,56855.772,56855.772,56855.772,0.000
1740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1750,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1760,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1790,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
