Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.600,5657.429,1270.248,2999.435,5871.416,7991.183,10900.363,10900.363,10900.363,10900.363,0.000
10,2.100,4838.177,359.421,2044.210,3566.169,5476.211,9920.985,10465.428,21480.349,21480.349,0.000
20,1.600,5056.654,532.452,1972.011,4491.988,8918.717,11395.394,11686.514,11686.514,11686.514,0.000
30,1.300,10794.998,520.896,2947.800,5380.808,10731.402,21054.626,56844.424,56844.424,56844.424,0.000
40,0.800,20386.524,1509.530,7459.907,14763.613,55236.727,56556.179,56556.179,56556.179,56556.179,0.000
50,1.300,12887.128,341.960,1476.685,4335.187,8118.374,61110.195,61782.406,61782.406,61782.406,0.000
60,1.000,10100.782,960.386,1682.082,5688.187,10566.399,57479.926,57479.926,57479.926,57479.926,0.000
70,0.500,7508.273,2956.278,3557.231,9221.264,9869.884,11936.709,11936.709,11936.709,11936.709,0.000
80,1.200,5672.468,823.655,3392.243,5540.200,7870.591,11256.502,11536.435,11536.435,11536.435,0.000
90,0.700,7040.158,1525.644,3859.819,7043.373,10471.436,10845.111,10845.111,10845.111,10845.111,0.000
100,1.500,5137.990,508.036,994.412,3407.193,7798.387,10495.423,21068.085,21068.085,21068.085,0.000
110,1.500,15053.984,401.674,1009.408,3840.651,21129.610,56146.396,59038.885,59038.885,59038.885,0.000
120,1.600,3970.716,347.284,1589.525,4725.206,5346.221,5652.392,11162.113,11162.113,11162.113,0.000
130,1.400,6555.016,827.466,1944.102,5966.967,9160.263,10470.796,22155.083,22155.083,22155.083,0.000
140,1.300,7657.821,523.652,2042.549,3383.698,4695.373,11795.403,55557.109,55557.109,55557.109,0.000
150,1.200,5097.942,553.694,3837.604,5281.840,5956.524,9107.769,11784.669,11784.669,11784.669,0.000
160,0.900,5178.226,563.395,3528.968,4854.750,5435.173,11462.653,11462.653,11462.653,11462.653,0.000
170,2.000,5956.411,556.348,2065.914,4738.253,9603.726,11032.732,21083.623,21083.623,21083.623,0.000
180,1.600,4774.785,556.467,1177.577,4397.911,7455.295,11974.068,12047.689,12047.689,12047.689,0.000
190,1.800,8100.743,557.034,1625.379,4247.061,7445.455,22970.875,58162.507,58162.507,58162.507,0.000
200,2.000,4791.608,336.101,1181.405,4126.005,5690.825,11764.544,22475.849,22475.849,22475.849,0.000
210,2.300,5648.409,828.994,968.651,1997.713,4538.424,9865.102,11064.750,55593.144,55593.144,0.000
220,1.300,10804.356,519.517,843.497,5428.757,11859.913,22395.284,55437.247,55437.247,55437.247,0.000
230,1.100,7277.260,361.539,520.262,3203.844,11638.089,20900.462,22322.631,22322.631,22322.631,0.000
240,1.000,9971.074,337.497,2944.430,4121.833,11170.436,55898.626,55898.626,55898.626,55898.626,0.000
250,1.400,7958.965,556.986,1623.467,3755.262,4613.800,11890.371,57085.264,57085.264,57085.264,0.000
260,1.400,5379.802,531.853,1959.245,4279.687,5389.683,11573.633,21015.389,21015.389,21015.389,0.000
270,0.700,9682.526,3305.488,7477.021,10577.502,13632.774,13849.670,13849.670,13849.670,13849.670,0.000
280,1.000,7587.634,1143.721,4790.120,9343.736,11247.254,11844.953,11844.953,11844.953,11844.953,0.000
290,1.300,14053.751,505.542,1205.841,4687.898,11531.464,55845.413,57821.700,57821.700,57821.700,0.000
300,1.200,5270.736,1159.112,2899.136,4736.818,8906.585,9938.289,10079.217,10079.217,10079.217,0.000
310,1.900,7195.750,348.090,507.966,1663.321,7952.484,22805.822,55198.795,55198.795,55198.795,0.000
320,1.000,7240.646,537.275,2060.090,5390.687,5518.675,22166.319,22166.319,22166.319,22166.319,0.000
330,1.200,8493.987,357.450,2061.819,4502.709,9512.462,10077.374,56683.539,56683.539,56683.539,0.000
340,0.800,6825.942,530.434,4181.766,4538.041,9484.766,22484.467,22484.467,22484.467,22484.467,0.000
350,1.900,7460.986,351.084,1037.431,3432.664,5739.871,21504.126,57887.652,57887.652,57887.652,0.000
360,1.900,3515.146,525.242,842.196,3453.134,4762.671,9024.102,10398.813,10398.813,10398.813,0.000
370,1.600,4680.348,334.375,839.511,4692.526,8945.038,10091.130,10388.102,10388.102,10388.102,0.000
380,1.400,8558.141,529.492,1601.344,4635.684,21221.728,21405.055,21464.448,21464.448,21464.448,0.000
390,1.400,3935.107,366.093,1139.400,3696.647,5798.353,9759.192,10067.761,10067.761,10067.761,0.000
400,1.900,5523.655,549.882,2083.120,4485.729,6984.460,11706.203,21748.022,21748.022,21748.022,0.000
410,1.600,6662.118,557.760,4314.215,5610.751,10128.142,11442.130,11754.432,11754.432,11754.432,0.000
420,1.800,4505.408,350.512,2072.987,3725.967,5533.917,11173.279,11355.417,11355.417,11355.417,0.000
