Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,4911926,4911926,4911926,4911926,4911926,4911926,4911926,4911926,4911926
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,1.000,10900363,10900363,10900363,10900363,10900363,10900363,10900363,10900363,10900363
5,1,1.000,7991183,7991183,7991183,7991183,7991183,7991183,7991183,7991183,7991183
6,1,1.000,1270248,1270248,1270248,1270248,1270248,1270248,1270248,1270248,1270248
7,1,1.000,2999435,2999435,2999435,2999435,2999435,2999435,2999435,2999435,2999435
8,1,1.000,5871416,5871416,5871416,5871416,5871416,5871416,5871416,5871416,5871416
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2,2.000,2933458,2933458,4638447,3785952,4638447,4638447,4638447,4638447,4638447
11,2,2.000,3547072,3547072,3566169,3556620,3566169,3566169,3566169,3566169,3566169
12,1,1.000,1614683,1614683,1614683,1614683,1614683,1614683,1614683,1614683,1614683
13,3,3.000,359421,359421,5980032,9273267,21480349,21480349,21480349,21480349,21480349
14,4,4.000,532785,1698200,3256545,3988239,10465428,10465428,10465428,10465428,10465428
15,4,4.000,1664913,2914865,4839472,3787148,5729342,5729342,5729342,5729342,5729342
16,1,1.000,2044210,2044210,2044210,2044210,2044210,2044210,2044210,2044210,2044210
17,1,1.000,9920985,9920985,9920985,9920985,9920985,9920985,9920985,9920985,9920985
18,2,2.000,4312013,4312013,5476211,4894112,5476211,5476211,5476211,5476211,5476211
19,1,1.000,4627119,4627119,4627119,4627119,4627119,4627119,4627119,4627119,4627119
20,2,2.000,532452,532452,11686514,6109483,11686514,11686514,11686514,11686514,11686514
21,1,1.000,4502736,4502736,4502736,4502736,4502736,4502736,4502736,4502736,4502736
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,2,2.000,543796,543796,2845516,1694656,2845516,2845516,2845516,2845516,2845516
24,3,3.000,1523673,1523673,4491988,5775231,11310034,11310034,11310034,11310034,11310034
25,3,3.000,1972011,1972011,2005353,4296777,8912967,8912967,8912967,8912967,8912967
26,1,1.000,11395394,11395394,11395394,11395394,11395394,11395394,11395394,11395394,11395394
27,3,3.000,3681142,3681142,4633712,5744523,8918717,8918717,8918717,8918717,8918717
28,1,1.000,1950466,1950466,1950466,1950466,1950466,1950466,1950466,1950466,1950466
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,1,1.000,10731402,10731402,10731402,10731402,10731402,10731402,10731402,10731402,10731402
31,1,1.000,56844424,56844424,56844424,56844424,56844424,56844424,56844424,56844424,56844424
32,2,2.000,2947800,2947800,21054626,12001213,21054626,21054626,21054626,21054626,21054626
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,2,2.000,4602344,4602344,10485744,7544044,10485744,10485744,10485744,10485744,10485744
35,2,2.000,2919080,2919080,5380808,4149944,5380808,5380808,5380808,5380808,5380808
36,1,1.000,520896,520896,520896,520896,520896,520896,520896,520896,520896
37,2,2.000,5210544,5210544,5653147,5431845,5653147,5653147,5653147,5653147,5653147
38,2,2.000,2089769,2089769,11894390,6992079,11894390,11894390,11894390,11894390,11894390
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,2,2.000,14763613,14763613,14797672,14780642,14797672,14797672,14797672,14797672,14797672
41,1,1.000,55236727,55236727,55236727,55236727,55236727,55236727,55236727,55236727,55236727
42,1,1.000,56556179,56556179,56556179,56556179,56556179,56556179,56556179,56556179,56556179
43,1,1.000,3814684,3814684,3814684,3814684,3814684,3814684,3814684,3814684,3814684
44,1,1.000,1509530,1509530,1509530,1509530,1509530,1509530,1509530,1509530,1509530
45,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,2,2.000,7459907,7459907,8953877,8206892,8953877,8953877,8953877,8953877,8953877
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,1,1.000,1476685,1476685,1476685,1476685,1476685,1476685,1476685,1476685,1476685
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,2,2.000,341960,341960,11871585,6106772,11871585,11871585,11871585,11871585,11871585
