Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.200,4799.791,4764.052,4764.052,4835.529,4835.529,4835.529,4835.529,4835.529,4835.529,0.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.100,4786.003,4786.003,4786.003,4786.003,4786.003,4786.003,4786.003,4786.003,4786.003,0.000
40,0.100,4161.007,4161.007,4161.007,4161.007,4161.007,4161.007,4161.007,4161.007,4161.007,0.000
50,0.100,4825.250,4825.250,4825.250,4825.250,4825.250,4825.250,4825.250,4825.250,4825.250,0.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.200,4919.168,4839.439,4839.439,4998.897,4998.897,4998.897,4998.897,4998.897,4998.897,0.000
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.100,4884.327,4884.327,4884.327,4884.327,4884.327,4884.327,4884.327,4884.327,4884.327,0.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.100,4280.011,4280.011,4280.011,4280.011,4280.011,4280.011,4280.011,4280.011,4280.011,0.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.100,4160.297,4160.297,4160.297,4160.297,4160.297,4160.297,4160.297,4160.297,4160.297,0.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.300,4177.808,4079.835,4079.835,4155.092,4298.496,4298.496,4298.496,4298.496,4298.496,0.000
220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
230,0.100,4890.784,4890.784,4890.784,4890.784,4890.784,4890.784,4890.784,4890.784,4890.784,0.000
240,0.100,4736.840,4736.840,4736.840,4736.840,4736.840,4736.840,4736.840,4736.840,4736.840,0.000
250,0.100,4877.848,4877.848,4877.848,4877.848,4877.848,4877.848,4877.848,4877.848,4877.848,0.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.200,4194.698,4125.022,4125.022,4264.374,4264.374,4264.374,4264.374,4264.374,4264.374,0.000
280,0.100,4083.318,4083.318,4083.318,4083.318,4083.318,4083.318,4083.318,4083.318,4083.318,0.000
290,0.100,4141.881,4141.881,4141.881,4141.881,4141.881,4141.881,4141.881,4141.881,4141.881,0.000
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.200,4516.586,4182.006,4182.006,4851.165,4851.165,4851.165,4851.165,4851.165,4851.165,0.000
330,0.100,4220.506,4220.506,4220.506,4220.506,4220.506,4220.506,4220.506,4220.506,4220.506,0.000
340,0.100,4840.631,4840.631,4840.631,4840.631,4840.631,4840.631,4840.631,4840.631,4840.631,0.000
350,0.100,4890.751,4890.751,4890.751,4890.751,4890.751,4890.751,4890.751,4890.751,4890.751,0.000
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.100,4147.292,4147.292,4147.292,4147.292,4147.292,4147.292,4147.292,4147.292,4147.292,0.000
390,0.100,4299.082,4299.082,4299.082,4299.082,4299.082,4299.082,4299.082,4299.082,4299.082,0.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.100,4113.956,4113.956,4113.956,4113.956,4113.956,4113.956,4113.956,4113.956,4113.956,0.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.200,4152.061,4149.813,4149.813,4154.308,4154.308,4154.308,4154.308,4154.308,4154.308,0.000
440,0.100,3994.240,3994.240,3994.240,3994.240,3994.240,3994.240,3994.240,3994.240,3994.240,0.000
450,0.100,4265.381,4265.381,4265.381,4265.381,4265.381,4265.381,4265.381,4265.381,4265.381,0.000
460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
470,0.100,4103.206,4103.206,4103.206,4103.206,4103.206,4103.206,4103.206,4103.206,4103.206,0.000
480,0.100,4882.289,4882.289,4882.289,4882.289,4882.289,4882.289,4882.289,4882.289,4882.289,0.000
490,0.200,4513.684,4134.483,4134.483,4892.884,4892.884,4892.884,4892.884,4892.884,4892.884,0.000
500,0.200,4704.479,4548.885,4548.885,4860.072,4860.072,4860.072,4860.072,4860.072,4860.072,0.000
510,0.200,4631.520,4332.396,4332.396,4930.643,4930.643,4930.643,4930.643,4930.643,4930.643,0.000
520,0.200,4607.599,4210.182,4210.182,5005.015,5005.015,5005.015,5005.015,5005.015,5005.015,0.000
530,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
540,0.100,4872.551,4872.551,4872.551,4872.551,4872.551,4872.551,4872.551,4872.551,4872.551,0.000
550,0.200,4587.143,4430.520,4430.520,4743.766,4743.766,4743.766,4743.766,4743.766,4743.766,0.000
560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
570,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
590,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
600,0.100,4793.125,4793.125,4793.125,4793.125,4793.125,4793.125,4793.125,4793.125,4793.125,0.000
610,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
630,0.100,4864.884,4864.884,4864.884,4864.884,4864.884,4864.884,4864.884,4864.884,4864.884,0.000
640,0.400,4430.324,4176.283,4183.964,4462.156,4898.892,4898.892,4898.892,4898.892,4898.892,0.000
650,0.100,4880.306,4880.306,4880.306,4880.306,4880.306,4880.306,4880.306,4880.306,4880.306,0.000
660,0.200,4012.668,3944.445,3944.445,4080.890,4080.890,4080.890,4080.890,4080.890,4080.890,0.000
670,0.100,4076.967,4076.967,4076.967,4076.967,4076.967,4076.967,4076.967,4076.967,4076.967,0.000
680,0.100,4084.354,4084.354,4084.354,4084.354,4084.354,4084.354,4084.354,4084.354,4084.354,0.000
690,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
700,0.100,4213.800,4213.800,4213.800,4213.800,4213.800,4213.800,4213.800,4213.800,4213.800,0.000
710,0.200,4526.123,4212.900,4212.900,4839.346,4839.346,4839.346,4839.346,4839.346,4839.346,0.000
720,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
750,0.100,4017.473,4017.473,4017.473,4017.473,4017.473,4017.473,4017.473,4017.473,4017.473,0.000
760,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
770,0.100,4119.334,4119.334,4119.334,4119.334,4119.334,4119.334,4119.334,4119.334,4119.334,0.000
780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
790,0.200,4852.723,4822.217,4822.217,4883.229,4883.229,4883.229,4883.229,4883.229,4883.229,0.000
800,0.100,4842.489,4842.489,4842.489,4842.489,4842.489,4842.489,4842.489,4842.489,4842.489,0.000
810,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
820,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
830,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
840,0.100,4865.438,4865.438,4865.438,4865.438,4865.438,4865.438,4865.438,4865.438,4865.438,0.000
850,0.400,4640.499,4152.155,4485.547,4945.896,4978.398,4978.398,4978.398,4978.398,4978.398,0.000
860,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
870,0.300,4941.591,4836.244,4836.244,4942.392,5046.138,5046.138,5046.138,5046.138,5046.138,0.000
880,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
890,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
900,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
910,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
920,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
930,0.100,4076.461,4076.461,4076.461,4076.461,4076.461,4076.461,4076.461,4076.461,4076.461,0.000
940,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
950,0.100,4305.663,4305.663,4305.663,4305.663,4305.663,4305.663,4305.663,4305.663,4305.663,0.000
960,0.100,4024.455,4024.455,4024.455,4024.455,4024.455,4024.455,4024.455,4024.455,4024.455,0.000
970,0.100,4910.694,4910.694,4910.694,4910.694,4910.694,4910.694,4910.694,4910.694,4910.694,0.000
980,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
990,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1000,0.100,4262.353,4262.353,4262.353,4262.353,4262.353,4262.353,4262.353,4262.353,4262.353,0.000
1010,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1020,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1030,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1040,0.100,4328.835,4328.835,4328.835,4328.835,4328.835,4328.835,4328.835,4328.835,4328.835,0.000
1050,0.100,4884.575,4884.575,4884.575,4884.575,4884.575,4884.575,4884.575,4884.575,4884.575,0.000
1060,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1070,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1080,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1090,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1120,0.100,4063.573,4063.573,4063.573,4063.573,4063.573,4063.573,4063.573,4063.573,4063.573,0.000
1130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1140,0.100,4738.129,4738.129,4738.129,4738.129,4738.129,4738.129,4738.129,4738.129,4738.129,0.000
1150,0.100,4886.363,4886.363,4886.363,4886.363,4886.363,4886.363,4886.363,4886.363,4886.363,0.000
1160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1180,0.100,4857.462,4857.462,4857.462,4857.462,4857.462,4857.462,4857.462,4857.462,4857.462,0.000
1190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1220,0.100,4163.100,4163.100,4163.100,4163.100,4163.100,4163.100,4163.100,4163.100,4163.100,0.000
1230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
