Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.400,5332.388,357.473,1024.806,2074.119,5486.147,6546.303,12142.446,60451.360,60451.360,0.000
10,1.900,4754.953,343.658,944.963,2865.489,5288.510,19540.549,19837.681,19837.681,19837.681,0.000
20,1.700,6753.114,337.122,530.886,2843.495,7532.408,9993.163,53757.168,53757.168,53757.168,0.000
30,1.200,9925.726,1157.236,2826.159,5155.233,9467.578,11786.957,59768.959,59768.959,59768.959,0.000
40,1.600,7127.300,562.879,2797.813,3491.214,5077.266,11967.329,54384.393,54384.393,54384.393,0.000
50,0.900,10627.712,341.447,1654.093,4232.634,7460.374,60829.799,60829.799,60829.799,60829.799,0.000
60,1.100,7536.493,1527.648,3388.151,5834.661,9806.596,11936.169,23616.522,23616.522,23616.522,0.000
70,1.500,4011.139,833.722,2071.096,3141.951,5324.855,7601.044,11637.936,11637.936,11637.936,0.000
80,1.000,5213.394,1025.501,2098.245,5147.333,7739.217,11184.613,11184.613,11184.613,11184.613,0.000
90,2.400,5719.692,347.007,1532.545,2858.534,4998.897,8152.095,11889.607,59022.684,59022.684,0.000
100,1.700,8603.063,529.493,1107.412,2952.335,10578.654,22638.363,54848.519,54848.519,54848.519,0.000
110,0.900,15036.538,831.447,1966.502,10752.710,23106.957,57147.282,57147.282,57147.282,57147.282,0.000
120,1.200,3461.884,528.742,1908.398,3131.810,5013.053,6082.059,9531.643,9531.643,9531.643,0.000
130,1.300,4510.854,344.124,1941.334,2827.474,6867.969,9924.827,12001.453,12001.453,12001.453,0.000
140,1.700,11164.058,344.757,830.418,3504.816,9940.234,53475.031,59118.546,59118.546,59118.546,0.000
150,1.400,8844.295,566.397,985.135,3139.856,7708.660,23199.015,59487.178,59487.178,59487.178,0.000
160,0.900,3875.723,512.080,1080.907,2818.371,5456.123,10464.455,10464.455,10464.455,10464.455,0.000
170,2.000,5391.387,338.194,951.256,2657.634,5051.497,9541.633,54176.383,54176.383,54176.383,0.000
180,1.100,16733.760,556.170,824.189,9259.869,23179.782,59171.137,60173.954,60173.954,60173.954,0.000
190,0.900,3832.200,339.374,1482.407,3936.217,5418.983,8808.985,8808.985,8808.985,8808.985,0.000
200,1.000,10984.226,1202.042,2770.554,7311.734,9522.956,59539.949,59539.949,59539.949,59539.949,0.000
