Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2,2.000,1564210,1564210,6546303,4055256,6546303,6546303,6546303,6546303,6546303
1,1,1.000,1530475,1530475,1530475,1530475,1530475,1530475,1530475,1530475,1530475
2,1,1.000,4302229,4302229,4302229,4302229,4302229,4302229,4302229,4302229,4302229
3,1,1.000,2851783,2851783,2851783,2851783,2851783,2851783,2851783,2851783,2851783
4,5,5.000,360972,2074119,2828393,15571458,12142446,60451360,60451360,60451360,60451360
5,1,1.000,5486147,5486147,5486147,5486147,5486147,5486147,5486147,5486147,5486147
6,5,5.000,357473,547002,1020636,887806,1024806,1489116,1489116,1489116,1489116
7,5,5.000,826822,835227,1159962,1933344,2856524,3988189,3988189,3988189,3988189
8,3,3.000,1948452,1948452,5799327,4577702,5985329,5985329,5985329,5985329,5985329
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2,2.000,944963,944963,1505115,1225039,1505115,1505115,1505115,1505115,1505115
11,4,4.000,519796,1174594,5288510,6705145,19837681,19837681,19837681,19837681,19837681
12,4,4.000,343658,524474,2883787,3912858,11899515,11899515,11899515,11899515,11899515
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,2,2.000,4764052,4764052,5985393,5374722,5985393,5985393,5985393,5985393,5985393
15,1,1.000,4343855,4343855,4343855,4343855,4343855,4343855,4343855,4343855,4343855
16,2,2.000,1038103,1038103,19540549,10289326,19540549,19540549,19540549,19540549,19540549
17,1,1.000,828940,828940,828940,828940,828940,828940,828940,828940,828940
18,1,1.000,1220098,1220098,1220098,1220098,1220098,1220098,1220098,1220098,1220098
19,2,2.000,2865489,2865489,4835529,3850509,4835529,4835529,4835529,4835529,4835529
20,2,2.000,5082867,5082867,7532408,6307637,7532408,7532408,7532408,7532408,7532408
21,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,2,2.000,838355,838355,5986919,3412637,5986919,5986919,5986919,5986919,5986919
