Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.100,7123.246,1029.974,2902.249,5842.950,11346.441,12392.151,12793.264,12793.264,12793.264,0.000
10,2.200,4174.062,359.891,987.735,3605.769,5728.024,10315.702,10863.936,10872.405,10872.405,0.000
20,2.800,3953.836,344.463,980.877,2839.429,5607.966,8080.261,12080.686,21743.880,21743.880,0.000
30,1.900,6371.895,807.659,1668.361,4928.842,8228.013,21211.079,22747.335,22747.335,22747.335,0.000
40,1.700,4569.732,343.943,1036.147,4267.390,5497.369,12967.211,13021.809,13021.809,13021.809,0.000
50,2.100,10068.819,554.220,3512.020,4371.789,5597.979,22224.688,56507.517,56758.479,56758.479,0.000
60,1.100,7655.240,1590.642,3562.379,5331.134,11433.050,11909.081,22560.081,22560.081,22560.081,0.000
70,1.700,6121.063,821.985,1117.587,1221.013,3604.173,7953.884,58005.025,58005.025,58005.025,0.000
80,1.400,6467.923,551.491,1013.732,3402.721,10743.353,21179.991,21285.067,21285.067,21285.067,0.000
90,1.200,9409.259,549.189,3853.777,4291.957,9877.442,9920.931,58244.758,58244.758,58244.758,0.000
100,1.300,8824.518,571.947,2857.583,4434.492,4667.014,21372.799,58157.251,58157.251,58157.251,0.000
110,1.500,5849.882,537.147,1529.143,2860.729,7327.655,21359.653,22598.796,22598.796,22598.796,0.000
120,1.100,9136.934,519.672,1623.811,4538.706,8745.416,10892.752,57040.738,57040.738,57040.738,0.000
130,1.200,6930.891,826.550,2103.450,4651.665,7997.128,21486.085,21931.328,21931.328,21931.328,0.000
140,1.600,3898.775,348.665,1569.846,3871.992,4647.994,11082.469,11085.822,11085.822,11085.822,0.000
150,1.100,7048.390,547.454,2006.254,4643.811,12056.882,12248.242,22658.213,22658.213,22658.213,0.000
160,1.300,6780.173,820.047,3328.437,4956.466,10179.898,12220.261,22405.094,22405.094,22405.094,0.000
170,1.900,5165.679,341.859,2130.338,4623.892,7729.098,12052.600,12129.389,12129.389,12129.389,0.000
180,1.600,4426.818,832.155,2301.852,4242.280,5864.524,10283.111,10300.771,10300.771,10300.771,0.000
190,1.900,9885.306,355.870,2067.167,5934.561,10998.717,22839.026,58326.016,58326.016,58326.016,0.000
200,1.100,7090.580,532.214,1663.112,2888.688,12022.429,21050.538,21075.084,21075.084,21075.084,0.000
210,2.200,3654.940,349.319,829.535,2872.815,5513.783,10160.477,11581.218,12008.951,12008.951,0.000
220,2.000,7512.989,349.396,2112.843,3515.780,8213.925,22254.687,56388.868,56388.868,56388.868,0.000
230,1.800,6377.854,344.235,1023.107,2867.459,4574.162,10683.576,58381.826,58381.826,58381.826,0.000
240,2.200,6234.993,540.831,1174.913,2906.042,4662.599,8690.918,21229.079,56206.610,56206.610,0.000
250,1.400,9276.166,365.218,2857.216,4568.912,5694.725,22057.251,57697.009,57697.009,57697.009,0.000
260,1.200,8788.421,346.614,1967.416,4195.504,10823.033,11688.377,56412.792,56412.792,56412.792,0.000
270,0.800,7256.238,1028.447,3404.823,5345.119,12035.213,20942.700,20942.700,20942.700,20942.700,0.000
280,1.000,11818.824,1118.868,2822.597,5656.741,12056.728,55509.040,55509.040,55509.040,55509.040,0.000
290,0.900,4412.568,1039.035,2839.744,4280.270,5563.281,8928.699,8928.699,8928.699,8928.699,0.000
300,1.100,5862.071,344.157,4385.601,5459.882,8635.729,10625.499,10641.142,10641.142,10641.142,0.000
310,1.600,4235.503,512.303,2083.451,3742.418,5736.756,8861.360,12939.309,12939.309,12939.309,0.000
320,2.400,6406.216,345.829,1146.263,3321.588,7882.102,11859.117,12160.335,56241.516,56241.516,0.000
330,1.400,8579.477,988.135,1488.698,4810.647,9597.384,12786.990,58100.856,58100.856,58100.856,0.000
340,1.800,10443.320,533.004,2018.992,4692.447,9729.209,57444.608,57540.195,57540.195,57540.195,0.000
350,0.800,11455.421,347.403,4229.411,5412.653,9645.292,58071.228,58071.228,58071.228,58071.228,0.000
360,0.900,12155.677,2039.284,4550.566,8227.845,9783.096,56120.566,56120.566,56120.566,56120.566,0.000
370,1.300,4143.509,350.658,1163.699,3170.766,4689.365,10954.301,11241.161,11241.161,11241.161,0.000
380,1.100,4837.103,340.016,816.475,1142.387,10732.751,11864.350,11977.095,11977.095,11977.095,0.000
390,0.800,13732.351,353.927,3122.211,8575.113,21221.564,57075.995,57075.995,57075.995,57075.995,0.000
400,1.700,4123.351,338.737,1986.111,4155.720,4508.431,5366.685,21897.358,21897.358,21897.358,0.000
410,1.200,14361.194,1020.875,1600.427,4310.953,20968.727,60784.713,61272.820,61272.820,61272.820,0.000
420,1.200,13116.558,337.416,977.893,3207.195,12810.686,56368.796,58419.828,58419.828,58419.828,0.000
430,0.800,18120.736,984.725,5287.851,7642.429,55977.626,58050.575,58050.575,58050.575,58050.575,0.000
440,0.700,4121.647,352.900,1129.545,3491.051,8531.141,9685.185,9685.185,9685.185,9685.185,0.000
450,1.300,7198.932,839.104,1166.869,2777.364,4520.458,8296.291,56884.361,56884.361,56884.361,0.000
460,0.400,5535.850,1598.026,2774.194,5634.678,12136.500,12136.500,12136.500,12136.500,12136.500,0.000
470,1.400,8554.035,821.709,1601.537,4176.238,5876.523,20991.489,57128.613,57128.613,57128.613,0.000
480,1.500,4336.010,336.059,808.435,4124.679,5827.161,11246.791,11597.725,11597.725,11597.725,0.000
490,1.500,6026.797,344.130,963.323,5406.690,11014.739,11244.105,21905.125,21905.125,21905.125,0.000
500,1.700,4324.986,341.732,829.880,3521.761,5498.166,10858.295,12082.698,12082.698,12082.698,0.000
510,1.600,7593.189,821.425,1161.987,4449.338,8090.689,10751.419,58115.537,58115.537,58115.537,0.000
520,1.800,5489.933,339.538,1032.441,5290.473,7413.416,10687.813,22188.446,22188.446,22188.446,0.000
530,1.600,7468.726,965.312,1561.346,2867.266,7407.034,11197.604,57854.143,57854.143,57854.143,0.000
540,1.900,5229.168,346.924,1194.440,3415.151,9724.610,11724.948,22190.794,22190.794,22190.794,0.000
550,1.000,6166.423,348.589,1987.942,4609.013,7743.554,21062.250,21062.250,21062.250,21062.250,0.000
560,1.600,8472.400,818.628,1632.987,4531.013,12114.638,21257.452,56310.269,56310.269,56310.269,0.000
570,1.100,10014.894,575.207,2751.173,5741.753,10363.137,10590.306,55557.848,55557.848,55557.848,0.000
580,1.400,9098.006,338.425,2802.769,4346.271,10627.170,12114.642,58457.114,58457.114,58457.114,0.000
590,1.000,17623.286,1173.388,2842.874,12047.257,12184.411,57921.856,57921.856,57921.856,57921.856,0.000
600,0.800,7902.263,353.486,5697.294,5829.912,10917.405,22480.720,22480.720,22480.720,22480.720,0.000
610,1.100,10869.852,561.548,1564.632,4667.416,11037.088,21312.562,56592.946,56592.946,56592.946,0.000
620,0.600,15572.632,995.842,1115.518,10899.653,22059.797,56300.087,56300.087,56300.087,56300.087,0.000
630,0.700,6524.573,977.178,1136.128,3290.818,12180.632,21301.461,21301.461,21301.461,21301.461,0.000
640,0.700,5123.072,957.206,1553.404,4639.277,8561.040,11666.301,11666.301,11666.301,11666.301,0.000
650,2.000,9462.870,347.841,829.768,4276.033,10700.988,57164.604,57558.608,57558.608,57558.608,0.000
660,1.000,8267.283,1543.150,3410.265,5719.560,10759.212,21839.016,21839.016,21839.016,21839.016,0.000
670,1.200,4465.164,340.315,980.859,3278.001,9874.037,10990.388,11051.552,11051.552,11051.552,0.000
680,1.500,12586.827,344.733,817.581,4645.076,12163.215,56213.088,57803.406,57803.406,57803.406,0.000
690,1.000,6671.968,819.467,981.715,2853.452,9850.994,21511.922,21511.922,21511.922,21511.922,0.000
700,0.700,12695.746,340.010,830.990,5586.167,11977.808,55899.056,55899.056,55899.056,55899.056,0.000
710,1.100,8785.186,337.437,2873.936,4298.671,5437.385,7941.620,57791.805,57791.805,57791.805,0.000
720,1.600,3884.017,537.366,1225.220,3712.314,5641.452,8905.710,10004.351,10004.351,10004.351,0.000
730,1.600,4143.550,345.133,986.496,4763.419,5613.220,7926.725,10943.051,10943.051,10943.051,0.000
740,1.800,7247.834,834.273,1596.284,4445.641,5502.048,10960.591,58355.668,58355.668,58355.668,0.000
750,1.500,9567.514,338.497,2061.652,4303.577,10298.848,21404.839,56074.006,56074.006,56074.006,0.000
760,0.800,14412.967,531.091,982.630,12056.169,21853.801,57676.230,57676.230,57676.230,57676.230,0.000
770,1.100,4044.513,527.572,552.372,3616.793,4611.442,9832.981,12059.417,12059.417,12059.417,0.000
780,1.900,7787.346,351.628,1699.526,3389.196,10074.020,21419.302,56692.483,56692.483,56692.483,0.000
790,1.000,10135.789,982.753,1205.034,4399.650,10598.846,58153.059,58153.059,58153.059,58153.059,0.000
800,1.100,15551.058,351.153,828.200,4593.953,21643.606,56099.284,57294.589,57294.589,57294.589,0.000
810,0.700,3377.496,346.223,1941.505,2798.590,5465.034,5679.668,5679.668,5679.668,5679.668,0.000
